query_id,judged_pairs,positive_pairs,eligible_positive_metrics
Q001,12,2,True
Q003,18,7,True
Q004,10,0,False
Q008,11,8,True
Q009,28,6,True
Q013,7,0,False
Q020,12,1,True
Q021,36,6,True
Q025,10,1,True
Q026,10,2,True
Q027,33,7,True
Q028,6,1,True
Q030,9,2,True
Q031,8,2,True
Q034,6,0,False
Q039,17,5,True
Q041,6,0,False
Q045,7,0,False
Q046,11,7,True
Q047,7,0,False
Q048,6,0,False
Q051,43,8,True
Q052,7,0,False
Q054,9,9,True
Q055,10,1,True
Q056,49,8,True
Q057,9,2,True
Q059,9,1,True
Q061,8,5,True
Q062,6,1,True
Q063,12,1,True
Q065,9,2,True
Q068,24,7,True
Q069,10,8,True
Q071,9,0,False
Q073,11,6,True
Q074,6,0,False
Q076,46,6,True
Q078,27,6,True
Q080,9,0,False
Q081,7,2,True
Q083,8,1,True
Q084,7,0,False
Q085,7,1,True
Q087,7,1,True
Q090,26,5,True
Q092,6,2,True
Q093,9,8,True
Q096,40,9,True
Q097,32,7,True
Q099,8,0,False
Q101,26,6,True
Q102,6,0,False
Q105,10,2,True
Q108,9,0,False
Q109,10,0,False
Q116,9,2,True
Q119,9,1,True
Q120,5,0,False
Q121,27,6,True
Q125,15,6,True
Q127,7,0,False
Q128,28,6,True
Q132,31,7,True
Q133,27,5,True
Q134,25,5,True
Q135,5,0,False
Q136,9,0,False
Q139,8,0,False
Q141,9,0,False
Q144,9,4,True
Q145,45,9,True
Q146,30,6,True
Q147,8,1,True
Q148,7,2,True
Q149,6,0,False
Q150,25,7,True
Q151,9,0,False
Q152,12,7,True
Q153,10,1,True
Q155,9,8,True
Q157,12,9,True
Q159,20,5,True
Q160,6,1,True
Q163,7,6,True
Q165,8,8,True
Q166,8,2,True
Q167,6,0,False
Q169,11,2,True
Q170,11,2,True
Q171,7,7,True
Q173,5,0,False
Q174,8,1,True
Q176,6,6,True
Q178,11,8,True
Q180,34,6,True
Q181,23,6,True
Q182,7,0,False
Q183,22,6,True
Q185,17,5,True
Q186,5,0,False
Q187,10,0,False
Q188,9,3,True
Q193,28,7,True
Q194,8,0,False
Q195,9,0,False
Q198,9,1,True
Q199,19,5,True
Q200,21,6,True
Q202,34,6,True
Q203,10,0,False
Q204,21,3,True
Q205,10,0,False
Q206,7,0,False
Q212,8,8,True
Q213,23,5,True
Q215,5,0,False
Q217,7,0,False
Q219,10,1,True
Q221,10,2,True
Q224,9,9,True
Q227,9,1,True
Q228,10,8,True
Q230,7,0,False
Q231,39,7,True
Q232,10,2,True
Q233,6,0,False
Q234,56,9,True
Q235,6,0,False
Q236,7,0,False
Q237,6,0,False
Q238,25,6,True
Q240,6,1,True
Q241,11,1,True
Q243,17,4,True
Q244,12,2,True
Q245,37,6,True
Q246,12,6,True
Q247,21,4,True
Q248,6,1,True
Q249,7,1,True
Q251,11,1,True
Q252,9,9,True
Q254,12,3,True
Q255,6,2,True
Q256,8,0,False
Q257,8,1,True
Q258,30,7,True
Q259,9,0,False
Q260,12,2,True
Q261,9,0,False
Q262,25,5,True
Q263,18,4,True
Q264,34,6,True
Q265,10,1,True
Q266,11,2,True
Q267,9,2,True
Q270,21,6,True
Q271,11,2,True
Q273,11,1,True
Q275,6,0,False
Q282,11,1,True
Q283,8,0,False
Q284,9,1,True
Q285,15,4,True
Q286,10,0,False
Q287,38,6,True
Q290,9,9,True
Q291,10,0,False
Q293,56,9,True
Q294,12,1,True
Q295,6,2,True
Q296,7,0,False
Q297,21,5,True
Q300,10,0,False
Q301,36,8,True
Q304,40,7,True
Q306,10,2,True
Q307,11,2,True
Q308,6,2,True
Q310,10,0,False
Q313,9,1,True
Q315,8,3,True
Q318,7,4,True
Q321,6,6,True
Q322,9,0,False
Q324,14,4,True
Q325,22,6,True
Q327,10,9,True
Q330,10,0,False
Q333,6,0,False
Q334,7,7,True
Q337,36,7,True
Q338,7,1,True
Q339,8,0,False
Q340,45,10,True
Q341,41,8,True
Q343,6,1,True
Q344,9,0,False
Q347,6,0,False
Q349,24,5,True
Q351,5,0,False
Q353,6,0,False
Q354,34,7,True
Q355,10,2,True
Q356,8,1,True
Q357,6,2,True
Q358,10,0,False
Q359,9,4,True
Q360,6,0,False
Q361,10,0,False
Q363,38,6,True
Q365,10,1,True
Q366,12,1,True
Q368,5,0,False
Q370,8,8,True
Q371,27,6,True
Q372,8,2,True
Q373,8,1,True
Q374,9,0,False
Q376,9,1,True
Q377,6,0,False
Q378,9,0,False
Q380,8,0,False
Q383,9,1,True
Q384,9,8,True
Q385,11,1,True
Q386,7,2,True
Q388,11,4,True
Q389,7,0,False
Q390,9,9,True
Q391,8,0,False
Q392,36,7,True
Q393,29,5,True
Q395,26,5,True
Q397,53,9,True
Q398,9,8,True
Q399,12,4,True
Q401,12,2,True
Q404,12,7,True
Q406,12,2,True
Q407,19,4,True
Q408,23,5,True
Q409,40,6,True
Q411,11,2,True
Q412,10,0,False
Q413,8,0,False
Q415,7,0,False
Q416,12,9,True
Q417,12,1,True
Q420,26,7,True
Q421,30,6,True
Q422,6,1,True
Q426,23,6,True
Q427,24,5,True
Q429,30,5,True
Q430,11,1,True
Q434,5,0,False
Q437,10,1,True
Q438,7,2,True
Q439,10,0,False
Q440,45,7,True
Q445,5,0,False
Q446,9,0,False
Q447,9,1,True
Q448,9,0,False
Q449,7,4,True
Q450,27,6,True
Q452,6,1,True
