split,configuration,language,queries,eligible_queries,baseline_ndcg@10,candidate_ndcg@10,delta_ndcg@10,improved_queries,worsened_queries,unchanged_queries
validation,selected_pubmedbert_blend,EN,59,47,0.03601447646008172,0.03601447646008172,0.0,0,0,47
validation,selected_pubmedbert_blend,ID,29,28,0.06136225975736487,0.06136225975736487,0.0,0,0,28
validation,selected_pubmedbert_blend,MIXED,51,38,0.0038048996107325037,0.0038048996107325037,0.0,0,0,38
validation,pubmedbert_full_replacement,EN,59,47,0.03601447646008172,0.03601447646008172,0.0,0,0,47
validation,pubmedbert_full_replacement,ID,29,28,0.06136225975736487,0.050095657015017406,-0.011266602742347458,1,1,26
validation,pubmedbert_full_replacement,MIXED,51,38,0.0038048996107325037,0.003860693309796329,5.579369906382499e-05,1,0,37
validation,pubmedbert_dense_only,EN,59,47,0.040504226088094744,0.012157102762670574,-0.02834712332542417,2,6,39
validation,pubmedbert_dense_only,ID,29,28,0.03840119206341854,0.04848027291873653,0.010079080855317987,5,4,19
validation,pubmedbert_dense_only,MIXED,51,38,0.013164770547189581,0.001970058505467171,-0.011194712041722411,1,2,35
test,selected_pubmedbert_blend,EN,70,52,0.022789530163348674,0.022789530163348674,0.0,0,0,52
test,selected_pubmedbert_blend,ID,25,20,0.010199909963298856,0.010199909963298856,0.0,0,0,20
test,selected_pubmedbert_blend,MIXED,44,38,0.017036099531299097,0.017036099531299097,0.0,0,0,38
test,pubmedbert_full_replacement,EN,70,52,0.022789530163348674,0.02200602419561226,-0.0007835059677364109,0,2,50
test,pubmedbert_full_replacement,ID,25,20,0.010199909963298856,0.006608052524347976,-0.0035918574389508786,0,1,19
test,pubmedbert_full_replacement,MIXED,44,38,0.017036099531299097,0.009485778763600556,-0.007550320767698543,1,1,36
test,pubmedbert_dense_only,EN,70,52,0.028900923820639707,0.04018882376176358,0.01128789994112387,4,2,46
test,pubmedbert_dense_only,ID,25,20,0.0028459333167543833,0.0,-0.0028459333167543833,0,1,19
test,pubmedbert_dense_only,MIXED,44,38,0.004816628547043102,0.007112456515518823,0.002295827968475721,2,1,35
