protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20,full_ndcg@10,delta_vs_full
temporal,validation,full:minus_bm25,relevance_grade,1,query_language,EN,59,47,12,0.0677966101694915,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0451977401129943,0.0478723404255319,0.0638297872340425,0.0531914893617021,0.0468407477000106,0.0338983050847457,0.0478723404255319,0.0638297872340425,0.0531914893617021,0.0466527743324221,0.035593220338983,0.052127659574468,0.0851063829787234,0.0555555555555555,0.0476841052367541,0.0338983050847457,0.0862293144208037,0.1914893617021276,0.0621389335876194,0.0570864100370284,0.0360144764600817,0.011669628776672401
temporal,validation,full:minus_bm25,relevance_grade,1,query_language,ID,29,28,1,0.0689655172413793,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0689655172413793,0.0428571428571428,0.0714285714285714,0.0476190476190476,0.0385076114644211,0.0551724137931034,0.0428571428571428,0.0714285714285714,0.0476190476190476,0.0381908951102555,0.0448275862068965,0.0785714285714285,0.1071428571428571,0.0520833333333333,0.0494574978526029,0.0413793103448275,0.1023809523809523,0.1785714285714285,0.0575622294372294,0.0580403442366471,0.0613622597573648,-0.011904761904761897
temporal,validation,full:minus_bm25,relevance_grade,1,query_language,MIXED,51,38,13,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0043859649122807,0.0263157894736842,0.0052631578947368,0.0037837280891772,0.0156862745098039,0.0043859649122807,0.0263157894736842,0.0052631578947368,0.0036238075266327,0.0166666666666666,0.0087719298245614,0.0263157894736842,0.0052631578947368,0.004423028487389,0.0038048996107325,-0.00018109208409980036
temporal,validation,full:minus_bm25,relevance_grade,1,query_intent,Comparative Treatment Choice,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0
temporal,validation,full:minus_bm25,relevance_grade,1,query_intent,Dosing / Administration,26,21,5,0.0769230769230769,0.0,0.0,0.0,0.0,0.0512820512820512,0.0,0.0,0.0,0.0,0.0307692307692307,0.0,0.0,0.0,0.0,0.0307692307692307,0.0,0.0,0.0,0.0,0.0326923076923076,0.0218253968253968,0.0952380952380952,0.0067099567099567,0.0034004966893161,0.0,0.0
temporal,validation,full:minus_bm25,relevance_grade,1,query_intent,Efficacy / Outcomes,4,3,1,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
temporal,validation,full:minus_bm25,relevance_grade,1,query_intent,Guideline / Evidence Lookup,16,13,3,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.028125,0.0256410256410256,0.0769230769230769,0.0048076923076923,0.0162017027925454,0.0,0.0
temporal,validation,full:minus_bm25,relevance_grade,1,query_intent,Interaction / Combination,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0285714285714285,0.1428571428571428,0.0476190476190476,0.0111733030005418,0.0571428571428571,0.0285714285714285,0.1428571428571428,0.0476190476190476,0.0099064375838791,0.0571428571428571,0.0285714285714285,0.1428571428571428,0.0476190476190476,0.0099064375838791,0.0428571428571428,0.0285714285714285,0.1428571428571428,0.0476190476190476,0.0099064375838791,0.0099064375838791,0.0
temporal,validation,full:minus_bm25,relevance_grade,1,query_intent,Management / Treatment Selection,11,10,1,0.0909090909090909,0.1,0.1,0.1,0.1,0.0606060606060606,0.1,0.1,0.1,0.1,0.0545454545454545,0.1,0.1,0.1,0.1,0.0454545454545454,0.1,0.1,0.1,0.1,0.0363636363636363,0.1,0.1,0.1,0.1,0.1333333333333333,-0.0333333333333333
temporal,validation,full:minus_bm25,relevance_grade,1,query_intent,Mechanism / Background Knowledge,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
