intent_name,review_rank,review_type,query_id,query_text,prototype_top_intent,prototype_margin,matched_weak_anchor_rules,liang_probability,liang_probability_margin,clinical_coherence,boundary_explainable,review_decision,review_notes,reviewer_scope
Management / Treatment Selection,1,representative,Q332,kapan mulai terapi Desmopressin pada Diabetes Insipidus,Management / Treatment,0.039,Management / Treatment Selection,0.9812,0.9714,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,2,representative,Q245,kapan mulai terapi Pembrolizumab pada Non-Small Cell Lung Cancer,Management / Treatment,0.039,Management / Treatment Selection,0.9812,0.9714,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,3,representative,Q046,kapan mulai terapi Adalimumab pada Gout,Management / Treatment,0.039,Management / Treatment Selection,0.9812,0.9714,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,4,representative,Q123,kapan mulai terapi Rivaroxaban pada Deep Vein Thrombosis,Management / Treatment,0.039,Management / Treatment Selection,0.9812,0.9714,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,5,representative,Q410,kapan mulai terapi Alteplase pada Ischaemic Stroke,Management / Treatment,0.039,Management / Treatment Selection,0.9812,0.9714,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,6,representative,Q172,kapan mulai terapi Aspirin pada Stable Angina,Management / Treatment,0.039,Management / Treatment Selection,0.9812,0.9714,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,7,boundary_or_low_margin,Q446,Type 1 Diabetes Mellitus dengan pregnancy pilihan terapi,Management / Treatment,0.0256,Management / Treatment Selection; Safety / Contraindication,0.9692,0.957,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,8,boundary_or_low_margin,Q044,Malaria with pregnancy first line drug,Pharmacotherapy,0.0692,Management / Treatment Selection; Safety / Contraindication,0.9818,0.9688,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,9,boundary_or_low_margin,Q406,Ischaemic Stroke with pregnancy first line drug,Pharmacotherapy,0.0692,Management / Treatment Selection; Safety / Contraindication,0.9818,0.9688,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Management / Treatment Selection,10,boundary_or_low_margin,Q483,Hypertension dengan pregnancy pilihan drug terbaik,Pharmacotherapy,0.1361,Management / Treatment Selection; Safety / Contraindication,0.9891,0.9836,coherent,yes,supports proposed class,"Primary request matches: first-line choice, best therapy, treatment algorithm, when to start.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,1,representative,Q241,dosis Dupilumab untuk pasien Psoriasis,Pharmacotherapy,0.1062,Dosing / Administration,0.9318,0.9033,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,2,representative,Q181,dosis Alteplase untuk pasien Ischaemic Stroke,Pharmacotherapy,0.1062,Dosing / Administration,0.9318,0.9033,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,3,representative,Q349,dosis Liraglutide untuk pasien Obesity,Pharmacotherapy,0.1062,Dosing / Administration,0.9318,0.9033,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,4,representative,Q359,dosis Adalimumab untuk pasien Systemic Lupus Erythematosus,Pharmacotherapy,0.1062,Dosing / Administration,0.9318,0.9033,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,5,representative,Q264,dosis Levothyroxine untuk pasien Hypothyroidism,Pharmacotherapy,0.1062,Dosing / Administration,0.9318,0.9033,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,6,representative,Q165,dosis Escitalopram untuk pasien ADHD,Pharmacotherapy,0.1062,Dosing / Administration,0.9318,0.9033,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,7,boundary_or_low_margin,Q111,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,Pharmacotherapy,0.0012,Safety / Contraindication,0.405,0.0022,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,8,boundary_or_low_margin,Q336,Lithium contraindication in Bipolar Disorder with anaemia,Pharmacotherapy,0.0012,Safety / Contraindication,0.405,0.0022,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Dosing / Administration,9,boundary_or_low_margin,Q434,Rosuvastatin contraindication in Acute Coronary Syndrome with anaemia,Pharmacotherapy,0.0012,Safety / Contraindication,0.405,0.0022,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
