group_type,group_name,n_queries,top_unigrams_and_bigrams,top_unigrams,top_bigrams,representative_query_ids,representative_queries
semantic_cluster,0,216,medicine disease; medicine medicine; vs medicine; vs; medicine vs; kapan; switch; switch medicine; terbaru; prophylaxis; therapy; guideline,vs; kapan; switch; terbaru; prophylaxis; therapy; guideline; start,medicine disease; medicine medicine; vs medicine; medicine vs; switch medicine; start medicine; disease medicine; therapy disease,Q262; Q006; Q155; Q231; Q328,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak || kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak || kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak || kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak || kombinasi Piperacillin-tazobactam dan Hydrocortisone pada Sepsis aman atau tidak
semantic_cluster,1,34,renal; disease renal; renal impairment; impairment; hypertension; disease hypertension; impairment penyesuaian; penyesuaian dosis; penyesuaian; dosis medicine; dosis; adjustment medicine,renal; impairment; hypertension; penyesuaian; dosis; adjustment; aman; kontraindikasi,disease renal; renal impairment; disease hypertension; impairment penyesuaian; penyesuaian dosis; dosis medicine; adjustment medicine; dose adjustment,Q148; Q191; Q019; Q380; Q011,MDR Tuberculosis dengan renal impairment penyesuaian dosis Bedaquiline || Heart Failure dengan renal impairment penyesuaian dosis Bisoprolol || Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib || Type 2 Diabetes Mellitus dengan renal impairment penyesuaian dosis Liraglutide || Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical
semantic_cluster,2,14,disease diabetes; diabetes; obesity; disease obesity; medicine dosing; dosing disease; safe; safe disease; medicine safe; dosing; kontraindikasi; drug,diabetes; obesity; safe; dosing; kontraindikasi; drug; terbaik; pilihan,disease diabetes; disease obesity; medicine dosing; dosing disease; safe disease; medicine safe; kontraindikasi medicine; pilihan drug,Q464; Q374; Q497; Q228; Q162,kontraindikasi Semaglutide pada Obesity dengan diabetes || kontraindikasi Ramipril pada Hypertension dengan diabetes || is Rosuvastatin safe in Acute Coronary Syndrome with diabetes || is Aspirin safe in Ischaemic Stroke with diabetes || Diazepam contraindication in Febrile Seizure with diabetes
semantic_cluster,3,21,hepatic impairment; hepatic; impairment dose; medicine hepatic; impairment; dose disease; dose; disease hepatic; liver disease; liver; disease liver; drugclass kontraindikasi,hepatic; impairment; dose; liver; safe; kontraindikasi; drug; terbaik,hepatic impairment; impairment dose; medicine hepatic; dose disease; disease hepatic; liver disease; disease liver; drugclass kontraindikasi,Q277; Q299; Q050; Q135; Q154,Amoxicillin hepatic impairment dose in HIV/AIDS || Zinc hepatic impairment dose in Stunting / Malnutrition || Levofloxacin hepatic impairment dose in HIV/AIDS || Rosuvastatin hepatic impairment dose in Acute Coronary Syndrome || Apixaban hepatic impairment dose in Community-acquired Pneumonia
semantic_cluster,4,10,copd; disease copd; ckd; disease ckd; kontraindikasi; kontraindikasi medicine; drug; medicine disease; line drug; line; first line; first,copd; ckd; kontraindikasi; drug; line; first; dosing; safe,disease copd; disease ckd; kontraindikasi medicine; medicine disease; line drug; first line; kontraindikasi disease; dosing disease,Q233; Q131; Q142; Q450; Q297,kontraindikasi Budesonide pada Asthma dengan COPD || kontraindikasi Rifampicin pada Tuberculosis dengan COPD || Vitamin A kontraindikasi pada Stunting / Malnutrition dengan COPD || kontraindikasi Liraglutide pada Type 2 Diabetes Mellitus dengan CKD || Colorectal Cancer with COPD first line drug
semantic_cluster,5,17,toleransi; dosis titrasi; disease toleransi; titrasi; titrasi medicine; protocol medicine; protocol; titration; titration protocol; medicine disease; dosis,toleransi; titrasi; protocol; titration; dosis,dosis titrasi; disease toleransi; titrasi medicine; protocol medicine; titration protocol; medicine disease,Q220; Q294; Q069; Q110; Q139,dosis titrasi Nivolumab Colorectal Cancer toleransi pasien || dosis titrasi Levothyroxine Hyperthyroidism toleransi pasien || dosis titrasi Alendronate Osteoporosis toleransi pasien || dosis titrasi Topiramate Epilepsy toleransi pasien || dosis titrasi Artemether-lumefantrine Typhoid Fever toleransi pasien
semantic_cluster,6,88,monitoring; mechanism; drugclass mechanism; parameters; parameters medicine; monitoring parameters; action; action disease; mechanism action; drugclass terbaru; terbaru disease; pathophysiology,monitoring; mechanism; parameters; action; pathophysiology; role; terbaru; parameter,drugclass mechanism; parameters medicine; monitoring parameters; action disease; mechanism action; drugclass terbaru; terbaru disease; disease pathophysiology,Q237; Q418; Q498; Q259; Q174,monitoring BCR-ABL inhibitors pada Chronic Myeloid Leukaemia parameter apa || monitoring Xanthine oxidase inhibitors pada Psoriatic Arthritis parameter apa || monitoring Factor Xa inhibitors pada Deep Vein Thrombosis parameter apa || monitoring Atypical antipsychotics pada Schizophrenia parameter apa || monitoring Thyroid hormones pada Hypothyroidism parameter apa
semantic_cluster,7,4,heart; heart failure; disease heart; failure; kontraindikasi; drugclass kontraindikasi; dosing disease; medicine dosing; kontraindikasi disease; kontraindikasi medicine; dosing; line drug,heart; failure; kontraindikasi; dosing; first; line; drug,heart failure; disease heart; drugclass kontraindikasi; dosing disease; medicine dosing; kontraindikasi disease; kontraindikasi medicine; line drug,Q125; Q475; Q222; Q132,kontraindikasi Secukinumab pada Gout dengan heart failure || Vitamin K antagonists kontraindikasi pada Deep Vein Thrombosis dengan heart failure || MDR Tuberculosis with heart failure first line drug || Methotrexate dosing in Systemic Lupus Erythematosus with heart failure
semantic_cluster,8,13,elderly; disease perlu; perlu; medicine elderly; elderly disease; perlu adjustment; adjustment; disease elderly; drug; elderly pilihan; drug terbaik; terbaik,elderly; perlu; adjustment; drug; terbaik; pilihan; safe; first,disease perlu; medicine elderly; elderly disease; perlu adjustment; disease elderly; elderly pilihan; drug terbaik; pilihan drug,Q411; Q270; Q249; Q239; Q161,Alendronate pada pasien elderly Osteoporosis apa perlu adjustment || Bedaquiline pada pasien elderly MDR Tuberculosis apa perlu adjustment || Sitagliptin pada pasien elderly Type 2 Diabetes Mellitus apa perlu adjustment || Ramipril pada pasien elderly Hypertension apa perlu adjustment || Magnesium sulphate pada pasien elderly Preeclampsia apa perlu adjustment
semantic_cluster,9,8,risk stratification; stratification; stratification approach; disease risk; approach; risk,stratification; approach; risk,risk stratification; stratification approach; disease risk,Q440; Q416; Q397; Q251; Q221,Atrial Fibrillation risk stratification approach || Urinary Tract Infection risk stratification approach || Malaria risk stratification approach || Bipolar Disorder risk stratification approach || Chronic Lymphocytic Leukaemia risk stratification approach
