query_id,query_text,query_group,split
Q001,is Diazepam safe in Febrile Seizure with immunocompromised,Q001,train
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,Q002,test
Q003,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,Q003,train
Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,Q004,train
Q005,Penicillins in pregnancy and HIV/AIDS,Q005,validation
Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,Q006,validation
Q007,Hydroxychloroquine hepatic impairment dose in Rheumatoid Arthritis,Q007,test
Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,Q008,train
Q009,Tenofovir+Lamivudine drug interaction with Tenofovir+Lamivudine in Urinary Tract Infection,Q009,train
Q010,renal dose adjustment Magnesium sulphate in Preeclampsia,Q010,validation
Q011,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,Q011,test
Q012,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment,Q012,validation
Q013,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,Q013,train
Q014,Malaria pediatric dosing Tenofovir disoproxil,Q014,validation
Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,Q015,test
Q016,is Bortezomib safe in Rheumatoid Arthritis with renal impairment,Q016,test
Q017,PD-1 inhibitors mechanism untuk Colorectal Cancer bagaimana cara kerjanya,Q017,test
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,Q018,test
Q019,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,Q019,validation
Q020,latest Malaria management guidelines 2025,Q020,train
Q021,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,Q021,train
Q022,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,Q022,validation
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,Q023,test
Q024,Gout dengan renal impairment penyesuaian dosis Adalimumab,Q024,test
Q025,Acute Coronary Syndrome guideline update 2023 summary,Q025,train
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,Q026,train
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,Q027,train
Q028,ACE inhibitors adverse effects monitoring in Hypertension,Q028,train
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,Q029,validation
Q030,is Losartan safe in Hypertension with liver disease,Q030,train
Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,Q031,train
Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,Q032,test
Q033,dosis Semaglutide pada Obesity pasien hypertension aman tidak,Q033,validation
Q034,Typhoid Fever treatment algorithm Antimalarials first line,Q034,train
Q035,algoritma terapi HIV/AIDS step up,Q035,test
Q036,Atrial Fibrillation pediatric dosing Empagliflozin,Q036,test
Q037,SSRIs in pregnancy and ADHD,Q037,test
Q038,Integrase inhibitors terbaru untuk Malaria terbaru,Q038,validation
Q039,algoritma terapi Chronic Kidney Disease step up,Q039,train
Q040,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin,Q040,validation
Q041,SGLT2 inhibitors mechanism of action in Chronic Kidney Disease,Q041,train
Q042,switch from Piperacillin-tazobactam to Norepinephrine in Sepsis,Q042,test
Q043,Thyroid hormones kontraindikasi pada Hyperthyroidism dengan hepatic impairment,Q043,test
Q044,Malaria with pregnancy first line drug,Q044,test
Q045,switch from Diazepam to Diazepam in Febrile Seizure,Q045,train
Q046,kapan mulai terapi Adalimumab pada Gout,Q046,train
Q047,Tiotropium long term outcomes COPD,Q047,train
Q048,Ibuprofen long term outcomes Systemic Lupus Erythematosus,Q048,train
Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,Q049,validation
Q050,Levofloxacin hepatic impairment dose in HIV/AIDS,Q050,test
Q051,add on therapy Malaria after Dolutegravir failure,Q051,train
Q052,HIV/AIDS first line Penicillins evidence based,Q052,train
Q053,Atypical antipsychotics mechanism of action in Schizophrenia,Q053,validation
Q054,is Empagliflozin safe in Chronic Kidney Disease with renal impairment,Q054,train
Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,Q055,train
Q056,Sepsis emergency Piperacillin-tazobactam loading dose berapa,Q056,train
Q057,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif,Q057,train
Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,Q058,test
Q059,switch dari Dupilumab ke Cyclosporine Psoriasis progresif,Q059,train
Q060,Migraine with liver disease first line drug,Q060,validation
