slice_family,slice_name,split,comparison,baseline,candidate,global_queries,eligible_queries,baseline_ndcg@10,candidate_ndcg@10,mean_delta_ndcg@10,lower_95,upper_95,improved_queries,worsened_queries,unchanged_queries
overall,All queries,validation,structured_vs_bm25,bm25,bm25_structured,500,113,0.02399589634478664,0.02966193128906403,0.005666034944277393,-0.00044831999020260646,0.014410021586410929,7,3,103
overall,All queries,validation,hybrid_vs_bm25,bm25,hybrid,500,113,0.02399589634478664,0.027269732282327003,0.0032738359375403627,-0.0048605361957707515,0.012811003514832232,8,5,100
overall,All queries,validation,intent_vs_hybrid,hybrid,hybrid_intent,500,113,0.027269732282327003,0.03146380400033533,0.004194071718008326,-0.007280567263743646,0.01767938625687457,6,4,103
overall,All queries,test,structured_vs_bm25,bm25,bm25_structured,500,110,0.010211669509839694,0.014768628571674223,0.004556959061834526,-0.0034299426668772262,0.015545714962452665,6,3,101
overall,All queries,test,hybrid_vs_bm25,bm25,hybrid,500,110,0.010211669509839694,0.011048473301497105,0.0008368037916574112,-0.005275250070014665,0.009540414109443219,3,3,104
overall,All queries,test,intent_vs_hybrid,hybrid,hybrid_intent,500,110,0.011048473301497105,0.018512959544995218,0.007464486243498108,-0.0003366823610431,0.017633116042270924,8,2,100
language,English,validation,structured_vs_bm25,bm25,bm25_structured,222,47,0.021942479808017445,0.02945536495736945,0.007512885149351999,-0.0005596234317207872,0.022352685281990636,3,1,43
language,English,validation,hybrid_vs_bm25,bm25,hybrid,222,47,0.021942479808017445,0.03138911171972128,0.009446631911703833,0.0,0.024632841664966026,4,1,42
language,English,validation,intent_vs_hybrid,hybrid,hybrid_intent,222,47,0.03138911171972128,0.03601447646008172,0.004625364740360437,-0.01845787827885304,0.031201535632978238,3,2,42
language,English,test,structured_vs_bm25,bm25,bm25_structured,222,52,0.014066782389999479,0.018604277199716756,0.004537494809717276,-0.00756175458246593,0.02116809250986179,2,1,49
language,English,test,hybrid_vs_bm25,bm25,hybrid,222,52,0.014066782389999479,0.018604277199716756,0.004537494809717276,-0.00756175458246593,0.02116809250986179,2,1,49
language,English,test,intent_vs_hybrid,hybrid,hybrid_intent,222,52,0.018604277199716756,0.02278953016334867,0.004185252963631914,-0.006857034124170205,0.020312540196125932,3,2,47
language,Bahasa Indonesia,validation,structured_vs_bm25,bm25,bm25_structured,105,28,0.055889628055804344,0.06370674087413443,0.007817112818330075,-0.007427511634993607,0.03218891966280165,2,2,24
language,Bahasa Indonesia,validation,hybrid_vs_bm25,bm25,hybrid,105,28,0.055889628055804344,0.05080657710299797,-0.005083050952806373,-0.03177885110691768,0.025450379948042442,2,4,22
