query_id_a,intent_a,query_text_a,query_id_b,intent_b,query_text_b,cosine_similarity,review_decision,boundary_basis,reviewer_scope
Q133,Dosing / Administration,Omeprazole contraindication in Peptic Ulcer Disease with hypertension,Q333,Safety / Contraindication,kontraindikasi Diazepam pada Febrile Seizure dengan hypertension,0.947,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q227,Dosing / Administration,Spironolactone contraindication in Heart Failure with hypertension,Q333,Safety / Contraindication,kontraindikasi Diazepam pada Febrile Seizure dengan hypertension,0.947,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q026,Safety / Contraindication,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,Q211,Management / Treatment Selection,Tuberculosis dengan atrial fibrillation pilihan terapi,0.9456,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q022,Treatment Change / Escalation,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,Q068,Interaction / Combination,Labetalol resistance in Hypertension in Pregnancy alternative therapy,0.9435,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q040,Treatment Change / Escalation,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin,Q068,Interaction / Combination,Labetalol resistance in Hypertension in Pregnancy alternative therapy,0.9435,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q247,Treatment Change / Escalation,resistensi Aspirin pada Ischaemic Stroke alternatif Alteplase,Q068,Interaction / Combination,Labetalol resistance in Hypertension in Pregnancy alternative therapy,0.9435,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q274,Treatment Change / Escalation,resistensi Alendronate pada Osteoporosis alternatif Alendronate,Q068,Interaction / Combination,Labetalol resistance in Hypertension in Pregnancy alternative therapy,0.9435,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q293,Treatment Change / Escalation,resistensi Prednisolone pada Asthma alternatif Azithromycin,Q068,Interaction / Combination,Labetalol resistance in Hypertension in Pregnancy alternative therapy,0.9435,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q296,Treatment Change / Escalation,resistensi Bedaquiline pada Tuberculosis alternatif Rifampicin,Q068,Interaction / Combination,Labetalol resistance in Hypertension in Pregnancy alternative therapy,0.9435,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q350,Interaction / Combination,Valproate resistance in Epilepsy alternative therapy,Q022,Treatment Change / Escalation,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,0.9435,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q485,Interaction / Combination,Lansoprazole resistance in Peptic Ulcer Disease alternative therapy,Q022,Treatment Change / Escalation,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,0.9435,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q011,Dosing / Administration,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q019,Dosing / Administration,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q024,Dosing / Administration,Gout dengan renal impairment penyesuaian dosis Adalimumab,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q076,Dosing / Administration,Acute Coronary Syndrome dengan renal impairment penyesuaian dosis Ezetimibe,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q148,Dosing / Administration,MDR Tuberculosis dengan renal impairment penyesuaian dosis Bedaquiline,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q191,Dosing / Administration,Heart Failure dengan renal impairment penyesuaian dosis Bisoprolol,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
