query_id,query_text,extracted_slots,review_label,error_type,review_notes
Q050,Levofloxacin hepatic impairment dose in HIV/AIDS,dose_context_flag=true; hepatic_impairment_flag=true,,,
Q409,Spironolactone dosing in Heart Failure with obesity,dose_context_flag=true,,,
Q187,dosis Venlafaxine pada Major Depressive Disorder pasien hypertension aman tidak,dose_context_flag=true; negation_flag=true,,,
Q137,ARBs mechanism untuk Heart Failure bagaimana cara kerjanya,none,,,
Q359,dosis Adalimumab untuk pasien Systemic Lupus Erythematosus,dose_context_flag=true,,,
Q416,Urinary Tract Infection risk stratification approach,none,,,
Q120,latest Hypertension management guidelines terbaru,recency_flag=true,,,
Q149,Factor Xa inhibitors mechanism of action in Community-acquired Pneumonia,none,,,
Q456,kapan start Zinc di Stunting / Malnutrition evidence terbaru 2023,year=2023; recency_flag=true,,,
Q495,TNF inhibitors adverse effects monitoring in Systemic Lupus Erythematosus,none,,,
Q092,switch dari Levothyroxine ke Levothyroxine Hyperthyroidism progresif,none,,,
Q210,switch dari Venlafaxine ke Escitalopram Major Depressive Disorder progresif,none,,,
Q438,Schizophrenia emergency Risperidone loading dose berapa,dose_context_flag=true,,,
Q423,prophylaxis Hypertension in Pregnancy Methyldopa kapan bisa dihentikan,pregnancy_status=pregnant,,,
Q484,titration protocol Bedaquiline in Tuberculosis,none,,,
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,pregnancy_status=pregnant,,,
Q020,latest Malaria management guidelines 2025,year=2025; recency_flag=true,,,
Q390,panduan klinis Ischaemic Stroke terbaru,recency_flag=true,,,
Q150,Magnesium sulphate vs Magnesium sulphate untuk Preeclampsia,pregnancy_status=pregnancy_related; comparison_flag=true,,,
Q487,Centrally acting antihypertensives terbaru untuk Hypertension in Pregnancy 2025,pregnancy_status=pregnant; year=2025; recency_flag=true,,,
Q030,is Losartan safe in Hypertension with liver disease,hepatic_impairment_flag=true,,,
Q270,Bedaquiline pada pasien elderly MDR Tuberculosis apa perlu adjustment,age_group=elderly; dose_context_flag=true,,,
Q036,Atrial Fibrillation pediatric dosing Empagliflozin,age_group=pediatric; dose_context_flag=true,,,
Q141,prophylaxis Colorectal Cancer Pembrolizumab kapan bisa dihentikan,none,,,
Q349,dosis Liraglutide untuk pasien Obesity,dose_context_flag=true,,,
Q070,Furosemide long term outcomes Nephrotic Syndrome,none,,,
Q344,panduan klinis MDR Tuberculosis terbaru,recency_flag=true,,,
Q146,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,comparison_flag=true,,,
Q239,Ramipril pada pasien elderly Hypertension apa perlu adjustment,age_group=elderly; dose_context_flag=true,,,
Q235,Artemether-lumefantrine vs Artemether-lumefantrine untuk Typhoid Fever,comparison_flag=true,,,
Q021,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,dose_context_flag=true,,,
Q470,HIV/AIDS pada anak dosis Amoxicillin,age_group=pediatric; dose_context_flag=true,,,
Q379,kontraindikasi Prednisolone pada COPD dengan renal impairment,renal_function_group=renal_impairment,,,
Q172,kapan mulai terapi Aspirin pada Stable Angina,none,,,
Q422,kapan start Rivaroxaban di Deep Vein Thrombosis evidence terbaru terbaru,recency_flag=true,,,
Q051,add on therapy Malaria after Dolutegravir failure,prior_treatment_failure_flag=true,,,
Q245,kapan mulai terapi Pembrolizumab pada Non-Small Cell Lung Cancer,none,,,
Q243,Mycophenolate mofetil dosing in Rheumatoid Arthritis with diabetes,dose_context_flag=true,,,
Q400,COPD pada anak dosis Salmeterol,age_group=pediatric; dose_context_flag=true,,,
Q331,Osteoporosis dengan renal impairment penyesuaian dosis Alendronate,dose_context_flag=true; renal_function_group=renal_impairment,,,
Q398,Corticosteroids terbaru untuk Sepsis 2024,year=2024; recency_flag=true,,,
Q014,Malaria pediatric dosing Tenofovir disoproxil,age_group=pediatric; dose_context_flag=true,,,
Q037,SSRIs in pregnancy and ADHD,pregnancy_status=pregnant,,,
Q323,efek samping Inhaled corticosteroids pada Asthma,route=inhaled,,,
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,none,,,
Q494,Corticosteroids terbaru untuk COPD terbaru,recency_flag=true,,,
Q268,Beta blockers non-selective mechanism of action in Hypertension in Pregnancy,pregnancy_status=pregnant,,,
Q062,latest COPD management guidelines terbaru,recency_flag=true,,,
Q260,terapi profilaksis Schizophrenia dengan Risperidone,none,,,
Q091,Liraglutide pada pasien elderly Obesity apa perlu adjustment,age_group=elderly; dose_context_flag=true,,,
Q224,Losartan hepatic impairment dose in Hypertension,dose_context_flag=true; hepatic_impairment_flag=true,,,
Q130,Bisoprolol dosing in Heart Failure with hypertension,dose_context_flag=true,,,
Q093,penggantian Ezetimibe ke Amlodipine pada Acute Coronary Syndrome,none,,,
Q067,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025,year=2025; recency_flag=true,,,
Q320,is Bedaquiline safe in Tuberculosis with hepatic impairment,hepatic_impairment_flag=true,,,
Q238,Basal insulins in pregnancy and Type 1 Diabetes Mellitus,pregnancy_status=pregnant,,,
Q160,Obesity pada anak dosis Liraglutide,age_group=pediatric; dose_context_flag=true,,,
Q183,Hypertension in Pregnancy pediatric dosing Methyldopa,age_group=pediatric; pregnancy_status=pregnant; dose_context_flag=true,,,
Q402,target Obesity sudah tercapai kapan maintenance Semaglutide,none,,,
Q293,resistensi Prednisolone pada Asthma alternatif Azithromycin,prior_treatment_failure_flag=true,,,
