query_id,query_text,query_language,query_intent,observed_content,positive_content,meaningful_content,strong_content,has_observed_positive,has_meaningful_positive,has_strong_positive,eligible_for_positive_dependent_metrics
Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,MIXED,Efficacy / Outcomes,10,0,0,0,False,False,False,False
Q013,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,MIXED,Safety / Contraindication,7,0,0,0,False,False,False,False
Q014,Malaria pediatric dosing Tenofovir disoproxil,EN,Dosing / Administration,9,0,0,0,False,False,False,False
Q016,is Bortezomib safe in Rheumatoid Arthritis with renal impairment,EN,Safety / Contraindication,7,0,0,0,False,False,False,False
Q017,PD-1 inhibitors mechanism untuk Colorectal Cancer bagaimana cara kerjanya,MIXED,Mechanism / Background Knowledge,5,0,0,0,False,False,False,False
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,Guideline / Evidence Lookup,6,0,0,0,False,False,False,False
Q024,Gout dengan renal impairment penyesuaian dosis Adalimumab,MIXED,Dosing / Administration,9,0,0,0,False,False,False,False
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,Efficacy / Outcomes,7,0,0,0,False,False,False,False
Q034,Typhoid Fever treatment algorithm Antimalarials first line,EN,Management / Treatment Selection,6,0,0,0,False,False,False,False
Q036,Atrial Fibrillation pediatric dosing Empagliflozin,EN,Dosing / Administration,5,0,0,0,False,False,False,False
Q037,SSRIs in pregnancy and ADHD,EN,Safety / Contraindication,8,0,0,0,False,False,False,False
Q041,SGLT2 inhibitors mechanism of action in Chronic Kidney Disease,EN,Mechanism / Background Knowledge,6,0,0,0,False,False,False,False
Q045,switch from Diazepam to Diazepam in Febrile Seizure,EN,Treatment Change / Escalation,7,0,0,0,False,False,False,False
Q047,Tiotropium long term outcomes COPD,EN,Efficacy / Outcomes,7,0,0,0,False,False,False,False
Q048,Ibuprofen long term outcomes Systemic Lupus Erythematosus,EN,Efficacy / Outcomes,6,0,0,0,False,False,False,False
Q050,Levofloxacin hepatic impairment dose in HIV/AIDS,EN,Dosing / Administration,6,0,0,0,False,False,False,False
Q052,HIV/AIDS first line Penicillins evidence based,MIXED,Guideline / Evidence Lookup,7,0,0,0,False,False,False,False
Q053,Atypical antipsychotics mechanism of action in Schizophrenia,EN,Mechanism / Background Knowledge,8,0,0,0,False,False,False,False
Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,EN,Mechanism / Background Knowledge,10,0,0,0,False,False,False,False
Q064,monitoring parameters Methyldopa in Hypertension in Pregnancy,EN,Monitoring / Response / Risk Assessment,10,0,0,0,False,False,False,False
Q071,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,EN,Comparative Treatment Choice,9,0,0,0,False,False,False,False
Q072,prophylaxis Typhoid Fever Artemether-lumefantrine kapan bisa dihentikan,MIXED,Prophylaxis / Maintenance,5,0,0,0,False,False,False,False
Q074,Zinc supplements role in Stunting / Malnutrition pathophysiology,EN,Mechanism / Background Knowledge,6,0,0,0,False,False,False,False
Q080,Urinary Tract Infection dengan obesity pilihan drug terbaik,MIXED,Management / Treatment Selection,9,0,0,0,False,False,False,False
Q082,add on therapy Tuberculosis after Isoniazid failure,EN,Treatment Change / Escalation,5,0,0,0,False,False,False,False
Q084,algoritma terapi COPD step up,ID,Management / Treatment Selection,7,0,0,0,False,False,False,False
Q088,renal dose adjustment Diazepam in Febrile Seizure,EN,Dosing / Administration,10,0,0,0,False,False,False,False
