literature_intent,definition,inclusion_signals,exclusion_signals,source
Management / Treatment,"Queries asking how to manage a condition, choose treatment, sequence care, or select a first-line intervention.",management; treatment algorithm; first line; treatment choice; escalation,"questions centered on drug dose, safety, interaction, or test selection","Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340"
Diagnosis / Differential Diagnosis,Queries asking which diagnosis explains observed symptoms or how to distinguish plausible diagnoses.,possible diagnosis; differential; cause of symptoms; distinguish diseases,management of an already named diagnosis; risk scoring,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340"
Work-up / Test Selection,"Queries asking which diagnostic test, imaging study, laboratory test, or investigation should be ordered next.",which test; imaging choice; laboratory selection; work-up,interpretation of a result already available,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340"
Test / Clinical Data Interpretation,"Queries asking what an existing laboratory, imaging, ECG, pathology, or other clinical result means.",interpret result; abnormal value; what does this finding mean,deciding which test to order,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340; informed by the metric/interpretation distinction in Liang et al. (2025), A hybrid model integrating RoBERTa, TF-IDF, and attention mechanism for medical query intent classification, Scientific Reports, https://doi.org/10.1038/s41598-025-25783-x"
Pharmacotherapy,"Drug-centered queries about medication choice, dosing, safety, efficacy, interactions, administration, comparison, or monitoring.",drug name/class; dose; safety; adverse effect; interaction; efficacy; comparison,non-drug management or general disease background,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340; finer boundaries informed by therapy, caution, and effect in Liang et al. (2025), A hybrid model integrating RoBERTa, TF-IDF, and attention mechanism for medical query intent classification, Scientific Reports, https://doi.org/10.1038/s41598-025-25783-x"
Evidence / Guideline Lookup,"Queries seeking a guideline, recommendation, current evidence, trial, or date-specific clinical update.",guideline; latest; update; evidence; trial; year constraint,a treatment decision without an explicit evidence request,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340"
Procedures / Techniques,"Queries asking how to perform a clinical procedure, intervention, or bedside technique.",procedure steps; technique; how to perform; operative approach,medication administration or dose titration,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340"
Epidemiology / Prognosis,"Queries asking about frequency, risk, natural history, expected outcomes, or prognosis of a condition or treatment.",incidence; prevalence; prognosis; risk; long-term outcome,drug efficacy in a named trial or immediate monitoring,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340; outcome/prognosis boundary informed by Liang et al. (2025), A hybrid model integrating RoBERTa, TF-IDF, and attention mechanism for medical query intent classification, Scientific Reports, https://doi.org/10.1038/s41598-025-25783-x"
Patient Communication / Education,"Queries asking how to explain a condition, result, treatment, or risk to a patient or caregiver.",explain to patient; counseling; patient handout; shared decision,clinician-facing background knowledge,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340"
Other / Ambiguous,"Queries whose information need is unclear, genuinely multi-intent without a primary need, or unsupported by the operational taxonomy.",underspecified; no reproducible boundary; conflicting primary needs,a query with a clear supported information need,"Monsalve et al. (2026), Clinical Information Needs Among Latin American Physicians: A Multi-Country Analysis of Semantic Clinical Search, medRxiv, https://doi.org/10.64898/2026.06.26.26356340; other-category ambiguity considerations informed by Liang et al. (2025), A hybrid model integrating RoBERTa, TF-IDF, and attention mechanism for medical query intent classification, Scientific Reports, https://doi.org/10.1038/s41598-025-25783-x"
