protocol,experiment,query_id,query_text,language,signal_agreement,fold,true_intent,predicted_intent,predicted_probability,second_intent,probability_margin,correct,embedding_prediction,embedding_correct,change_outcome
row_stratified,T1-E4,Q320,is Bedaquiline safe in Tuberculosis with hepatic impairment,EN,prototype_cluster_against_rule,5,Safety / Contraindication,Safety / Contraindication,0.24890494977885572,Dosing / Administration,0.015710023338733115,True,Dosing / Administration,False,fixed_embedding_error
template_grouped,T1-E4,Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Safety / Contraindication,False,changed_but_both_wrong
template_grouped,T1-E4,Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q046,kapan mulai terapi Adalimumab pada Gout,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q123,kapan mulai terapi Rivaroxaban pada Deep Vein Thrombosis,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q155,kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Safety / Contraindication,False,changed_but_both_wrong
template_grouped,T1-E4,Q172,kapan mulai terapi Aspirin pada Stable Angina,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q205,terapi profilaksis Typhoid Fever dengan Artemether-lumefantrine,ID,two_signal_including_rule,1,Prophylaxis / Maintenance,Management / Treatment Selection,0.1559764062338399,Treatment Change / Escalation,0.00186916231136669,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q208,terapi profilaksis Hypertension dengan Ramipril,ID,two_signal_including_rule,1,Prophylaxis / Maintenance,Management / Treatment Selection,0.1559764062338399,Treatment Change / Escalation,0.00186916231136669,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q218,kapan mulai terapi Methimazole pada Hyperthyroidism,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q231,kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Safety / Contraindication,False,changed_but_both_wrong
template_grouped,T1-E4,Q232,Prednisolone side effect pada pasien Rheumatoid Arthritis apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q245,kapan mulai terapi Pembrolizumab pada Non-Small Cell Lung Cancer,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381820454075622,Treatment Change / Escalation,0.0020632397904331856,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q253,Imatinib side effect pada pasien Chronic Myeloid Leukaemia apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q260,terapi profilaksis Schizophrenia dengan Risperidone,ID,two_signal_including_rule,1,Prophylaxis / Maintenance,Management / Treatment Selection,0.1559764062338399,Treatment Change / Escalation,0.00186916231136669,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q262,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Safety / Contraindication,False,changed_but_both_wrong
template_grouped,T1-E4,Q267,Adalimumab side effect pada pasien Gout apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q327,kombinasi Desmopressin dan Desmopressin pada Diabetes Insipidus aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Safety / Contraindication,False,changed_but_both_wrong
template_grouped,T1-E4,Q328,kombinasi Piperacillin-tazobactam dan Hydrocortisone pada Sepsis aman atau tidak,MIXED,prototype_cluster_against_rule,2,Interaction / Combination,Comparative Treatment Choice,0.1909025207956215,Safety / Contraindication,0.02707313702601097,False,Safety / Contraindication,False,changed_but_both_wrong
template_grouped,T1-E4,Q330,Lithium side effect pada pasien Bipolar Disorder apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q332,kapan mulai terapi Desmopressin pada Diabetes Insipidus,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381820454075622,Treatment Change / Escalation,0.0020632397904331856,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q348,Ramipril side effect pada pasien Hypertension apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q355,terapi profilaksis Chronic Kidney Disease dengan Empagliflozin,ID,two_signal_including_rule,1,Prophylaxis / Maintenance,Management / Treatment Selection,0.1559764062338399,Treatment Change / Escalation,0.00186916231136669,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q385,terapi profilaksis Tuberculosis dengan Isoniazid,ID,two_signal_including_rule,1,Prophylaxis / Maintenance,Management / Treatment Selection,0.1559764062338399,Treatment Change / Escalation,0.00186916231136669,False,Treatment Change / Escalation,False,changed_but_both_wrong
