side,record_id,field,value,evidence_source,evidence_text
query,Q005,pregnancy_status,pregnant,text_rule,Penicillins in pregnancy and HIV/AIDS
query,Q006,negation_flag,True,text_rule,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak
query,Q007,dose_context_flag,True,text_rule,Hydroxychloroquine hepatic impairment dose in Rheumatoid Arthritis
query,Q007,hepatic_impairment_flag,True,text_rule,Hydroxychloroquine hepatic impairment dose in Rheumatoid Arthritis
query,Q010,pregnancy_status,pregnancy_related,text_rule,renal dose adjustment Magnesium sulphate in Preeclampsia
query,Q010,dose_context_flag,True,text_rule,renal dose adjustment Magnesium sulphate in Preeclampsia
query,Q010,renal_function_group,renal_impairment,text_rule,renal dose adjustment Magnesium sulphate in Preeclampsia
query,Q011,dose_context_flag,True,text_rule,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical
query,Q011,route,topical,text_rule,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical
query,Q011,renal_function_group,renal_impairment,text_rule,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical
query,Q012,age_group,elderly,text_rule,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment
query,Q012,dose_context_flag,True,text_rule,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment
query,Q014,age_group,pediatric,text_rule,Malaria pediatric dosing Tenofovir disoproxil
query,Q014,dose_context_flag,True,text_rule,Malaria pediatric dosing Tenofovir disoproxil
query,Q016,renal_function_group,renal_impairment,text_rule,is Bortezomib safe in Rheumatoid Arthritis with renal impairment
query,Q019,dose_context_flag,True,text_rule,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib
query,Q019,renal_function_group,renal_impairment,text_rule,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib
query,Q020,year,2025,text_rule,latest Malaria management guidelines 2025
query,Q020,recency_flag,True,text_rule,latest Malaria management guidelines 2025
query,Q021,dose_context_flag,True,text_rule,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien
query,Q022,pregnancy_status,pregnant,text_rule,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa
query,Q022,prior_treatment_failure_flag,True,text_rule,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa
query,Q023,recency_flag,True,text_rule,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru
query,Q024,dose_context_flag,True,text_rule,Gout dengan renal impairment penyesuaian dosis Adalimumab
query,Q024,renal_function_group,renal_impairment,text_rule,Gout dengan renal impairment penyesuaian dosis Adalimumab
query,Q025,year,2023,text_rule,Acute Coronary Syndrome guideline update 2023 summary
query,Q025,recency_flag,True,text_rule,Acute Coronary Syndrome guideline update 2023 summary
query,Q026,pregnancy_status,pregnant,text_rule,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation
query,Q030,hepatic_impairment_flag,True,text_rule,is Losartan safe in Hypertension with liver disease
query,Q033,dose_context_flag,True,text_rule,dosis Semaglutide pada Obesity pasien hypertension aman tidak
query,Q033,negation_flag,True,text_rule,dosis Semaglutide pada Obesity pasien hypertension aman tidak
query,Q036,age_group,pediatric,text_rule,Atrial Fibrillation pediatric dosing Empagliflozin
query,Q036,dose_context_flag,True,text_rule,Atrial Fibrillation pediatric dosing Empagliflozin
query,Q037,pregnancy_status,pregnant,text_rule,SSRIs in pregnancy and ADHD
query,Q038,recency_flag,True,text_rule,Integrase inhibitors terbaru untuk Malaria terbaru
query,Q040,prior_treatment_failure_flag,True,text_rule,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin
query,Q043,hepatic_impairment_flag,True,text_rule,Thyroid hormones kontraindikasi pada Hyperthyroidism dengan hepatic impairment
query,Q044,pregnancy_status,pregnant,text_rule,Malaria with pregnancy first line drug
query,Q050,dose_context_flag,True,text_rule,Levofloxacin hepatic impairment dose in HIV/AIDS
query,Q050,hepatic_impairment_flag,True,text_rule,Levofloxacin hepatic impairment dose in HIV/AIDS
query,Q051,prior_treatment_failure_flag,True,text_rule,add on therapy Malaria after Dolutegravir failure
query,Q054,renal_function_group,renal_impairment,text_rule,is Empagliflozin safe in Chronic Kidney Disease with renal impairment
query,Q056,dose_context_flag,True,text_rule,Sepsis emergency Piperacillin-tazobactam loading dose berapa
query,Q057,comparison_flag,True,text_rule,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif
query,Q060,hepatic_impairment_flag,True,text_rule,Migraine with liver disease first line drug
query,Q062,recency_flag,True,text_rule,latest COPD management guidelines terbaru
query,Q063,age_group,pediatric,text_rule,Malaria pada anak dosis Tenofovir disoproxil
query,Q063,dose_context_flag,True,text_rule,Malaria pada anak dosis Tenofovir disoproxil
query,Q064,pregnancy_status,pregnant,text_rule,monitoring parameters Methyldopa in Hypertension in Pregnancy
query,Q067,year,2025,text_rule,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025
query,Q067,recency_flag,True,text_rule,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025
query,Q068,pregnancy_status,pregnant,text_rule,Labetalol resistance in Hypertension in Pregnancy alternative therapy
query,Q068,prior_treatment_failure_flag,True,text_rule,Labetalol resistance in Hypertension in Pregnancy alternative therapy
query,Q069,dose_context_flag,True,text_rule,dosis titrasi Alendronate Osteoporosis toleransi pasien
query,Q071,comparison_flag,True,text_rule,Vancomycin vs Piperacillin-tazobactam in Sepsis patients
query,Q075,recency_flag,True,text_rule,Psoriasis guideline update terbaru summary
query,Q076,dose_context_flag,True,text_rule,Acute Coronary Syndrome dengan renal impairment penyesuaian dosis Ezetimibe
query,Q076,renal_function_group,renal_impairment,text_rule,Acute Coronary Syndrome dengan renal impairment penyesuaian dosis Ezetimibe
query,Q082,prior_treatment_failure_flag,True,text_rule,add on therapy Tuberculosis after Isoniazid failure
query,Q083,recency_flag,True,text_rule,latest Pulmonary Embolism management guidelines terbaru
query,Q085,comparison_flag,True,text_rule,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive
query,Q086,prior_treatment_failure_flag,True,text_rule,add on Norepinephrine setelah Piperacillin-tazobactam gagal Sepsis
query,Q087,renal_function_group,renal_impairment,text_rule,Rheumatoid Arthritis dengan renal impairment pilihan drug terbaik
query,Q088,dose_context_flag,True,text_rule,renal dose adjustment Diazepam in Febrile Seizure
query,Q088,renal_function_group,renal_impairment,text_rule,renal dose adjustment Diazepam in Febrile Seizure
query,Q091,age_group,elderly,text_rule,Liraglutide pada pasien elderly Obesity apa perlu adjustment
query,Q091,dose_context_flag,True,text_rule,Liraglutide pada pasien elderly Obesity apa perlu adjustment
query,Q094,year,2022,text_rule,kapan start Azithromycin di Asthma evidence terbaru 2022
query,Q094,recency_flag,True,text_rule,kapan start Azithromycin di Asthma evidence terbaru 2022
query,Q097,age_group,pediatric,text_rule,Iron Deficiency Anaemia pada anak dosis Ferrous sulphate
query,Q097,dose_context_flag,True,text_rule,Iron Deficiency Anaemia pada anak dosis Ferrous sulphate
query,Q098,year,2022,text_rule,ARBs terbaru untuk Hypertension 2022
query,Q098,recency_flag,True,text_rule,ARBs terbaru untuk Hypertension 2022
query,Q099,dose_context_flag,True,text_rule,Atrial Fibrillation emergency Apixaban loading dose berapa
query,Q104,dose_context_flag,True,text_rule,Erythropoietin loading dose Iron Deficiency Anaemia emergency
query,Q105,year,2025,text_rule,tatalaksana Breast Cancer HER2-positive panduan terbaru 2025
query,Q105,recency_flag,True,text_rule,tatalaksana Breast Cancer HER2-positive panduan terbaru 2025
query,Q109,recency_flag,True,text_rule,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru
query,Q110,dose_context_flag,True,text_rule,dosis titrasi Topiramate Epilepsy toleransi pasien
query,Q112,comparison_flag,True,text_rule,Alteplase vs Aspirin in Ischaemic Stroke patients
query,Q113,year,2025,text_rule,latest Obesity management guidelines 2025
query,Q113,recency_flag,True,text_rule,latest Obesity management guidelines 2025
query,Q114,comparison_flag,True,text_rule,Colchicine vs Colchicine in Psoriatic Arthritis patients
query,Q115,dose_context_flag,True,text_rule,dosis Artemether-lumefantrine untuk pasien Typhoid Fever
query,Q116,age_group,elderly,text_rule,Osteoporosis dengan elderly patients pilihan drug terbaik
query,Q118,dose_context_flag,True,text_rule,Chronic Lymphocytic Leukaemia emergency Ibrutinib loading dose berapa
query,Q120,recency_flag,True,text_rule,latest Hypertension management guidelines terbaru
query,Q122,age_group,elderly,text_rule,Tenofovir+Lamivudine pada pasien elderly Urinary Tract Infection apa perlu adjustment
query,Q122,dose_context_flag,True,text_rule,Tenofovir+Lamivudine pada pasien elderly Urinary Tract Infection apa perlu adjustment
query,Q124,prior_treatment_failure_flag,True,text_rule,add on Tenofovir disoproxil setelah Tenofovir disoproxil gagal Malaria
query,Q126,prior_treatment_failure_flag,True,text_rule,add on therapy HIV/AIDS after Levofloxacin failure
query,Q128,year,2022,text_rule,kapan start Alendronate di Osteoporosis evidence terbaru 2022
query,Q128,recency_flag,True,text_rule,kapan start Alendronate di Osteoporosis evidence terbaru 2022
query,Q129,pregnancy_status,pregnant,text_rule,Imatinib pada ibu hamil dengan Chronic Myeloid Leukaemia
query,Q130,dose_context_flag,True,text_rule,Bisoprolol dosing in Heart Failure with hypertension
query,Q132,dose_context_flag,True,text_rule,Methotrexate dosing in Systemic Lupus Erythematosus with heart failure
query,Q135,dose_context_flag,True,text_rule,Rosuvastatin hepatic impairment dose in Acute Coronary Syndrome
query,Q135,hepatic_impairment_flag,True,text_rule,Rosuvastatin hepatic impairment dose in Acute Coronary Syndrome
query,Q136,pregnancy_status,pregnant,text_rule,add on therapy Hypertension in Pregnancy after Methyldopa failure
query,Q136,prior_treatment_failure_flag,True,text_rule,add on therapy Hypertension in Pregnancy after Methyldopa failure
query,Q138,pregnancy_status,pregnant,text_rule,Pembrolizumab pada ibu hamil dengan Non-Small Cell Lung Cancer
query,Q139,dose_context_flag,True,text_rule,dosis titrasi Artemether-lumefantrine Typhoid Fever toleransi pasien
query,Q144,dose_context_flag,True,text_rule,Colchicine loading dose Psoriatic Arthritis emergency
query,Q146,comparison_flag,True,text_rule,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif
query,Q148,dose_context_flag,True,text_rule,MDR Tuberculosis dengan renal impairment penyesuaian dosis Bedaquiline
query,Q148,renal_function_group,renal_impairment,text_rule,MDR Tuberculosis dengan renal impairment penyesuaian dosis Bedaquiline
query,Q150,pregnancy_status,pregnancy_related,text_rule,Magnesium sulphate vs Magnesium sulphate untuk Preeclampsia
query,Q150,comparison_flag,True,text_rule,Magnesium sulphate vs Magnesium sulphate untuk Preeclampsia
query,Q151,pregnancy_status,pregnancy_related,text_rule,latest guideline Preeclampsia management 2024
query,Q151,year,2024,text_rule,latest guideline Preeclampsia management 2024
query,Q151,recency_flag,True,text_rule,latest guideline Preeclampsia management 2024
query,Q153,year,2023,text_rule,Rheumatoid Arthritis guideline update 2023 summary
query,Q153,recency_flag,True,text_rule,Rheumatoid Arthritis guideline update 2023 summary
query,Q154,dose_context_flag,True,text_rule,Apixaban hepatic impairment dose in Community-acquired Pneumonia
query,Q154,hepatic_impairment_flag,True,text_rule,Apixaban hepatic impairment dose in Community-acquired Pneumonia
query,Q155,negation_flag,True,text_rule,kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak
query,Q156,recency_flag,True,text_rule,indikasi Tenofovir+Lamivudine pada Urinary Tract Infection guideline terbaru
query,Q157,pregnancy_status,pregnant,text_rule,Benzodiazepines in pregnancy and Febrile Seizure
query,Q160,age_group,pediatric,text_rule,Obesity pada anak dosis Liraglutide
query,Q160,dose_context_flag,True,text_rule,Obesity pada anak dosis Liraglutide
