side,record_id,field,value,duplicate,evidence_source,evidence_span
query,Q001,disease_entity,Febrile Seizure,False,text_and_metadata,Febrile Seizure
query,Q001,molecule_entity,Diazepam,False,text_and_metadata,Diazepam
query,Q001,drug_class_entity,Benzodiazepines,False,metadata_without_literal_text_support,
query,Q001,therapeutic_area,Pediatrics,False,metadata_without_literal_text_support,
query,Q002,disease_entity,Atrial Fibrillation,False,text_and_metadata,Atrial Fibrillation
query,Q002,molecule_entity,Dapagliflozin,False,metadata_without_literal_text_support,
query,Q002,drug_class_entity,SGLT2 inhibitors,False,text_and_metadata,SGLT2 inhibitors
query,Q002,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q003,disease_entity,Colorectal Cancer,False,text_and_metadata,Colorectal Cancer
query,Q003,molecule_entity,Nivolumab,False,text_and_metadata,Nivolumab
query,Q003,molecule_entity,Nivolumab,True,text_and_metadata,Nivolumab
query,Q003,drug_class_entity,PD-1 inhibitors,False,metadata_without_literal_text_support,
query,Q003,drug_class_entity,PD-1 inhibitors,True,metadata_without_literal_text_support,
query,Q003,therapeutic_area,Oncology,False,metadata_without_literal_text_support,
query,Q004,disease_entity,Deep Vein Thrombosis,False,text_and_metadata,Deep Vein Thrombosis
query,Q004,molecule_entity,Apixaban,False,text_and_metadata,Apixaban
query,Q004,drug_class_entity,Factor Xa inhibitors,False,metadata_without_literal_text_support,
query,Q004,therapeutic_area,Haematology,False,metadata_without_literal_text_support,
query,Q005,disease_entity,HIV/AIDS,False,text_and_metadata,HIV/AIDS
query,Q005,molecule_entity,Amoxicillin,False,metadata_without_literal_text_support,
query,Q005,drug_class_entity,Penicillins,False,text_and_metadata,Penicillins
query,Q005,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q006,disease_entity,Heart Failure,False,text_and_metadata,Heart Failure
query,Q006,molecule_entity,Metoprolol,False,text_and_metadata,Metoprolol
query,Q006,molecule_entity,Metoprolol,True,text_and_metadata,Metoprolol
query,Q006,drug_class_entity,Beta blockers selective,False,metadata_without_literal_text_support,
query,Q006,drug_class_entity,Beta blockers selective,True,metadata_without_literal_text_support,
query,Q006,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q007,disease_entity,Rheumatoid Arthritis,False,text_and_metadata,Rheumatoid Arthritis
query,Q007,molecule_entity,Hydroxychloroquine,False,text_and_metadata,Hydroxychloroquine
query,Q007,drug_class_entity,Antimalarials,False,metadata_without_literal_text_support,
query,Q007,therapeutic_area,Rheumatology,False,metadata_without_literal_text_support,
query,Q008,disease_entity,Asthma,False,text_and_metadata,Asthma
query,Q008,molecule_entity,Salbutamol,False,metadata_without_literal_text_support,
query,Q008,drug_class_entity,Short-acting beta2-agonists,False,text_and_metadata,Short-acting beta2-agonists
query,Q008,therapeutic_area,Pulmonology,False,metadata_without_literal_text_support,
query,Q009,disease_entity,Urinary Tract Infection,False,text_and_metadata,Urinary Tract Infection
query,Q009,molecule_entity,Tenofovir+Lamivudine,False,text_and_metadata,Tenofovir+Lamivudine
query,Q009,molecule_entity,Tenofovir+Lamivudine,True,text_and_metadata,Tenofovir+Lamivudine
query,Q009,drug_class_entity,NRTIs combination,False,metadata_without_literal_text_support,
query,Q009,drug_class_entity,NRTIs combination,True,metadata_without_literal_text_support,
query,Q009,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q010,disease_entity,Preeclampsia,False,text_and_metadata,Preeclampsia
query,Q010,molecule_entity,Magnesium sulphate,False,text_and_metadata,Magnesium sulphate
query,Q010,drug_class_entity,Magnesium,False,text_and_metadata,Magnesium
query,Q010,therapeutic_area,Obstetrics,False,metadata_without_literal_text_support,
query,Q011,disease_entity,Psoriasis,False,text_and_metadata,Psoriasis
query,Q011,molecule_entity,Tacrolimus topical,False,text_and_metadata,Tacrolimus topical
query,Q011,drug_class_entity,Topical calcineurin inhibitors,False,metadata_without_literal_text_support,
query,Q011,therapeutic_area,Dermatology,False,metadata_without_literal_text_support,
query,Q012,disease_entity,Typhoid Fever,False,text_and_metadata,Typhoid Fever
query,Q012,molecule_entity,Artemether-lumefantrine,False,text_and_metadata,Artemether-lumefantrine
query,Q012,drug_class_entity,Antimalarials,False,metadata_without_literal_text_support,
query,Q012,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q013,disease_entity,Tuberculosis,False,text_and_metadata,Tuberculosis
query,Q013,molecule_entity,Bedaquiline,False,text_and_metadata,Bedaquiline
query,Q013,drug_class_entity,Antituberculotics,False,metadata_without_literal_text_support,
query,Q013,therapeutic_area,Pulmonology,False,metadata_without_literal_text_support,
query,Q014,disease_entity,Malaria,False,text_and_metadata,Malaria
query,Q014,molecule_entity,Tenofovir disoproxil,False,text_and_metadata,Tenofovir disoproxil
query,Q014,drug_class_entity,NRTIs,False,metadata_without_literal_text_support,
query,Q014,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q015,disease_entity,Peptic Ulcer Disease,False,text_and_metadata,Peptic Ulcer Disease
query,Q015,molecule_entity,Lansoprazole,False,text_and_metadata,Lansoprazole
query,Q015,drug_class_entity,Proton pump inhibitors,False,metadata_without_literal_text_support,
query,Q015,therapeutic_area,Gastroenterology,False,metadata_without_literal_text_support,
query,Q016,disease_entity,Rheumatoid Arthritis,False,text_and_metadata,Rheumatoid Arthritis
query,Q016,molecule_entity,Bortezomib,False,text_and_metadata,Bortezomib
query,Q016,drug_class_entity,Proteasome inhibitors,False,metadata_without_literal_text_support,
query,Q016,therapeutic_area,Rheumatology,False,metadata_without_literal_text_support,
