query_id,query,language,supplied_entities,missing_structure,apparent_intent_cue,likely_retrieval_difficulty,ambiguous_or_underspecified
Q001,is Diazepam safe in Febrile Seizure with immunocompromised,EN,disease: Febrile Seizure | molecule: Diazepam | drug_class: Benzodiazepines,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,MIXED,disease: Deep Vein Thrombosis | molecule: Apixaban | drug_class: Factor Xa inhibitors,none obvious,Evidence / outcomes,high,False
Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,MIXED,disease: Heart Failure | molecule: Metoprolol | drug_class: Beta blockers selective,negation_flag=true,Pharmacotherapy - interaction,high,False
Q007,Hydroxychloroquine hepatic impairment dose in Rheumatoid Arthritis,EN,disease: Rheumatoid Arthritis | molecule: Hydroxychloroquine | drug_class: Antimalarials,hepatic_function_constraint=true; dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q012,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment,MIXED,disease: Typhoid Fever | molecule: Artemether-lumefantrine | drug_class: Antimalarials,age_group=elderly,Other / ambiguous,high,True
Q013,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,MIXED,disease: Tuberculosis | molecule: Bedaquiline | drug_class: Antituberculotics,none obvious,Pharmacotherapy - safety/precaution,high,False
Q016,is Bortezomib safe in Rheumatoid Arthritis with renal impairment,EN,disease: Rheumatoid Arthritis | molecule: Bortezomib | drug_class: Proteasome inhibitors,renal_function_constraint=true,Pharmacotherapy - safety/precaution,medium,False
Q019,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,MIXED,disease: Rheumatoid Arthritis | molecule: Bortezomib | drug_class: Proteasome inhibitors,renal_function_constraint=true; dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q021,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,MIXED,disease: Malaria | molecule: Tenofovir disoproxil | drug_class: NRTIs,dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,disease: Type 2 Diabetes Mellitus | molecule: Sitagliptin | drug_class: DPP-4 inhibitors,none obvious,Pharmacotherapy - indication/prophylaxis,high,True
Q024,Gout dengan renal impairment penyesuaian dosis Adalimumab,MIXED,disease: Gout | molecule: Adalimumab | drug_class: TNF inhibitors,renal_function_constraint=true; dose_context=true,Pharmacotherapy - dosing/administration,high,True
