protocol,split,candidate,reference,delta_ndcg,lower,upper,improved,worsened,unchanged,positive_queries
temporal,validation,entity_only,hybrid,0.0006503177032696489,-0.007539751819044909,0.009396542654011015,7,4,102,113
temporal,validation,gated_context_only,hybrid,0.0,0.0,0.0,0,0,113,113
temporal,validation,ungated_context_only,hybrid,0.0002024234847317599,0.0,0.0006072704541952797,1,0,112,113
temporal,validation,joint_gated,hybrid,0.0006503177032696489,-0.007539751819044909,0.009396542654011015,7,4,102,113
temporal,validation,joint_ungated,hybrid,0.0008839464684717805,-0.007255712919318808,0.009548413156065102,7,4,102,113
temporal,validation,joint_minus_entities,hybrid,0.0,0.0,0.0,0,0,113,113
temporal,validation,joint_minus_context,hybrid,0.0006503177032696489,-0.007539751819044909,0.009396542654011015,7,4,102,113
temporal,validation,joint_remove_gate,hybrid,0.0006503177032696489,-0.007539751819044909,0.009396542654011015,7,4,102,113
temporal,validation,fixed_entity_010,hybrid,-0.0006788902220866793,-0.008518107091504933,0.007704757347244748,4,3,106,113
temporal,validation,fixed_joint_gated_010,hybrid,-0.0006788902220866793,-0.008518107091504933,0.007704757347244748,4,3,106,113
temporal,validation,fixed_joint_ungated_010,hybrid,-0.0005511479112747539,-0.00831796878865429,0.007757109571800247,4,3,106,113
temporal,validation,joint_minus_entities,joint_gated,-0.0006503177032696489,-0.009396542654011018,0.007539751819044907,4,7,102,113
temporal,validation,joint_minus_context,joint_gated,0.0,0.0,0.0,0,0,113,113
temporal,validation,joint_remove_gate,joint_gated,0.0,0.0,0.0,0,0,113,113
temporal,validation,fixed_joint_gated_010,fixed_joint_ungated_010,-0.00012774231081192538,-0.0003832269324357761,0.0,0,1,112,113
temporal,test,entity_only,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,1,2,107,110
temporal,test,gated_context_only,hybrid,0.0,0.0,0.0,0,0,110,110
temporal,test,ungated_context_only,hybrid,0.0,0.0,0.0,0,0,110,110
temporal,test,joint_gated,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,1,2,107,110
temporal,test,joint_ungated,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,1,2,107,110
temporal,test,joint_minus_entities,hybrid,0.0,0.0,0.0,0,0,110,110
temporal,test,joint_minus_context,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,1,2,107,110
temporal,test,joint_remove_gate,hybrid,-0.0013963430252862568,-0.004089114820732321,0.00025036314024987603,1,2,107,110
temporal,test,fixed_entity_010,hybrid,0.00031015634905416065,-5.294169018187734e-05,0.0010419414626685406,2,1,107,110
temporal,test,fixed_joint_gated_010,hybrid,0.00031015634905416065,-5.294169018187734e-05,0.0010419414626685406,2,1,107,110
temporal,test,fixed_joint_ungated_010,hybrid,0.00031015634905416065,-5.294169018187734e-05,0.0010419414626685406,2,1,107,110
temporal,test,joint_minus_entities,joint_gated,0.0013963430252862568,-0.00025036314024987603,0.004089114820732321,2,1,107,110
