query_id,content_id,session_id,impression_id,doctor_id,timestamp,last_timestamp_served,inferred_rank,impression_count,impressed,query_text,query_language,query_intent,query_intent_top_level,query_intent_subtype,query_intent_label_confidence,query_intent_label_source,query_disease,query_icd10_code,query_molecule,query_atc_code,query_drug_class,query_atc_class,query_therapeutic_area,query_age_group,query_pregnancy_status,query_year,query_recency_flag,query_dose_context_flag,query_route,query_renal_function_group,query_hepatic_impairment_flag,query_comparison_flag,query_negation_flag,query_prior_treatment_failure_flag,content_title,content_language,content_type,content_source_type,content_publication_year,content_word_count,content_disease,content_icd10_code,content_molecule,content_atc_code,content_drug_class,content_atc_class,content_therapeutic_area,behavioral_event_count,first_event_timestamp,last_event_timestamp,clicked,scroll_deep,return_visit,save_bookmark,dwell_time,max_event_dwell_seconds,has_engagement,relevance_grade,conservative_relevance_grade,event_hierarchy_relevance_grade,relevance_evidence,relevance_grade_description,observed_positive,meaningful_positive,strong_positive,relevance_label_scheme,relevance_label_source
Q429,C252,SE0440,IMP0001,D119,2025-01-01 00:05:55,2025-01-01 00:05:55,1,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,Rare Adverse Event of Erythropoietin in Iron Deficiency Anaemia,EN,case_report,case_report,2020,885,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q429,C047,SE0440,IMP0002,D119,2025-01-01 00:05:56,2025-01-01 00:05:56,2,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,Drug Interactions: Losartan in Chronic Kidney Disease Patients,EN,clinical_summary,hospital_protocol,2025,455,Chronic Kidney Disease,N18,Losartan; Empagliflozin,C09CA01; A10BK03,ARBs; SGLT2 inhibitors,C09CA; A10BK,Nephrology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q429,C321,SE0440,IMP0003,D119,2025-01-01 00:05:58,2025-01-01 00:05:58,3,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,Kasus Sulit: Sepsis Refrakter terhadap Norepinephrine,ID,case_report,case_report,2020,1049,Sepsis,A41,Norepinephrine; Meropenem,C01CA03; J01DH02,Adrenergic agonists; Carbapenems,C01CA; J01DH,Critical Care,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q429,C277,SE0440,IMP0004,D119,2025-01-01 00:06:02,2025-01-01 00:06:02,4,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,"Diazepam: Pharmacology, Dosing, and Clinical Use in Febrile Seizure",EN,drug_profile,pharmacology_reference,2022,878,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q429,C104,SE0440,IMP0005,D119,2025-01-01 00:06:06,2025-01-01 00:06:06,5,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,"NRTIs: Mechanism, Indications, and Safety",EN,drug_profile,pharmacology_reference,2020,705,Malaria,B50,Tenofovir disoproxil; Tenofovir disoproxil,J05AF07; J05AF07,NRTIs; NRTIs,J05AF; J05AF,Infectious Disease,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q429,C315,SE0440,IMP0006,D119,2025-01-01 00:06:06,2025-01-01 00:06:06,6,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,Perbandingan Hydrocortisone dan Piperacillin-tazobactam pada Sepsis,ID,article,journal,2025,2221,Sepsis,A41,Hydrocortisone,H02AB09,Corticosteroids,H02AB,Critical Care,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q429,C303,SE0440,IMP0007,D119,2025-01-01 00:06:07,2025-01-01 00:06:07,7,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,Sepsis in Special Populations: Practical Guidance,EN,clinical_summary,hospital_protocol,2023,570,Sepsis,A41,Meropenem,J01DH02,Carbapenems,J01DH,Critical Care,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q429,C217,SE0440,IMP0008,D119,2025-01-01 00:06:07,2025-01-01 00:06:07,8,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,"Adalimumab: Pharmacology, Dosing, and Clinical Use in Gout",EN,drug_profile,drug_database,2024,595,Gout,M10,Adalimumab; Adalimumab,L04AB04; L04AB04,TNF inhibitors; TNF inhibitors,L04AB; L04AB,Rheumatology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q429,C037,SE0440,IMP0009,D119,2025-01-01 00:06:10,2025-01-01 00:06:10,9,1,True,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,Dosing / Administration,Pharmacotherapy,Dosing / Administration,high,three_signal_consensus,Disseminated Intravascular Coagulation,D65,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Critical Care,,,,False,True,,,False,False,False,False,Atrial Fibrillation in Special Populations: Practical Guidance,EN,clinical_summary,hospital_protocol,2025,452,Atrial Fibrillation,I48,Dapagliflozin; Rivaroxaban,A10BK01; B01AF01,SGLT2 inhibitors; Factor Xa inhibitors,A10BK; B01AF,Cardiology,1,2025-01-01 00:06:27,2025-01-01 00:06:27,True,False,False,False,0,0,True,1,1,1,short_dwell_click,weak engagement,True,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q448,C078,SE0796,IMP0010,D049,2025-01-01 01:34:58,2025-01-01 01:34:58,1,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,Drug Interactions: Levodopa-carbidopa in Parkinson Disease Patients,EN,clinical_summary,clinical_practice,2022,337,Parkinson Disease,G20,Levodopa-carbidopa; Valproate,N04BA02; N03AG01,Dopaminergic agents; Fatty acid derivatives,N04BA; N03AG,Neurology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q448,C011,SE0796,IMP0011,D049,2025-01-01 01:34:58,2025-01-01 01:34:58,2,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,National Guideline: Hypothyroidism Diagnosis and Treatment,EN,guideline,professional_society,2024,1041,Hypothyroidism,E03,Levothyroxine; Levothyroxine,H03AA01; H03AA01,Thyroid hormones; Thyroid hormones,H03AA; H03AA,Endocrinology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q448,C054,SE0796,IMP0012,D049,2025-01-01 01:34:58,2025-01-01 01:34:58,3,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,Efektivitas Loop diuretics pada Nephrotic Syndrome,ID,article,journal,2024,2321,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
