query_id,query_text,language,stratum,recall_at_10,ndcg_at_10,judged_fraction_at_10,positive_pairs,decomposition,categories,proxy_issue,review_note,next_step,reviewer,candidate_id,candidate_rank,candidate_status
Q003,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,ID,miss,0.0,0.0,0.0,5,"{""disease_entity"": ""Colorectal Cancer"", ""molecule_entity"": ""Nivolumab; Nivolumab"", ""drug_class_entity"": ""PD-1 inhibitors; PD-1 inhibitors"", ""intent"": ""Interaction / Combination""}",partial entity match;English-Indonesian mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,C202 preserves Nivolumab and interaction intent but changes Colorectal Cancer to lung cancer. Indonesian interaction wording has no direct English token match. Repeated identical query drugs also warrant data review.,Test bilingual intent cues and joint disease/molecule coverage.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,EN,hit,0.25,0.1181414424514015,0.1,4,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Lansoprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""intent"": ""Prophylaxis / Maintenance""}",intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,C157 matches drug and disease but discusses safety rather than prophylaxis or stopping criteria. The grade-2 hit C143 is only a general class-use consensus.,Evaluate intent compatibility; obtain content on maintenance duration.,Codex qualitative title/metadata review; not clinician adjudication,C143,5.0,plausible from title/metadata; not adjudicated relevant
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,ID,hit,0.2,0.049402419724207,0.1,5,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Losartan; Empagliflozin"", ""drug_class_entity"": ""ARBs; SGLT2 inhibitors"", ""intent"": ""Interaction / Combination""}",intent mismatch;partial entity match;weak behavioral ground truth,strongest observed positive title is off-topic,"Two safety profiles outrank C047, whose title explicitly concerns Losartan interactions in CKD. No inspected title establishes the specific Losartan/Empagliflozin interaction.",Test interaction-intent weighting and coverage of both drugs.,Codex qualitative title/metadata review; not clinician adjudication,C047,3.0,plausible from title/metadata; not adjudicated relevant
Q025,Acute Coronary Syndrome guideline update 2023 summary,EN,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Acute Coronary Syndrome"", ""molecule_entity"": ""Atorvastatin"", ""drug_class_entity"": ""Statins"", ""intent"": ""Guideline / Evidence Lookup"", ""year"": 2023.0, ""recency_flag"": true}",partial entity match;temporal mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,Top titles match ACS without guideline intent or the requested year; C333 matches guideline/update/2023 but concerns Psoriasis. This is an entity-versus-template tradeoff.,Test disease coverage before year compatibility.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,no_positive,,,0.0,0,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Empagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""intent"": ""Efficacy / Outcomes""}",partial entity match;intent mismatch;weak behavioral ground truth,no observed positives,"C020 is a diabetes guideline; C005 is an outcomes title for Liraglutide, not the requested Empagliflozin. No validation positives exist for this query.",Test molecule coverage and inspect corpus coverage before expansion.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,ID,hit,0.2,0.1035259086222261,0.1,5,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Ramipril; Spironolactone"", ""drug_class_entity"": ""ACE inhibitors; Aldosterone antagonists"", ""intent"": ""Interaction / Combination""}",partial entity match;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,C029 is an ARB profile; C034 covers Spironolactone outcomes but does not establish interaction with Ramipril. A general HF guideline supplies the behavioral hit.,Test pairwise drug coverage and interaction intent.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q065,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,miss,0.0,0.0,0.0,2,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""intent"": ""Efficacy / Outcomes""}",partial entity match;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,"C005 names Liraglutide in the title but its supplied metadata also contains Semaglutide. This is hidden entity evidence, not proof of a wrong-molecule document. A general guideline ranks first.",Test supplied entity features and audit metadata against full text.,Codex qualitative title/metadata review; not clinician adjudication,C005,2.0,plausible from title/metadata; not adjudicated relevant
Q070,Furosemide long term outcomes Nephrotic Syndrome,EN,miss,0.0,0.0,0.1,4,"{""disease_entity"": ""Nephrotic Syndrome"", ""molecule_entity"": ""Furosemide"", ""drug_class_entity"": ""Loop diuretics"", ""intent"": ""Efficacy / Outcomes""}",weak behavioral ground truth,strongest observed positive title is off-topic,"C053 at rank 1 directly matches Furosemide, Nephrotic Syndrome and outcomes; the inspected behavioral positives concern diabetes and pregnancy hypertension. No visible top-1 failure is established.",Prioritize independent relevance review before changing this ranking.,Codex qualitative title/metadata review; not clinician adjudication,C053,1.0,plausible from title/metadata; not adjudicated relevant
Q077,algoritma terapi Iron Deficiency Anaemia step up,ID,hit,1.0,0.3333333333333333,0.1,1,"{""disease_entity"": ""Iron Deficiency Anaemia"", ""molecule_entity"": ""Erythropoietin"", ""drug_class_entity"": ""Erythropoiesis stimulating agents"", ""intent"": ""Management / Treatment Selection""}",intent mismatch;English-Indonesian mismatch,broad same-disease positive; exact intent unverified,An outcomes title ranks first for a step-up treatment algorithm. General iron guidance and dosing follow; the behavioral hit is a drug pharmacology title.,Test bilingual management cues and obtain escalation-specific text.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q081,Stable Angina dengan hypertension pilihan drug terbaik,MIXED,miss,0.0,0.0,0.0,2,"{""disease_entity"": ""Stable Angina"", ""molecule_entity"": ""Atorvastatin"", ""drug_class_entity"": ""Statins"", ""intent"": ""Management / Treatment Selection""}",missing contextual constraint;weak behavioral ground truth,strongest observed positive title is off-topic,C035 is broadly about special populations in Stable Angina; its title does not establish hypertension-specific drug choice. Missing detail is not evidence of contradiction.,Obtain full text and evaluate comorbidity compatibility.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
