query_id,query_text,language,intent_text,cluster_id,liang_final_intent,liang_top_probability,liang_second_intent,liang_second_probability,liang_probability_margin,attention_semantic,attention_sentence_tfidf,attention_class_centroid_tfidf,anchor_rule_intent,matched_candidate_intents,n_anchor_matches,used_as_weak_anchor,prototype_top_intent,prototype_top_score,prototype_second_intent,prototype_second_score,ambiguity_margin,margin_is_calibrated_confidence,similarity_management_treatment,similarity_diagnosis_differential_diagnosis,similarity_work_up_test_selection,similarity_test_clinical_data_interpretation,similarity_pharmacotherapy,similarity_evidence_guideline_lookup,similarity_procedures_techniques,similarity_epidemiology_prognosis,similarity_patient_communication_education,similarity_other_ambiguous
Q001,is Diazepam safe in Febrile Seizure with immunocompromised,EN,is medicine safe in disease with immunocompromised,0,Safety / Contraindication,0.8990935,Efficacy / Outcomes,0.022822302,0.8762712,0.08010235,0.26189202,0.65800565,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.3710782,Epidemiology / Prognosis,0.36095768,0.010120511,False,0.300391,0.276318,0.220339,0.274394,0.371078,0.259395,0.204407,0.360958,0.267062,0.063277
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501
Q003,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,ID,interaksi obat medicine dan medicine pada disease,0,Interaction / Combination,0.9658287,Safety / Contraindication,0.0093598245,0.9564689,0.059179965,0.17512545,0.76569456,Interaction / Combination,Interaction / Combination,1,True,Pharmacotherapy,0.56351763,Patient Communication / Education,0.382504,0.18101364,False,0.372536,0.295362,0.232078,0.35834,0.563518,0.299618,0.348382,0.361048,0.382504,0.068566
Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,MIXED,medicine efficacy pada disease clinical outcome data,0,Efficacy / Outcomes,0.985386,Safety / Contraindication,0.007339046,0.97804695,0.25569043,0.34933466,0.39497498,Efficacy / Outcomes,Efficacy / Outcomes,1,True,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155
Q005,Penicillins in pregnancy and HIV/AIDS,EN,drugclass in pregnancy and disease,14,Safety / Contraindication,0.73063,Efficacy / Outcomes,0.05275428,0.6778757,0.21928418,0.19392462,0.5867912,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.43012902,Epidemiology / Prognosis,0.24261546,0.18751356,False,0.237437,0.152368,0.091062,0.183811,0.430129,0.22596,0.210254,0.242615,0.173574,0.061209
Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,MIXED,kombinasi medicine dan medicine pada disease aman atau tidak,0,Interaction / Combination,0.9430835,Safety / Contraindication,0.027149757,0.9159338,0.055518784,0.17306238,0.7714188,Interaction / Combination,Interaction / Combination; Safety / Contraindication,2,True,Pharmacotherapy,0.5262046,Epidemiology / Prognosis,0.47412813,0.05207646,False,0.441305,0.374096,0.314286,0.374025,0.526205,0.396766,0.377754,0.474128,0.394969,0.158756
Q007,Hydroxychloroquine hepatic impairment dose in Rheumatoid Arthritis,EN,medicine hepatic impairment dose in disease,3,Dosing / Administration,0.9290329,Safety / Contraindication,0.028950522,0.9000824,0.23898493,0.3060625,0.45495266,Dosing / Administration,Dosing / Administration,1,True,Pharmacotherapy,0.32883036,Evidence / Guideline Lookup,0.26495534,0.06387502,False,0.197985,0.202103,0.118141,0.204014,0.32883,0.264955,0.15193,0.25321,0.206036,-0.02566
Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501
Q009,Tenofovir+Lamivudine drug interaction with Tenofovir+Lamivudine in Urinary Tract Infection,EN,medicine drug interaction with medicine in disease,0,Interaction / Combination,0.96815825,Management / Treatment Selection,0.011496757,0.95666146,0.056410003,0.12776594,0.81582403,Interaction / Combination,Interaction / Combination,1,True,Pharmacotherapy,0.57278866,Patient Communication / Education,0.31114024,0.26164842,False,0.306634,0.235826,0.176833,0.291503,0.572789,0.259075,0.303478,0.284987,0.31114,0.037864
Q010,renal dose adjustment Magnesium sulphate in Preeclampsia,EN,renal dose adjustment medicine in disease,1,Dosing / Administration,0.9370421,Safety / Contraindication,0.02476116,0.912281,0.11514645,0.30007026,0.58478326,Dosing / Administration,Dosing / Administration,1,True,Pharmacotherapy,0.36038262,Evidence / Guideline Lookup,0.29834503,0.062037587,False,0.24936,0.149486,0.173452,0.241743,0.360383,0.298345,0.2658,0.261541,0.248634,-0.074709
