query_id,role,content_id,rank,grade,title,content_type,source_type,language,publication_year,word_count,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area
Q019,retrieved_top_3,C040,1.0,unjudged,Dose Adjustment of Atorvastatin in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2025,520,Stable Angina,I20,Atorvastatin,C10AA05,Statins,C10AA,Cardiology
Q019,retrieved_top_3,C231,2.0,unjudged,Dose Adjustment of Apixaban in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2021,697,Deep Vein Thrombosis,I82,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Haematology
Q019,retrieved_top_3,C343,3.0,unjudged,Dose Adjustment of Dupilumab in Renal and Hepatic Impairment,clinical_summary,hospital_protocol,EN,2024,386,Psoriasis,L40,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Dermatology
Q019,expected_title_candidate,C220,11.0,0,Hasil Jangka Panjang Terapi Proteasome inhibitors pada Rheumatoid Arthritis,article,research_paper,ID,2025,2243,Rheumatoid Arthritis,M05,Bortezomib; Prednisolone,L01XG01; H02AB06,Proteasome inhibitors; Corticosteroids,L01XG; H02AB,Rheumatology
Q019,strongest_observed_positive,C326,,2,Treatment Intensification in Psoriasis: When and How,article,research_paper,EN,2022,2054,Psoriasis,L40,Tacrolimus topical; Dupilumab,D11AH01; D11AH05,Topical calcineurin inhibitors; IL-4/IL-13 inhibitors,D11AH; D11AH,Dermatology
Q051,retrieved_top_3,C110,1.0,unjudged,WHO Guideline Update: Malaria 2025,guideline,who,EN,2025,1153,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
Q051,retrieved_top_3,C105,2.0,unjudged,Narrative Review: Current Evidence for Integrase inhibitors in Malaria,review,systematic_review,EN,2022,3768,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
Q051,retrieved_top_3,C099,3.0,unjudged,Panduan Praktis: Memulai Dolutegravir pada Malaria,clinical_summary,clinical_practice,ID,2020,312,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
Q051,expected_title_candidate,C099,3.0,unjudged,Panduan Praktis: Memulai Dolutegravir pada Malaria,clinical_summary,clinical_practice,ID,2020,312,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
Q051,strongest_observed_positive,C132,,2,Practical Guide: Initiating Prednisolone in COPD,clinical_summary,hospital_protocol,MIXED,2021,411,COPD,J44,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology
