query_id,role,content_id,rank,score,grade,title,content_type,source_type,language,publication_year,word_count,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area
Q003,retrieved top 3,C202,1,12.906155337764577,unjudged,Drug Interactions: Nivolumab in Non-Small Cell Lung Cancer Patients,clinical_summary,clinical_practice,EN,2020,342,Non-Small Cell Lung Cancer,C34,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
Q003,retrieved top 3,C189,2,8.327765054169104,unjudged,Clinical Practice Guideline: Colorectal Cancer Management 2020,guideline,professional_society,EN,2020,2059,Colorectal Cancer,C18,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
Q003,retrieved top 3,C201,3,8.327765054169104,unjudged,Kasus Sulit: Colorectal Cancer Refrakter terhadap Pembrolizumab,case_report,case_report,ID,2021,1142,Colorectal Cancer,C18,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology
Q003,strongest observed positive,C030,103,0.0,3,Treatment Intensification in Atrial Fibrillation: When and How,article,research_paper,EN,2025,878,Atrial Fibrillation,I48,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Cardiology
Q003,strongest observed positive,C010,77,1.1744421798986489,1,Dosis DPP-4 inhibitors pada Type 2 Diabetes Mellitus: Referensi Cepat,clinical_summary,hospital_protocol,ID,2025,654,Type 2 Diabetes Mellitus,E11,Sitagliptin,A10BH01,DPP-4 inhibitors,A10BH,Endocrinology
Q015,retrieved top 3,C157,1,15.113536642252694,unjudged,Profil Keamanan Lansoprazole pada Peptic Ulcer Disease,article,journal,ID,2024,1942,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology
Q015,retrieved top 3,C147,2,8.849136249780818,unjudged,National Guideline: Peptic Ulcer Disease Diagnosis and Treatment,guideline,ministry_of_health,EN,2020,2219,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology
Q015,retrieved top 3,C150,3,8.849136249780818,unjudged,Practical Guide: Initiating Omeprazole in Peptic Ulcer Disease,clinical_summary,hospital_protocol,MIXED,2022,439,Peptic Ulcer Disease,K27,Omeprazole,A02BC01,Proton pump inhibitors,A02BC,Gastroenterology
Q015,strongest observed positive,C167,168,0.0,3,Sertraline in ADHD: Real-World Outcomes,article,journal,EN,2023,1345,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
Q015,strongest observed positive,C143,5,7.949283032745352,2,Consensus Statement: Proton pump inhibitors Use in Peptic Ulcer Disease,guideline,ministry_of_health,EN,2025,1994,Peptic Ulcer Disease,K27,Lansoprazole; Omeprazole,A02BC03; A02BC01,Proton pump inhibitors; Proton pump inhibitors,A02BC; A02BC,Gastroenterology
Q015,observed top-10 hit,C143,5,7.949283032745352,2,Consensus Statement: Proton pump inhibitors Use in Peptic Ulcer Disease,guideline,ministry_of_health,EN,2025,1994,Peptic Ulcer Disease,K27,Lansoprazole; Omeprazole,A02BC03; A02BC01,Proton pump inhibitors; Proton pump inhibitors,A02BC; A02BC,Gastroenterology
Q015,plausible inspection candidate,C143,5,7.949283032745352,2,Consensus Statement: Proton pump inhibitors Use in Peptic Ulcer Disease,guideline,ministry_of_health,EN,2025,1994,Peptic Ulcer Disease,K27,Lansoprazole; Omeprazole,A02BC03; A02BC01,Proton pump inhibitors; Proton pump inhibitors,A02BC; A02BC,Gastroenterology
Q018,retrieved top 3,C065,1,14.205863109157766,unjudged,Profil Keamanan Losartan pada Chronic Kidney Disease,article,journal,ID,2025,1277,Chronic Kidney Disease,N18,Losartan; Losartan,C09CA01; C09CA01,ARBs; ARBs,C09CA; C09CA,Nephrology
Q018,retrieved top 3,C059,2,12.365616709208416,unjudged,Safety Profile of Empagliflozin in Chronic Kidney Disease,article,journal,EN,2022,876,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
Q018,retrieved top 3,C047,3,12.02795506477579,unjudged,Drug Interactions: Losartan in Chronic Kidney Disease Patients,clinical_summary,hospital_protocol,EN,2025,455,Chronic Kidney Disease,N18,Losartan; Empagliflozin,C09CA01; A10BK03,ARBs; SGLT2 inhibitors,C09CA; A10BK,Nephrology
Q018,strongest observed positive,C104,180,0.0,2,"NRTIs: Mechanism, Indications, and Safety",drug_profile,pharmacology_reference,EN,2020,705,Malaria,B50,Tenofovir disoproxil; Tenofovir disoproxil,J05AF07; J05AF07,NRTIs; NRTIs,J05AF; J05AF,Infectious Disease
Q018,strongest observed positive,C212,74,1.6548536020730698,2,Profil Keamanan Alendronate pada Osteoporosis,article,journal,ID,2022,1976,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology
Q018,observed top-10 hit,C068,6,8.841618241208147,1,Chronic Kidney Disease pada Populasi Khusus: Pendekatan Praktis,clinical_summary,hospital_protocol,ID,2020,701,Chronic Kidney Disease,N18,Losartan; Ramipril,C09CA01; C09AA05,ARBs; ACE inhibitors,C09CA; C09AA,Nephrology
Q018,plausible inspection candidate,C047,3,12.02795506477579,unjudged,Drug Interactions: Losartan in Chronic Kidney Disease Patients,clinical_summary,hospital_protocol,EN,2025,455,Chronic Kidney Disease,N18,Losartan; Empagliflozin,C09CA01; A10BK03,ARBs; SGLT2 inhibitors,C09CA; A10BK,Nephrology
Q025,retrieved top 3,C043,1,13.937739856128434,unjudged,Profil Obat Statins pada Acute Coronary Syndrome,drug_profile,drug_database,ID,2020,420,Acute Coronary Syndrome,I24,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology
Q025,retrieved top 3,C024,2,13.148868709128328,unjudged,Laporan Kasus: Acute Coronary Syndrome dengan Presentasi Atipikal,case_report,case_report,ID,2021,866,Acute Coronary Syndrome,I24,Ezetimibe; Amlodipine,C10AX09; C08CA01,Cholesterol absorption inhibitors; Calcium channel blockers,C10AX; C08CA,Cardiology
Q025,retrieved top 3,C333,3,11.668279008199587,unjudged,WHO Guideline Update: Psoriasis 2023,guideline,professional_society,EN,2023,1028,Psoriasis,L40,Tacrolimus topical,D11AH01,Topical calcineurin inhibitors,D11AH,Dermatology
Q025,strongest observed positive,C104,127,0.0,1,"NRTIs: Mechanism, Indications, and Safety",drug_profile,pharmacology_reference,EN,2020,705,Malaria,B50,Tenofovir disoproxil; Tenofovir disoproxil,J05AF07; J05AF07,NRTIs; NRTIs,J05AF; J05AF,Infectious Disease
Q029,retrieved top 3,C020,1,15.552144701880906,unjudged,Clinical Practice Guideline: Type 2 Diabetes Mellitus Management 2021,guideline,who,EN,2021,1582,Type 2 Diabetes Mellitus,E11,Insulin glargine,A10AE04,Basal insulins,A10AE,Endocrinology
Q029,retrieved top 3,C005,2,13.128112075112373,unjudged,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,article,journal,EN,2022,1065,Type 2 Diabetes Mellitus,E11,Liraglutide; Semaglutide,A10BJ02; A10BJ06,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology
Q029,retrieved top 3,C012,3,13.128112075112373,unjudged,Case Report: Atypical Presentation of Type 2 Diabetes Mellitus,case_report,case_report,EN,2025,1469,Type 2 Diabetes Mellitus,E11,Insulin glargine; Empagliflozin,A10AE04; A10BK03,Basal insulins; SGLT2 inhibitors,A10AE; A10BK,Endocrinology
Q032,retrieved top 3,C029,1,15.239671789934345,unjudged,Profil Obat ARBs pada Heart Failure,drug_profile,drug_database,ID,2020,755,Heart Failure,I50,Losartan; Ramipril,C09CA01; C09AA05,ARBs; ACE inhibitors,C09CA; C09AA,Cardiology
Q032,retrieved top 3,C034,2,11.668595294751947,unjudged,Spironolactone Real-World Evidence in Heart Failure: A Retrospective Study,article,research_paper,MIXED,2021,2413,Heart Failure,I50,Spironolactone,C03DA01,Aldosterone antagonists,C03DA,Cardiology
Q032,retrieved top 3,C045,3,9.491573378900231,unjudged,Metoprolol pada Pasien Heart Failure: Studi Kohort,article,journal,ID,2021,1239,Heart Failure,I50,Metoprolol,C07AB02,Beta blockers selective,C07AB,Cardiology
Q032,strongest observed positive,C137,175,0.0,3,Asthma in immunocompromised: Special Considerations,article,journal,MIXED,2024,1681,Asthma,J45,Salbutamol,R03AC02,Short-acting beta2-agonists,R03AC,Pulmonology
Q032,strongest observed positive,C031,5,8.03528686089552,2,Clinical Practice Guideline: Heart Failure Management 2021,guideline,ministry_of_health,EN,2021,2215,Heart Failure,I50,Bisoprolol,C07AB07,Beta blockers selective,C07AB,Cardiology
Q032,observed top-10 hit,C031,5,8.03528686089552,2,Clinical Practice Guideline: Heart Failure Management 2021,guideline,ministry_of_health,EN,2021,2215,Heart Failure,I50,Bisoprolol,C07AB07,Beta blockers selective,C07AB,Cardiology
Q065,retrieved top 3,C020,1,15.552144701880906,unjudged,Clinical Practice Guideline: Type 2 Diabetes Mellitus Management 2021,guideline,who,EN,2021,1582,Type 2 Diabetes Mellitus,E11,Insulin glargine,A10AE04,Basal insulins,A10AE,Endocrinology
Q065,retrieved top 3,C005,2,13.128112075112373,unjudged,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,article,journal,EN,2022,1065,Type 2 Diabetes Mellitus,E11,Liraglutide; Semaglutide,A10BJ02; A10BJ06,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology
Q065,retrieved top 3,C012,3,13.128112075112373,unjudged,Case Report: Atypical Presentation of Type 2 Diabetes Mellitus,case_report,case_report,EN,2025,1469,Type 2 Diabetes Mellitus,E11,Insulin glargine; Empagliflozin,A10AE04; A10BK03,Basal insulins; SGLT2 inhibitors,A10AE; A10BK,Endocrinology
Q065,strongest observed positive,C065,69,1.4562865180047126,2,Profil Keamanan Losartan pada Chronic Kidney Disease,article,journal,ID,2025,1277,Chronic Kidney Disease,N18,Losartan; Losartan,C09CA01; C09CA01,ARBs; ARBs,C09CA; C09CA,Nephrology
