query_id,query_text,language,therapeutic_area,query_length_band,entity_complexity,context_complexity,cluster_id,liang_final_intent,liang_top_probability,liang_probability_margin,prototype_top_intent,ambiguity_margin,matched_annotation_rules,n_rule_matches,rule_intent_signal,prototype_intent_signal,prototype_top_score,prototype_margin,cluster_intent_signal_initial,cluster_intent_signal,signal_plurality_intent,signal_max_votes,signal_agreement,intent_top_level,intent_subtype,label_confidence,label_source,review_flag,gold_set_membership,annotation_notes,sampling_reasons,taxonomy_decision
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,EN,Cardiology,medium,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.890431,0.8371518,Pharmacotherapy,0.14702606,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary,retain_frozen_taxonomy
Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,MIXED,Cardiology,long,2-3 entities,one slot,0,Interaction / Combination,0.9430835,0.9159338,Pharmacotherapy,0.05207646,Interaction / Combination; Safety / Contraindication,2,Interaction / Combination,Comparative Treatment Choice,0.5549678,0.039941847,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Pharmacotherapy,Interaction / Combination,low,model_assisted_schema_review,True,pilot_reviewed,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,pilot; prototype_cluster_against_rule; multi_cue_boundary; rare_intent; long_query,retain_frozen_taxonomy
Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,EN,Pulmonology,medium,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.890431,0.8371518,Pharmacotherapy,0.14702606,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary,retain_frozen_taxonomy
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,Endocrinology,medium,2-3 entities,one slot,0,Guideline / Evidence Lookup,0.9326238,0.8989352,Evidence / Guideline Lookup,0.0035655499,Guideline / Evidence Lookup; Management / Treatment Selection,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.51540405,0.036907732,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Evidence / Guideline Lookup,Guideline / Evidence Lookup,low,model_assisted_schema_review,True,pilot_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; multi_cue_boundary; low_prototype_margin,retain_frozen_taxonomy
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,MIXED,Obstetrics,medium,2-3 entities,one slot,13,Safety / Contraindication,0.8575469,0.82819647,Evidence / Guideline Lookup,0.0067428946,Safety / Contraindication,1,Safety / Contraindication,Prophylaxis / Maintenance,0.37290782,0.050225645,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,2,prototype_cluster_against_rule,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Prophylaxis / Maintenance; cluster=Prophylaxis / Maintenance).",pilot; prototype_cluster_against_rule; low_prototype_margin,retain_frozen_taxonomy
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,EN,Pediatrics,medium,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.95744383,0.9317288,Pharmacotherapy,0.028688788,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.55006033,0.033542216,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary,retain_frozen_taxonomy
Q028,ACE inhibitors adverse effects monitoring in Hypertension,EN,Cardiology,medium,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.890431,0.8371518,Pharmacotherapy,0.14702606,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary,retain_frozen_taxonomy
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,Endocrinology,long,2-3 entities,none,0,Efficacy / Outcomes,0.985386,0.97804695,Epidemiology / Prognosis,0.003800869,Efficacy / Outcomes,1,Efficacy / Outcomes,Efficacy / Outcomes,0.69424725,0.1489231,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Pharmacotherapy; Epidemiology / Prognosis,Efficacy / Outcomes,medium,model_assisted_schema_review,True,pilot_reviewed,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,pilot; two_signal_including_rule; low_prototype_margin; rare_intent; long_query,retain_frozen_taxonomy
Q044,Malaria with pregnancy first line drug,EN,Infectious Disease,short,2-3 entities,one slot,14,Management / Treatment Selection,0.98180884,0.96883786,Pharmacotherapy,0.069200516,Management / Treatment Selection; Safety / Contraindication,2,Management / Treatment Selection,Safety / Contraindication,0.45546934,0.06764141,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,2,prototype_cluster_against_rule,Management / Treatment,Management / Treatment Selection,low,model_assisted_schema_review,True,pilot_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: prototype_cluster_against_rule (rule=Management / Treatment Selection; prototype=Safety / Contraindication; cluster=Safety / Contraindication). Multiple cues were resolved with the frozen primary-information-need hierarchy.,pilot; prototype_cluster_against_rule; multi_cue_boundary; short_query,retain_frozen_taxonomy
Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,EN,Neurology,short,2-3 entities,none,6,Mechanism / Background Knowledge,0.9630916,0.953808,Pharmacotherapy,0.118331194,Mechanism / Background Knowledge,1,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5368707,0.12084818,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,New dataset-specific class,Mechanism / Background Knowledge,high,model_assisted_schema_review,False,pilot_reviewed,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,pilot; rare_intent; short_query,retain_frozen_taxonomy
Q065,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,Endocrinology,long,2-3 entities,none,0,Efficacy / Outcomes,0.985386,0.97804695,Epidemiology / Prognosis,0.003800869,Efficacy / Outcomes,1,Efficacy / Outcomes,Efficacy / Outcomes,0.69424725,0.1489231,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Pharmacotherapy; Epidemiology / Prognosis,Efficacy / Outcomes,medium,model_assisted_schema_review,True,pilot_reviewed,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,pilot; two_signal_including_rule; low_prototype_margin; rare_intent; long_query,retain_frozen_taxonomy
Q067,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025,MIXED,Cardiology,long,2-3 entities,multiple slots,0,Guideline / Evidence Lookup,0.94005793,0.91178095,Evidence / Guideline Lookup,0.049595058,Guideline / Evidence Lookup; Management / Treatment Selection,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.46873483,0.017838597,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Evidence / Guideline Lookup,Guideline / Evidence Lookup,low,model_assisted_schema_review,True,pilot_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; multi_cue_boundary; low_candidate_prototype_margin; long_query,retain_frozen_taxonomy
Q068,Labetalol resistance in Hypertension in Pregnancy alternative therapy,EN,Obstetrics,medium,2-3 entities,multiple slots,0,Interaction / Combination,0.40348408,0.18624467,Pharmacotherapy,0.018035889,Treatment Change / Escalation,1,Treatment Change / Escalation,Comparative Treatment Choice,0.5853206,0.09347534,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Management / Treatment,Treatment Change / Escalation,low,model_assisted_schema_review,True,pilot_reviewed,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: prototype_cluster_against_rule (rule=Treatment Change / Escalation; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Interaction / Combination' was not retained because the explicit request maps to 'Treatment Change / Escalation'.",pilot; prototype_cluster_against_rule; phase2_model_disagreement,retain_frozen_taxonomy
Q081,Stable Angina dengan hypertension pilihan drug terbaik,MIXED,Cardiology,medium,2-3 entities,none,1,Management / Treatment Selection,0.9922327,0.98775274,Pharmacotherapy,0.043848574,Management / Treatment Selection,1,Management / Treatment Selection,Comparative Treatment Choice,0.4422769,0.012139976,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Management / Treatment,Management / Treatment Selection,low,model_assisted_schema_review,True,pilot_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).,pilot; three_way_disagreement; low_candidate_prototype_margin,retain_frozen_taxonomy
Q085,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,EN,Oncology,medium,2-3 entities,one slot,0,Comparative Treatment Choice,0.9547989,0.93330324,Pharmacotherapy,0.096405566,Comparative Treatment Choice; Efficacy / Outcomes,2,Comparative Treatment Choice,Comparative Treatment Choice,0.64594364,0.043855608,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,3,unanimous,Pharmacotherapy,Comparative Treatment Choice,medium,model_assisted_schema_review,True,pilot_reviewed,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,pilot; multi_cue_boundary; rare_intent,retain_frozen_taxonomy
Q089,biomarkers Community-acquired Pneumonia treatment response Rivaroxaban,EN,Pulmonology,short,2-3 entities,none,0,Safety / Contraindication,0.41025126,0.022016495,Evidence / Guideline Lookup,0.017547905,Monitoring / Response / Risk Assessment,1,Monitoring / Response / Risk Assessment,Efficacy / Outcomes,0.5303659,0.054282725,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Management / Treatment; Epidemiology / Prognosis,Monitoring / Response / Risk Assessment,low,model_assisted_schema_review,True,pilot_reviewed,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Safety / Contraindication' was not retained because the explicit request maps to 'Monitoring / Response / Risk Assessment'.",pilot; three_way_disagreement; phase2_model_disagreement; short_query,retain_frozen_taxonomy
Q093,penggantian Ezetimibe ke Amlodipine pada Acute Coronary Syndrome,ID,Cardiology,medium,4+ entities,none,0,Treatment Change / Escalation,0.99038905,0.98548526,Pharmacotherapy,0.008090973,Treatment Change / Escalation,1,Treatment Change / Escalation,Comparative Treatment Choice,0.52078336,0.015999794,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Management / Treatment,Treatment Change / Escalation,low,model_assisted_schema_review,True,pilot_reviewed,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: prototype_cluster_against_rule (rule=Treatment Change / Escalation; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",pilot; prototype_cluster_against_rule; low_prototype_margin; low_candidate_prototype_margin,retain_frozen_taxonomy
Q103,biomarkers Ischaemic Stroke treatment response Alteplase,EN,Neurology,short,2-3 entities,none,0,Safety / Contraindication,0.41025126,0.022016495,Evidence / Guideline Lookup,0.017547905,Monitoring / Response / Risk Assessment,1,Monitoring / Response / Risk Assessment,Efficacy / Outcomes,0.5303659,0.054282725,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Management / Treatment; Epidemiology / Prognosis,Monitoring / Response / Risk Assessment,low,model_assisted_schema_review,True,pilot_reviewed,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Safety / Contraindication' was not retained because the explicit request maps to 'Monitoring / Response / Risk Assessment'.",pilot; three_way_disagreement; phase2_model_disagreement; short_query,retain_frozen_taxonomy
Q108,Antituberculotics adverse effects monitoring in Tuberculosis,EN,Pulmonology,short,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.890431,0.8371518,Pharmacotherapy,0.14702606,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary; short_query,retain_frozen_taxonomy
Q111,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,EN,Haematology,medium,2-3 entities,none,12,Dosing / Administration,0.40504202,0.0021919012,Pharmacotherapy,0.001208812,Safety / Contraindication,1,Safety / Contraindication,Comparative Treatment Choice,0.41774553,0.038000643,Comparative Treatment Choice,Safety / Contraindication,Safety / Contraindication,2,two_signal_including_rule,Pharmacotherapy,Safety / Contraindication,medium,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: two_signal_including_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Safety / Contraindication). Phase 2 suggestion 'Dosing / Administration' was not retained because the explicit request maps to 'Safety / Contraindication'.",pilot; two_signal_including_rule; phase2_model_disagreement; low_prototype_margin,retain_frozen_taxonomy
Q128,kapan start Alendronate di Osteoporosis evidence terbaru 2022,MIXED,Rheumatology,medium,2-3 entities,multiple slots,0,Guideline / Evidence Lookup,0.940628,0.9118047,Evidence / Guideline Lookup,0.06332886,Guideline / Evidence Lookup; Management / Treatment Selection,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.4684108,0.011188477,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Evidence / Guideline Lookup,Guideline / Evidence Lookup,low,model_assisted_schema_review,True,pilot_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; multi_cue_boundary; low_candidate_prototype_margin,retain_frozen_taxonomy
Q132,Methotrexate dosing in Systemic Lupus Erythematosus with heart failure,EN,Rheumatology,medium,2-3 entities,one slot,7,Treatment Change / Escalation,0.9160713,0.86669624,Evidence / Guideline Lookup,0.024967551,Dosing / Administration,1,Dosing / Administration,Dosing / Administration,0.4281673,0.0039898455,Comparative Treatment Choice,Safety / Contraindication,Dosing / Administration,2,two_signal_including_rule,Pharmacotherapy,Dosing / Administration,medium,model_assisted_schema_review,True,pilot_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: two_signal_including_rule (rule=Dosing / Administration; prototype=Dosing / Administration; cluster=Safety / Contraindication). Phase 2 suggestion 'Treatment Change / Escalation' was not retained because the explicit request maps to 'Dosing / Administration'.,pilot; two_signal_including_rule; phase2_model_disagreement; low_candidate_prototype_margin,retain_frozen_taxonomy
Q133,Omeprazole contraindication in Peptic Ulcer Disease with hypertension,EN,Gastroenterology,medium,2-3 entities,none,1,Dosing / Administration,0.40195975,0.0023902655,Evidence / Guideline Lookup,0.07654327,Safety / Contraindication,1,Safety / Contraindication,Comparative Treatment Choice,0.4354076,0.0028132498,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration). Phase 2 suggestion 'Dosing / Administration' was not retained because the explicit request maps to 'Safety / Contraindication'.",pilot; three_way_disagreement; phase2_model_disagreement; low_candidate_prototype_margin,retain_frozen_taxonomy
Q155,kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak,MIXED,Infectious Disease,long,2-3 entities,one slot,0,Interaction / Combination,0.9430835,0.9159338,Pharmacotherapy,0.05207646,Interaction / Combination; Safety / Contraindication,2,Interaction / Combination,Comparative Treatment Choice,0.5549678,0.039941847,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Pharmacotherapy,Interaction / Combination,low,model_assisted_schema_review,True,pilot_reviewed,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,pilot; prototype_cluster_against_rule; multi_cue_boundary; rare_intent; long_query,retain_frozen_taxonomy
Q156,indikasi Tenofovir+Lamivudine pada Urinary Tract Infection guideline terbaru,MIXED,Infectious Disease,medium,2-3 entities,one slot,0,Guideline / Evidence Lookup,0.9326238,0.8989352,Evidence / Guideline Lookup,0.0035655499,Guideline / Evidence Lookup; Management / Treatment Selection,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.51540405,0.036907732,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Evidence / Guideline Lookup,Guideline / Evidence Lookup,low,model_assisted_schema_review,True,pilot_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; multi_cue_boundary; low_prototype_margin,retain_frozen_taxonomy
Q171,Hyperthyroidism prophylaxis Methimazole indication,EN,Endocrinology,short,2-3 entities,none,0,Prophylaxis / Maintenance,0.98185766,0.97619903,Diagnosis / Differential Diagnosis,0.069550365,Prophylaxis / Maintenance; Management / Treatment Selection,2,Prophylaxis / Maintenance,Prophylaxis / Maintenance,0.5617696,0.2258121,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,2,two_signal_including_rule,Management / Treatment,Prophylaxis / Maintenance,medium,model_assisted_schema_review,True,pilot_reviewed,prevention or maintenance framing overrides generic indication Three-signal status: two_signal_including_rule (rule=Prophylaxis / Maintenance; prototype=Prophylaxis / Maintenance; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,pilot; two_signal_including_rule; multi_cue_boundary; rare_intent; short_query,retain_frozen_taxonomy
Q196,Gout risk stratification approach,EN,Rheumatology,short,2-3 entities,none,9,Monitoring / Response / Risk Assessment,0.98009765,0.9730854,Epidemiology / Prognosis,0.025828153,Monitoring / Response / Risk Assessment,1,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,0.5332895,0.119047016,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,3,unanimous,Management / Treatment; Epidemiology / Prognosis,Monitoring / Response / Risk Assessment,high,model_assisted_schema_review,False,pilot_reviewed,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: unanimous (rule=Monitoring / Response / Risk Assessment; prototype=Monitoring / Response / Risk Assessment; cluster=Monitoring / Response / Risk Assessment).",pilot; short_query,retain_frozen_taxonomy
Q227,Spironolactone contraindication in Heart Failure with hypertension,EN,Cardiology,medium,2-3 entities,none,1,Dosing / Administration,0.40195975,0.0023902655,Evidence / Guideline Lookup,0.07654327,Safety / Contraindication,1,Safety / Contraindication,Comparative Treatment Choice,0.4354076,0.0028132498,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration). Phase 2 suggestion 'Dosing / Administration' was not retained because the explicit request maps to 'Safety / Contraindication'.",pilot; three_way_disagreement; phase2_model_disagreement; low_candidate_prototype_margin,retain_frozen_taxonomy
Q236,biomarkers Chronic Myeloid Leukaemia treatment response Imatinib,EN,Oncology,medium,2-3 entities,none,0,Safety / Contraindication,0.41025126,0.022016495,Evidence / Guideline Lookup,0.017547905,Monitoring / Response / Risk Assessment,1,Monitoring / Response / Risk Assessment,Efficacy / Outcomes,0.5303659,0.054282725,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Management / Treatment; Epidemiology / Prognosis,Monitoring / Response / Risk Assessment,low,model_assisted_schema_review,True,pilot_reviewed,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Safety / Contraindication' was not retained because the explicit request maps to 'Monitoring / Response / Risk Assessment'.",pilot; three_way_disagreement; phase2_model_disagreement,retain_frozen_taxonomy
Q243,Mycophenolate mofetil dosing in Rheumatoid Arthritis with diabetes,EN,Rheumatology,medium,2-3 entities,one slot,2,Dosing / Administration,0.41855136,0.028951436,Pharmacotherapy,0.1284061,Dosing / Administration,1,Dosing / Administration,Comparative Treatment Choice,0.4289724,0.007306546,Comparative Treatment Choice,Safety / Contraindication,,1,three_way_disagreement,Pharmacotherapy,Dosing / Administration,low,model_assisted_schema_review,True,pilot_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: three_way_disagreement (rule=Dosing / Administration; prototype=Comparative Treatment Choice; cluster=Safety / Contraindication).,pilot; three_way_disagreement; low_candidate_prototype_margin,retain_frozen_taxonomy
