experiment,hypothesis,method,primary_metric,result,decision
T1-B0,lexical features can identify intent,TF-IDF + Logistic Regression,Macro F1,5-fold weak-label Macro F1=0.981,retain; audit template-transfer sensitivity
R-B0,lexical retrieval provides reasonable baseline,BM25,NDCG@10,Temporal test NDCG@10=0.0102; Recall@10=0.0161; 110/139 positive queries,retain fixed title-only baseline; incomplete behavioral proxy
T1-P0,intent definitions transfer without supervised fitting,frozen candidate-prototype cosine similarity,Macro F1,template-held-out Macro F1=0.651; delta vs T1-B0=+0.142,not selected
T1-E1,supplied entities improve unseen-template intent transfer,TF-IDF + supplied entity indicators/counts + Logistic Regression,Macro F1,template-held-out Macro F1=0.514; delta vs T1-B0=+0.004,not selected
T1-E2,contextual slots improve unseen-template intent transfer,TF-IDF + entities + contextual slots + Logistic Regression,Macro F1,template-held-out Macro F1=0.678; delta vs T1-B0=+0.169,not selected
T1-E3,frozen semantic embeddings improve unseen-template intent transfer,frozen multilingual embeddings + Logistic Regression,Macro F1,template-held-out Macro F1=0.794; delta vs T1-B0=+0.285,not selected
T1-E4,semantic and structured signals are complementary,L2-normalized frozen embeddings + entity/context features + Logistic Regression,Macro F1,template-held-out Macro F1=0.842; delta vs T1-B0=+0.333,selected
R-L0,terminal behavior and dwell can define transparent graded weak relevance,10s meaningful-click + 150s strong-scroll thresholds; bookmark/return strong,Label and positive-query coverage,7190/7190 exposures labeled; grades 0/1/2/3=5690/444/710/346; 350/500 queries have positives,selected primary weak-label scheme
R-LS1,relevance strength should be checked against stricter dwell cutoffs,30s meaningful-click + 180s strong-scroll thresholds,Label transition rate,442/7190 rows change strength (6.1%); positive coverage unchanged,retain for retrieval sensitivity analysis
R-S0,explicit clinical structure can produce behavior-independent ranking evidence,CLEAR-inspired exact + ICD/ATC hierarchy + contextual matching; equal entity/context average,Pairwise feature coverage,172500/172500 corpus pairs featurized; 12354 entity-compatible and 14278 context-compatible pairs,retain for later retrieval ablation; no ranking claim yet
R-SPLIT,partition evidence before aggregation prevents event reuse,chronological sessions plus query-held-out and duplicate-grouped sensitivity,leakage audit,7190 exposures and 1500 events uniquely assigned per protocol; 3 near-duplicate pairs; zero detected pair overlap in query_dedup,freeze protocol before retrieval tuning
R-B0-FA,separate visible ranking failures from weak behavioral evidence before added complexity,40-query stratified temporal-validation title/metadata review,qualitative category coverage,29 intent mismatches; 21 partial entity matches; 32 off-topic strongest positives; 6 without positives,test entity and intent ablations; obtain independent judgments; baseline unchanged
R-E1,measure incremental contribution of entities,bm25 + entities,NDCG@10,Temporal validation=0.0290; test=0.0130,retain as ablation; not selected
R-E2,measure incremental contribution of context,bm25 + entities + context,NDCG@10,Temporal validation=0.0297; test=0.0148,retain as ablation; not selected
R-E3,measure incremental contribution of dense,dense,NDCG@10,Temporal validation=0.0308; test=0.0158,retain as ablation; not selected
R-E4,measure incremental contribution of dense,bm25 + dense,NDCG@10,Temporal validation=0.0255; test=0.0165,retain as ablation; not selected
R-E5,measure incremental contribution of entities,bm25 + dense + entities,NDCG@10,Temporal validation=0.0247; test=0.0122,retain as ablation; not selected
R-E6,measure incremental contribution of context,bm25 + dense + entities + context,NDCG@10,Temporal validation=0.0273; test=0.0110,retain as ablation; not selected
R-E7,measure incremental contribution of intent,bm25 + dense + entities + context + intent,NDCG@10,Temporal validation=0.0315; test=0.0194,selected on temporal validation; descriptive proxy
R-TB-entity_only,modest boosts and topic gating improve hybrid proxy ranking,"(0.2, 0.0, True)",NDCG@10,Validation=0.02610; test=0.01511,exploratory validation-selected configuration; no clean holdout
R-TB-joint_gated,modest boosts and topic gating improve hybrid proxy ranking,"(0.2, 0.0, True)",NDCG@10,Validation=0.02610; test=0.01511,exploratory validation-selected configuration; no clean holdout
R-TB-joint_ungated,modest boosts and topic gating improve hybrid proxy ranking,"(0.2, 0.1, False)",NDCG@10,Validation=0.02633; test=0.01511,exploratory validation-selected configuration; no clean holdout
R-SIGNED-bonuses_only,explicit mismatch penalties improve hybrid with missing evidence neutral,"{'entity_bonus': 0.2, 'entity_penalty': 0.0, 'context_bonus': 0.2, 'context_penalty': 0.0}",NDCG@10,Validation=0.02632; test=0.01511,exploratory validation-selected weights
