protocol,split,experiment,delta_vs_full,lower,upper,positive_queries,ndcg_at_10
temporal,validation,full:complete,0.0,0.0,0.0,113,0.03146380400033533
temporal,validation,full:minus_bm25,0.0018429886723405316,-0.008420596880499074,0.013642398701839057,113,0.03330679267267586
temporal,validation,full:minus_dense,0.0010170252960820883,-0.007829985121348105,0.009858941504124879,113,0.03248082929641742
temporal,validation,full:minus_entities,-0.012255930378237025,-0.02862330610711294,-0.0006549534449993719,113,0.019207873622098304
temporal,validation,full:minus_context,-0.0013607750943556026,-0.0083751737199751,0.0033166792520942234,113,0.030103028905979726
temporal,validation,full:minus_intent,-0.004194071718008325,-0.017679386256874572,0.007280567263743646,113,0.027269732282327007
temporal,validation,selected:complete,0.0,0.0,0.0,113,0.03146380400033533
temporal,validation,selected:minus_bm25,0.0018429886723405316,-0.008420596880499074,0.013642398701839057,113,0.03330679267267586
temporal,validation,selected:minus_dense,0.0010170252960820883,-0.007829985121348105,0.009858941504124879,113,0.03248082929641742
temporal,validation,selected:minus_entities,-0.012255930378237025,-0.02862330610711294,-0.0006549534449993719,113,0.019207873622098304
temporal,validation,selected:minus_context,-0.0013607750943556026,-0.0083751737199751,0.0033166792520942234,113,0.030103028905979726
temporal,validation,selected:minus_intent,-0.004194071718008325,-0.017679386256874572,0.007280567263743646,113,0.027269732282327007
temporal,test,full:complete,0.0,0.0,0.0,110,0.019399473994081883
temporal,test,full:minus_bm25,-0.01126471113669985,-0.02521318023034646,0.0009940824798027788,110,0.008134762857382035
temporal,test,full:minus_dense,0.0015828852149010148,-0.0012998505386368072,0.005597783248621253,110,0.020982359208982896
temporal,test,full:minus_entities,-0.0031483297391381067,-0.012661534264202141,0.0041951767358944445,110,0.016251144254943777
temporal,test,full:minus_context,-0.001165986617625981,-0.00788358617230603,0.004385626319428088,110,0.018233487376455904
temporal,test,full:minus_intent,-0.008351000692584775,-0.01887265550168408,-0.00035712697711391163,110,0.01104847330149711
temporal,test,selected:complete,0.0,0.0,0.0,110,0.019399473994081883
temporal,test,selected:minus_bm25,-0.01126471113669985,-0.02521318023034646,0.0009940824798027788,110,0.008134762857382035
