protocol,split,candidate,reference,delta_ndcg,lower,upper,improved,worsened,unchanged
temporal,validation,BM25_E_C:cue_repairs,BM25_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,BM25_E_C:explicit_only,BM25_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,BM25_E_C:repaired_explicit,BM25_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_E_C:cue_repairs,H_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_E_C:explicit_only,H_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_E_C:repaired_explicit,H_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_E_C_I:cue_repairs,H_E_C_I:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_E_C_I:explicit_only,H_E_C_I:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_E_C_I:repaired_explicit,H_E_C_I:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_modest_E_C:cue_repairs,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_modest_E_C:explicit_only,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,validation,H_modest_E_C:repaired_explicit,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,113
temporal,test,BM25_E_C:cue_repairs,BM25_E_C:legacy,0.0,0.0,0.0,0,0,110
temporal,test,BM25_E_C:explicit_only,BM25_E_C:legacy,-0.0027366363242180107,-0.010946545296872043,0.0,0,1,109
temporal,test,BM25_E_C:repaired_explicit,BM25_E_C:legacy,-0.0027366363242180107,-0.010946545296872043,0.0,0,1,109
temporal,test,H_E_C:cue_repairs,H_E_C:legacy,0.0,0.0,0.0,0,0,110
temporal,test,H_E_C:explicit_only,H_E_C:legacy,0.0,0.0,0.0,0,0,110
temporal,test,H_E_C:repaired_explicit,H_E_C:legacy,0.0,0.0,0.0,0,0,110
temporal,test,H_E_C_I:cue_repairs,H_E_C_I:legacy,0.0,0.0,0.0,0,0,110
temporal,test,H_E_C_I:explicit_only,H_E_C_I:legacy,-0.0026278620574353437,-0.010511448229741375,0.0,0,1,109
temporal,test,H_E_C_I:repaired_explicit,H_E_C_I:legacy,-0.0026278620574353437,-0.010511448229741375,0.0,0,1,109
temporal,test,H_modest_E_C:cue_repairs,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,110
temporal,test,H_modest_E_C:explicit_only,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,110
temporal,test,H_modest_E_C:repaired_explicit,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,110
query,validation,BM25_E_C:cue_repairs,BM25_E_C:legacy,0.0,0.0,0.0,0,0,70
query,validation,BM25_E_C:explicit_only,BM25_E_C:legacy,0.0011367901038923944,0.0,0.0034103703116771834,1,0,69
query,validation,BM25_E_C:repaired_explicit,BM25_E_C:legacy,0.0011367901038923944,0.0,0.0034103703116771834,1,0,69
query,validation,H_E_C:cue_repairs,H_E_C:legacy,0.0,0.0,0.0,0,0,70
query,validation,H_E_C:explicit_only,H_E_C:legacy,0.0011367901038923944,0.0,0.0034103703116771834,1,0,69
query,validation,H_E_C:repaired_explicit,H_E_C:legacy,0.0011367901038923944,0.0,0.0034103703116771834,1,0,69
query,validation,H_E_C_I:cue_repairs,H_E_C_I:legacy,0.0,0.0,0.0,0,0,70
query,validation,H_E_C_I:explicit_only,H_E_C_I:legacy,0.0,0.0,0.0,0,0,70
query,validation,H_E_C_I:repaired_explicit,H_E_C_I:legacy,0.0,0.0,0.0,0,0,70
query,validation,H_modest_E_C:cue_repairs,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,70
query,validation,H_modest_E_C:explicit_only,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,70
query,validation,H_modest_E_C:repaired_explicit,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,70
query,test,BM25_E_C:cue_repairs,BM25_E_C:legacy,-0.001049253945092154,-0.003147761835276462,0.0,0,1,67
query,test,BM25_E_C:explicit_only,BM25_E_C:legacy,-0.0019560007703694647,-0.005868002311108393,0.0,0,1,67
query,test,BM25_E_C:repaired_explicit,BM25_E_C:legacy,-0.005056188642786759,-0.015168565928360278,0.0,0,1,67
query,test,H_E_C:cue_repairs,H_E_C:legacy,-0.001049253945092154,-0.003147761835276462,0.0,0,1,67
query,test,H_E_C:explicit_only,H_E_C:legacy,-0.0019560007703694647,-0.005868002311108393,0.0,0,1,67
query,test,H_E_C:repaired_explicit,H_E_C:legacy,-0.005056188642786759,-0.015168565928360278,0.0,0,1,67
query,test,H_E_C_I:cue_repairs,H_E_C_I:legacy,-0.002957680752602451,-0.008873042257807353,0.0,0,1,67
query,test,H_E_C_I:explicit_only,H_E_C_I:legacy,-0.004006934697694605,-0.012020804093083814,0.0,0,1,67
query,test,H_E_C_I:repaired_explicit,H_E_C_I:legacy,-0.00801386939538921,-0.02404160818616763,0.0,0,1,67
