protocol,split,candidate,reference,delta_ndcg,lower,upper,positive_queries,improved,worsened,unchanged
temporal,validation,requested_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,113,0,0,113
temporal,validation,requested_exact:hybrid,baseline:r_e7,-0.006013439273889259,-0.023403290254244084,0.007393344498628435,113,7,6,100
temporal,validation,requested_exact:hybrid,current:frozen_all_terms,-0.005954303911596077,-0.023599447606729784,0.007191652400546289,113,7,7,99
temporal,validation,requested_exact:hybrid,current:r_e7_equivalent,-0.006013439273889259,-0.023403290254244084,0.007393344498628435,113,7,6,100
temporal,validation,requested_exact:selected_signed_intent,baseline:hybrid,0.0056962474190980685,-0.007425989131250813,0.023337052174198358,113,7,7,99
temporal,validation,requested_exact:selected_signed_intent,baseline:r_e7,-0.00031719185479119115,-0.0016106457021234045,0.001230625012018971,113,1,3,109
temporal,validation,requested_exact:selected_signed_intent,current:frozen_all_terms,-0.0002580564924980088,-0.0007741694774940264,0.0,113,0,1,112
temporal,validation,requested_exact:selected_signed_intent,current:r_e7_equivalent,-0.00031719185479119115,-0.0016106457021234045,0.001230625012018971,113,1,3,109
temporal,validation,requested_exact:selected_all_terms,baseline:hybrid,0.0056962474190980685,-0.007425989131250813,0.023337052174198358,113,7,7,99
temporal,validation,requested_exact:selected_all_terms,baseline:r_e7,-0.00031719185479119115,-0.0016106457021234045,0.001230625012018971,113,1,3,109
temporal,validation,requested_exact:selected_all_terms,current:frozen_all_terms,-0.0002580564924980088,-0.0007741694774940264,0.0,113,0,1,112
temporal,validation,requested_exact:selected_all_terms,current:r_e7_equivalent,-0.00031719185479119115,-0.0016106457021234045,0.001230625012018971,113,1,3,109
temporal,validation,requested_exact:frozen_all_terms,baseline:hybrid,0.0056962474190980685,-0.007425989131250813,0.023337052174198358,113,7,7,99
temporal,validation,requested_exact:frozen_all_terms,baseline:r_e7,-0.00031719185479119115,-0.0016106457021234045,0.001230625012018971,113,1,3,109
temporal,validation,requested_exact:frozen_all_terms,current:frozen_all_terms,-0.0002580564924980088,-0.0007741694774940264,0.0,113,0,1,112
temporal,validation,requested_exact:frozen_all_terms,current:r_e7_equivalent,-0.00031719185479119115,-0.0016106457021234045,0.001230625012018971,113,1,3,109
temporal,validation,requested_exact:r_e7_style,baseline:hybrid,0.005985718329252698,-0.007420819430804138,0.023374876285991594,113,6,7,100
temporal,validation,requested_exact:r_e7_style,baseline:r_e7,-2.7720944636561212e-05,-8.316283390968363e-05,0.0,113,0,1,112
temporal,validation,requested_exact:r_e7_style,current:frozen_all_terms,3.1414417656621135e-05,-0.0014642537772211028,0.0010912394997867026,113,2,1,110
temporal,validation,requested_exact:r_e7_style,current:r_e7_equivalent,-2.7720944636561212e-05,-8.316283390968363e-05,0.0,113,0,1,112
temporal,validation,symmetric_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,113,0,0,113
temporal,validation,symmetric_exact:hybrid,baseline:r_e7,-0.006013439273889259,-0.023403290254244084,0.007393344498628435,113,7,6,100
temporal,validation,symmetric_exact:hybrid,current:frozen_all_terms,-0.005954303911596077,-0.023599447606729784,0.007191652400546289,113,7,7,99
temporal,validation,symmetric_exact:hybrid,current:r_e7_equivalent,-0.006013439273889259,-0.023403290254244084,0.007393344498628435,113,7,6,100
temporal,validation,symmetric_exact:selected_signed_intent,baseline:hybrid,0.0045415659562058905,-0.008240011782692264,0.022377122210755124,113,7,7,99
temporal,validation,symmetric_exact:selected_signed_intent,baseline:r_e7,-0.0014718733176833682,-0.003722636607078878,0.0005539714387406031,113,1,5,107
temporal,validation,symmetric_exact:selected_signed_intent,current:frozen_all_terms,-0.0014127379553901859,-0.0034389576977414947,0.0,113,0,3,110
temporal,validation,symmetric_exact:selected_signed_intent,current:r_e7_equivalent,-0.0014718733176833682,-0.003722636607078878,0.0005539714387406031,113,1,5,107
temporal,validation,symmetric_exact:selected_all_terms,baseline:hybrid,0.0045415659562058905,-0.008240011782692264,0.022377122210755124,113,7,7,99
temporal,validation,symmetric_exact:selected_all_terms,baseline:r_e7,-0.0014718733176833682,-0.003722636607078878,0.0005539714387406031,113,1,5,107
temporal,validation,symmetric_exact:selected_all_terms,current:frozen_all_terms,-0.0014127379553901859,-0.0034389576977414947,0.0,113,0,3,110
temporal,validation,symmetric_exact:selected_all_terms,current:r_e7_equivalent,-0.0014718733176833682,-0.003722636607078878,0.0005539714387406031,113,1,5,107
temporal,validation,symmetric_exact:frozen_all_terms,baseline:hybrid,0.0045415659562058905,-0.008240011782692264,0.022377122210755124,113,7,7,99
temporal,validation,symmetric_exact:frozen_all_terms,baseline:r_e7,-0.0014718733176833682,-0.003722636607078878,0.0005539714387406031,113,1,5,107
temporal,validation,symmetric_exact:frozen_all_terms,current:frozen_all_terms,-0.0014127379553901859,-0.0034389576977414947,0.0,113,0,3,110
temporal,validation,symmetric_exact:frozen_all_terms,current:r_e7_equivalent,-0.0014718733176833682,-0.003722636607078878,0.0005539714387406031,113,1,5,107
temporal,validation,symmetric_exact:r_e7_style,baseline:hybrid,0.004831036866360521,-0.00815131296236667,0.022236352624971683,113,6,7,100
temporal,validation,symmetric_exact:r_e7_style,baseline:r_e7,-0.0011824024075287381,-0.0029951268237755455,0.0,113,0,3,110
temporal,validation,symmetric_exact:r_e7_style,current:frozen_all_terms,-0.0011232670452355558,-0.003468206842557523,0.0007319696260450705,113,2,3,108
temporal,validation,symmetric_exact:r_e7_style,current:r_e7_equivalent,-0.0011824024075287381,-0.0029951268237755455,0.0,113,0,3,110
temporal,validation,ablation:requested_current_context,baseline:hybrid,0.0056962474190980685,-0.007425989131250813,0.023337052174198358,113,7,7,99
temporal,validation,ablation:requested_current_context,baseline:r_e7,-0.00031719185479119115,-0.0016106457021234045,0.001230625012018971,113,1,3,109
temporal,validation,ablation:requested_current_context,current:frozen_all_terms,-0.0002580564924980088,-0.0007741694774940264,0.0,113,0,1,112
temporal,validation,ablation:requested_current_context,current:r_e7_equivalent,-0.00031719185479119115,-0.0016106457021234045,0.001230625012018971,113,1,3,109
temporal,validation,ablation:symmetric_current_context,baseline:hybrid,0.0045415659562058905,-0.008240011782692264,0.022377122210755124,113,7,7,99
temporal,validation,ablation:symmetric_current_context,baseline:r_e7,-0.0014718733176833682,-0.003722636607078878,0.0005539714387406031,113,1,5,107
temporal,validation,ablation:symmetric_current_context,current:frozen_all_terms,-0.0014127379553901859,-0.0034389576977414947,0.0,113,0,3,110
temporal,validation,ablation:symmetric_current_context,current:r_e7_equivalent,-0.0014718733176833682,-0.003722636607078878,0.0005539714387406031,113,1,5,107
temporal,validation,ablation:dimension_exact_context,baseline:hybrid,0.005954303911596077,-0.007191652400546292,0.023599447606729784,113,7,7,99
temporal,validation,ablation:dimension_exact_context,baseline:r_e7,-5.913536229318235e-05,-0.0011263750036071235,0.001437053509134608,113,1,3,109
temporal,validation,ablation:dimension_exact_context,current:frozen_all_terms,0.0,0.0,0.0,113,0,0,113
temporal,validation,ablation:dimension_exact_context,current:r_e7_equivalent,-5.913536229318235e-05,-0.0011263750036071235,0.001437053509134608,113,1,3,109
temporal,test,requested_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,110,0,0,110
temporal,test,requested_exact:hybrid,baseline:r_e7,-0.0028908401868910374,-0.010480746442490377,0.0032657781700124186,110,5,6,99
temporal,test,requested_exact:hybrid,current:frozen_all_terms,-0.0011879696576639384,-0.005361296942049701,0.0030074947975907663,110,4,6,100
temporal,test,requested_exact:hybrid,current:r_e7_equivalent,-0.0002629781294556937,-0.0044099694603785934,0.004081357415841603,110,5,5,100
temporal,test,requested_exact:selected_signed_intent,baseline:hybrid,0.0011879696576639384,-0.00300749479759077,0.005361296942049699,110,6,4,100
temporal,test,requested_exact:selected_signed_intent,baseline:r_e7,-0.0017028705292270992,-0.008652768820703123,0.0018125121016616312,110,4,1,105
temporal,test,requested_exact:selected_signed_intent,current:frozen_all_terms,0.0,0.0,0.0,110,0,0,110
temporal,test,requested_exact:selected_signed_intent,current:r_e7_equivalent,0.0009249915282082447,6.168532026562017e-05,0.0021943557624519733,110,4,0,106
temporal,test,requested_exact:selected_all_terms,baseline:hybrid,0.0011879696576639384,-0.00300749479759077,0.005361296942049699,110,6,4,100
temporal,test,requested_exact:selected_all_terms,baseline:r_e7,-0.0017028705292270992,-0.008652768820703123,0.0018125121016616312,110,4,1,105
temporal,test,requested_exact:selected_all_terms,current:frozen_all_terms,0.0,0.0,0.0,110,0,0,110
temporal,test,requested_exact:selected_all_terms,current:r_e7_equivalent,0.0009249915282082447,6.168532026562017e-05,0.0021943557624519733,110,4,0,106
temporal,test,requested_exact:frozen_all_terms,baseline:hybrid,0.0011879696576639384,-0.00300749479759077,0.005361296942049699,110,6,4,100
temporal,test,requested_exact:frozen_all_terms,baseline:r_e7,-0.0017028705292270992,-0.008652768820703123,0.0018125121016616312,110,4,1,105
temporal,test,requested_exact:frozen_all_terms,current:frozen_all_terms,0.0,0.0,0.0,110,0,0,110
temporal,test,requested_exact:frozen_all_terms,current:r_e7_equivalent,0.0009249915282082447,6.168532026562017e-05,0.0021943557624519733,110,4,0,106
temporal,test,requested_exact:r_e7_style,baseline:hybrid,0.0002629781294556937,-0.004081357415841605,0.004409969460378593,110,5,5,100
temporal,test,requested_exact:r_e7_style,baseline:r_e7,-0.0026278620574353437,-0.010511448229741375,0.0,110,0,1,109
temporal,test,requested_exact:r_e7_style,current:frozen_all_terms,-0.0009249915282082447,-0.002194355762451976,-6.168532026562017e-05,110,0,4,106
temporal,test,requested_exact:r_e7_style,current:r_e7_equivalent,0.0,0.0,0.0,110,0,0,110
temporal,test,symmetric_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,110,0,0,110
temporal,test,symmetric_exact:hybrid,baseline:r_e7,-0.0028908401868910374,-0.010480746442490377,0.0032657781700124186,110,5,6,99
temporal,test,symmetric_exact:hybrid,current:frozen_all_terms,-0.0011879696576639384,-0.005361296942049701,0.0030074947975907663,110,4,6,100
temporal,test,symmetric_exact:hybrid,current:r_e7_equivalent,-0.0002629781294556937,-0.0044099694603785934,0.004081357415841603,110,5,5,100
temporal,test,symmetric_exact:selected_signed_intent,baseline:hybrid,0.0024902835772600963,-0.0016128218529215352,0.006709747617276639,110,6,2,102
temporal,test,symmetric_exact:selected_signed_intent,baseline:r_e7,-0.0004005566096309411,-0.007686429883058297,0.0046572067372593964,110,5,2,103
temporal,test,symmetric_exact:selected_signed_intent,current:frozen_all_terms,0.001302313919596158,1.5300628901439358e-05,0.0033842307134783487,110,4,1,105
temporal,test,symmetric_exact:selected_signed_intent,current:r_e7_equivalent,0.0022273054478044027,5.7530611494954e-05,0.005456760230810618,110,5,1,104
temporal,test,symmetric_exact:selected_all_terms,baseline:hybrid,0.0024902835772600963,-0.0016128218529215352,0.006709747617276639,110,6,2,102
temporal,test,symmetric_exact:selected_all_terms,baseline:r_e7,-0.0004005566096309411,-0.007686429883058297,0.0046572067372593964,110,5,2,103
temporal,test,symmetric_exact:selected_all_terms,current:frozen_all_terms,0.001302313919596158,1.5300628901439358e-05,0.0033842307134783487,110,4,1,105
temporal,test,symmetric_exact:selected_all_terms,current:r_e7_equivalent,0.0022273054478044027,5.7530611494954e-05,0.005456760230810618,110,5,1,104
temporal,test,symmetric_exact:frozen_all_terms,baseline:hybrid,0.0024902835772600963,-0.0016128218529215352,0.006709747617276639,110,6,2,102
temporal,test,symmetric_exact:frozen_all_terms,baseline:r_e7,-0.0004005566096309411,-0.007686429883058297,0.0046572067372593964,110,5,2,103
temporal,test,symmetric_exact:frozen_all_terms,current:frozen_all_terms,0.001302313919596158,1.5300628901439358e-05,0.0033842307134783487,110,4,1,105
temporal,test,symmetric_exact:frozen_all_terms,current:r_e7_equivalent,0.0022273054478044027,5.7530611494954e-05,0.005456760230810618,110,5,1,104
temporal,test,symmetric_exact:r_e7_style,baseline:hybrid,0.000766723162566499,-0.0034067809277591086,0.004787437977770241,110,5,5,100
temporal,test,symmetric_exact:r_e7_style,baseline:r_e7,-0.0021241170243245385,-0.009215552278330562,0.0010953468488835274,110,2,1,107
temporal,test,symmetric_exact:r_e7_style,current:frozen_all_terms,-0.0004212464950974394,-0.001114386186418889,0.0,110,0,3,107
temporal,test,symmetric_exact:r_e7_style,current:r_e7_equivalent,0.0005037450331108053,0.0,0.0013032909741079715,110,2,0,108
temporal,test,ablation:requested_current_context,baseline:hybrid,0.0011879696576639384,-0.00300749479759077,0.005361296942049699,110,6,4,100
temporal,test,ablation:requested_current_context,baseline:r_e7,-0.0017028705292270992,-0.008652768820703123,0.0018125121016616312,110,4,1,105
temporal,test,ablation:requested_current_context,current:frozen_all_terms,0.0,0.0,0.0,110,0,0,110
temporal,test,ablation:requested_current_context,current:r_e7_equivalent,0.0009249915282082447,6.168532026562017e-05,0.0021943557624519733,110,4,0,106
temporal,test,ablation:symmetric_current_context,baseline:hybrid,0.0024902835772600963,-0.0016128218529215352,0.006709747617276639,110,6,2,102
temporal,test,ablation:symmetric_current_context,baseline:r_e7,-0.0004005566096309411,-0.007686429883058297,0.0046572067372593964,110,5,2,103
temporal,test,ablation:symmetric_current_context,current:frozen_all_terms,0.001302313919596158,1.5300628901439358e-05,0.0033842307134783487,110,4,1,105
temporal,test,ablation:symmetric_current_context,current:r_e7_equivalent,0.0022273054478044027,5.7530611494954e-05,0.005456760230810618,110,5,1,104
temporal,test,ablation:dimension_exact_context,baseline:hybrid,0.0011879696576639384,-0.00300749479759077,0.005361296942049699,110,6,4,100
temporal,test,ablation:dimension_exact_context,baseline:r_e7,-0.0017028705292270992,-0.008652768820703123,0.0018125121016616312,110,4,1,105
temporal,test,ablation:dimension_exact_context,current:frozen_all_terms,0.0,0.0,0.0,110,0,0,110
temporal,test,ablation:dimension_exact_context,current:r_e7_equivalent,0.0009249915282082447,6.168532026562017e-05,0.0021943557624519733,110,4,0,106
query,validation,requested_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,70,0,0,70
query,validation,requested_exact:hybrid,baseline:r_e7,0.005301179103076391,-0.0035396025392985062,0.015590222470510676,70,6,4,60
query,validation,requested_exact:hybrid,current:frozen_all_terms,0.004793262336609326,-0.0024526705042582126,0.012951684212811175,70,6,2,62
query,validation,requested_exact:hybrid,current:r_e7_equivalent,0.005301179103076391,-0.0035396025392985062,0.015590222470510676,70,6,4,60
query,validation,requested_exact:selected_signed_intent,baseline:hybrid,-0.0052098392459275404,-0.01332069602803582,0.0017196106277350327,70,2,6,62
query,validation,requested_exact:selected_signed_intent,baseline:r_e7,9.133985714885031e-05,-0.004470215343274026,0.004673786817786586,70,3,4,63
query,validation,requested_exact:selected_signed_intent,current:frozen_all_terms,-0.00041657690931821425,-0.0012497307279546426,0.0,70,0,1,69
query,validation,requested_exact:selected_signed_intent,current:r_e7_equivalent,9.133985714885031e-05,-0.004470215343274026,0.004673786817786586,70,3,4,63
query,validation,requested_exact:selected_all_terms,baseline:hybrid,-0.0052098392459275404,-0.01332069602803582,0.0017196106277350327,70,2,6,62
query,validation,requested_exact:selected_all_terms,baseline:r_e7,9.133985714885031e-05,-0.004470215343274026,0.004673786817786586,70,3,4,63
query,validation,requested_exact:selected_all_terms,current:frozen_all_terms,-0.00041657690931821425,-0.0012497307279546426,0.0,70,0,1,69
query,validation,requested_exact:selected_all_terms,current:r_e7_equivalent,9.133985714885031e-05,-0.004470215343274026,0.004673786817786586,70,3,4,63
query,validation,requested_exact:frozen_all_terms,baseline:hybrid,-0.0052098392459275404,-0.01332069602803582,0.0017196106277350327,70,2,6,62
query,validation,requested_exact:frozen_all_terms,baseline:r_e7,9.133985714885031e-05,-0.004470215343274026,0.004673786817786586,70,3,4,63
query,validation,requested_exact:frozen_all_terms,current:frozen_all_terms,-0.00041657690931821425,-0.0012497307279546426,0.0,70,0,1,69
query,validation,requested_exact:frozen_all_terms,current:r_e7_equivalent,9.133985714885031e-05,-0.004470215343274026,0.004673786817786586,70,3,4,63
query,validation,requested_exact:r_e7_style,baseline:hybrid,-0.0053459286279896965,-0.01563497199542399,0.003442203473224177,70,4,6,60
query,validation,requested_exact:r_e7_style,baseline:r_e7,-4.474952491330596e-05,-0.00013424857473991785,0.0,70,0,1,69
query,validation,requested_exact:r_e7_style,current:frozen_all_terms,-0.0005526662913803703,-0.004849220960516812,0.0038065966144436502,70,3,3,64
query,validation,requested_exact:r_e7_style,current:r_e7_equivalent,-4.474952491330596e-05,-0.00013424857473991785,0.0,70,0,1,69
query,validation,symmetric_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,70,0,0,70
query,validation,symmetric_exact:hybrid,baseline:r_e7,0.005301179103076391,-0.0035396025392985062,0.015590222470510676,70,6,4,60
query,validation,symmetric_exact:hybrid,current:frozen_all_terms,0.004793262336609326,-0.0024526705042582126,0.012951684212811175,70,6,2,62
query,validation,symmetric_exact:hybrid,current:r_e7_equivalent,0.005301179103076391,-0.0035396025392985062,0.015590222470510676,70,6,4,60
query,validation,symmetric_exact:selected_signed_intent,baseline:hybrid,-0.004533958985890062,-0.013063397072901772,0.0029491133995162557,70,2,5,63
query,validation,symmetric_exact:selected_signed_intent,baseline:r_e7,0.0007672201171863291,-0.004140037749695719,0.005844649276461157,70,3,4,63
