query_id,positive_pairs,judged_pairs,eligible,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20,protocol,split,scheme,threshold
Q001,2,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q003,2,13,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q004,0,10,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q005,7,33,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,1.0,0.0625,0.10664378343023702,temporal,train,relevance_grade,1
Q006,2,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q007,4,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q010,2,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q011,2,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q012,7,29,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q013,0,7,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q016,0,7,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.05,,,,,temporal,train,relevance_grade,1
