side,record_id,language,text,entities,extracted_context,proxies,publication_year,risk_flags,duplicate_terms,unsupported_molecule_count,title_year_disagrees
query,Q001,EN,is Diazepam safe in Febrile Seizure with immunocompromised,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam"", ""drug_class_entity"": ""Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}",{},,,population_or_comorbidity,0,0,False
query,Q002,EN,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Dapagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""therapeutic_area"": ""Cardiology""}",{},,,molecule_without_literal_support,0,1,False
query,Q003,ID,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,"{""disease_entity"": ""Colorectal Cancer"", ""molecule_entity"": ""Nivolumab; Nivolumab"", ""drug_class_entity"": ""PD-1 inhibitors; PD-1 inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,duplicate_metadata,2,0,False
query,Q004,MIXED,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,"{""disease_entity"": ""Deep Vein Thrombosis"", ""molecule_entity"": ""Apixaban"", ""drug_class_entity"": ""Factor Xa inhibitors"", ""therapeutic_area"": ""Haematology""}",{},,,,0,0,False
query,Q005,EN,Penicillins in pregnancy and HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin"", ""drug_class_entity"": ""Penicillins"", ""therapeutic_area"": ""Infectious Disease""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q006,MIXED,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Metoprolol; Metoprolol"", ""drug_class_entity"": ""Beta blockers selective; Beta blockers selective"", ""therapeutic_area"": ""Cardiology""}","{""negation_flag"": true}",,,negation;duplicate_metadata,2,0,False
query,Q007,EN,Hydroxychloroquine hepatic impairment dose in Rheumatoid Arthritis,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Hydroxychloroquine"", ""drug_class_entity"": ""Antimalarials"", ""therapeutic_area"": ""Rheumatology""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q008,EN,Short-acting beta2-agonists adverse effects monitoring in Asthma,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Salbutamol"", ""drug_class_entity"": ""Short-acting beta2-agonists"", ""therapeutic_area"": ""Pulmonology""}",{},,,molecule_without_literal_support,0,1,False
query,Q009,EN,Tenofovir+Lamivudine drug interaction with Tenofovir+Lamivudine in Urinary Tract Infection,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine; Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination; NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}",{},,,duplicate_metadata,2,0,False
query,Q010,EN,renal dose adjustment Magnesium sulphate in Preeclampsia,"{""disease_entity"": ""Preeclampsia"", ""molecule_entity"": ""Magnesium sulphate"", ""drug_class_entity"": ""Magnesium"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnancy_related"", ""dose_context_flag"": true, ""renal_function_group"": ""renal_impairment""}",,,population_or_comorbidity,0,0,False
query,Q011,MIXED,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""dose_context_flag"": true, ""route"": ""topical"", ""renal_function_group"": ""renal_impairment""}",,,route;population_or_comorbidity,0,0,False
query,Q012,MIXED,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}","{""age_group"": ""elderly"", ""dose_context_flag"": true}",,,population_or_comorbidity,0,0,False
