side,record_id,findings,evidence_excerpt,review_notes,reviewer,review_type
content,C094,duplicate_metadata,"Tenofovir+Lamivudine: Pharmacology, Dosing",Dosing is explicit. Repeated identical molecule/class annotations add no distinct concept.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C255,supported_extraction,Hypertension in Pregnancy,"Pregnancy, disease and drug supported in title. Pregnancy is also part of the disease concept; those signals are dependent.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C158,supported_extraction,Metronidazole in Inflammatory Bowel Disease,Explicit drug/disease; no missing approved context evident. Body-level applicability is unknown.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C265,alias_candidate;metadata_only_disease;context_proxy,"Magnesium: Mechanism, Indications, and Safety","Magnesium sulphate may be a more specific metadata concept than Magnesium; needs controlled alias review, not automatic equivalence. Preeclampsia and dosing are not stated in title.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C216,metadata_only_molecule;duplicate_metadata,Switching Therapy in Osteoporosis,Alendronate is absent from title. Switching relation names no drugs; duplicate metadata cannot establish both roles.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C279,supported_extraction,Rare Adverse Event of Zinc,Zinc/disease explicit. Adverse-event intent is visible but outside the context schema.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C291,comparison_miss;self_relation,Perbandingan Diazepam dan Diazepam,Perbandingan is explicit comparison wording not captured by comparison regex; both roles repeat Diazepam.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C276,alias_candidate,Efektivitas Magnesium pada Preeclampsia,Pregnancy-related context is an inference from Preeclampsia. Magnesium sulphate is more specific than the literal Magnesium; do not assert full equivalence without validation.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C263,metadata_only_molecule;context_proxy,Tinjauan Sistematis: Beta blockers non-selective,Systematic-review wording alone does not establish a comparison. Labetalol/Methyldopa absent; pregnancy is explicit.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C342,context_proxy;context_from_entity_name,Farmakologi dan Penggunaan Klinis,Clinical use/pharmacology does not explicitly establish dosing. Topical comes from formulation wording and is supported.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C114,metadata_only_molecule,Profil Keamanan Levofloxacin,"Levofloxacin explicit; additional Amoxicillin metadata unsupported by title. It may appear in body, which is unavailable.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C285,comparison_miss;self_relation;duplicate_metadata,Perbandingan Diazepam dan Diazepam,Comparison expression is missed; duplicates do not create two distinct comparator entities.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C002,metadata_only_molecule,Type 1 Diabetes Mellitus Management 2023,Insulin degludec absent; requested/title year matches publication metadata. Guideline may be disease-wide.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C027,metadata_only_molecule,Atrial Fibrillation Diagnosis and Treatment,Neither Apixaban nor Dapagliflozin is stated in title. Treat both as metadata evidence with unknown article scope.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C150,supported_extraction,Initiating Omeprazole in Peptic Ulcer Disease,"Named drug/disease supported, no missed approved slot evident.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C067,metadata_only_molecule,Loop diuretics Use,Furosemide is not named; title is at class level. Preserve specificity distinction.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C084,renal_miss;metadata_only_disease,Renal and Hepatic Impairment,Coordinated phrase states both renal and hepatic impairment; renal regex misses it. Parkinson Disease is metadata-only in this title.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C293,metadata_only_molecule,Stunting / Malnutrition Management Update 2021,Zinc absent. Year correctly extracted; Management Update does not necessarily mean latest at search time.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C029,metadata_only_molecule;context_proxy,Profil Obat ARBs,Drug-profile type alone supplies dosing bonus; neither Losartan nor Ramipril appears in title. Metadata class scope is broader than title.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C025,missing_title_molecule;unlinked_entities,Metoprolol versus Empagliflozin,Empagliflozin is explicit in title but absent from supplied molecule metadata; comparison flag is correct. Any-overlap scoring hides this missing comparator.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C324,metadata_only_molecule;missing_severity;context_from_entity_name,Severe Psoriasis with Tacrolimus topical,Severe is visible but outside current slots. Dupilumab is metadata-only. Topical is explicit formulation wording.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C009,metadata_only_molecule,Atypical Presentation of Obesity,Liraglutide is absent; title does not establish drug-specific content. No approved context is visibly missed.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C001,duplicate_metadata,Levothyroxine pada Hypothyroidism,"Explicit drug/disease. Duplicate molecule/class entries are a source artifact, already collapsed by set matching.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C005,metadata_only_molecule,Liraglutide in Type 2 Diabetes Mellitus,"Liraglutide supported, Semaglutide metadata-only. Do not assume Semaglutide absent from the unavailable body.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C033,metadata_only_molecule;metadata_only_disease;context_proxy,"Statins: Mechanism, Indications, and Safety",Title is class-level; Atorvastatin and Stable Angina absent. Drug-profile type does not provide explicit dosing evidence.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C173,supported_extraction;unlinked_entities;duplicate_metadata,Escitalopram versus Sertraline,Both molecules and comparison explicit. Duplicate SSRIs entries should not count twice; relation-aware coverage could preserve both comparator requirements.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C331,supported_extraction;context_from_entity_name,Tacrolimus topical pada Psoriasis,Route derives from explicit formulation text. No additional context error visible.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C016,renal_miss,Renal and Hepatic Impairment,Explicit renal context is missed because impairment is coordinated after Hepatic; dosing and hepatic flags are supported.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C007,metadata_only_molecule;duplicate_metadata,Vasopressin analogues,Desmopressin is not named; title is class-level. Duplicate annotations do not add evidence.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C008,metadata_only_molecule,Treatment Intensification in Type 2 Diabetes Mellitus,Sitagliptin absent. Intensification is an information-need cue; it does not establish failure/resistance as patient history.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q347,supported_extraction,hepatic impairment dose,"Dosing and hepatic flags are supported; drug/disease explicit. Class is metadata/ontology evidence, not text.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q486,self_relation;duplicate_metadata,Alteplase to Alteplase,The two switching roles name the same drug; duplicate labels add no second distinct entity. Preserve the self-switch artifact rather than invent a comparator.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q034,metadata_only_molecule,Antimalarials first line,"Query names a class, not Artemether-lumefantrine. The specific molecule should not be treated as explicitly requested.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q392,self_relation;duplicate_metadata,Artemether-lumefantrine to Artemether-lumefantrine,Both switching arguments are identical; extraction stores duplicate metadata but no relation or artifact flag.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q360,supported_extraction,elderly patients,"Elderly context is supported; Obesity is the named target disease, not a separate extracted comorbidity.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q277,supported_extraction,hepatic impairment dose,Dosing and hepatic flags match text. No clinical appropriateness of the drug/disease pairing is adjudicated.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q180,metadata_only_molecule,tatalaksana Type 1 Diabetes Mellitus,No Metformin mention; disease-management query receives molecule metadata. Year and latest wording are correctly represented.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q323,metadata_only_molecule;context_from_entity_name,Inhaled corticosteroids,"Budesonide is absent. Inhaled route is supported inside the class name, not an independently stated route constraint.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q310,metadata_only_molecule,Proteasome inhibitors,"Class is explicit, Bortezomib is metadata-only. Target-therapy wording is an information need, not a missed approved context slot.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q274,self_relation;duplicate_metadata,Alendronate ... alternatif Alendronate,"Resistance flag is supported, but the proposed alternative repeats the same molecule. No distinct alternative is established.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q242,metadata_only_molecule;missing_care_setting,di ICU,Year is supported. ICU care setting is visible but outside implemented slots. Liraglutide is not in query text.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q446,metadata_only_molecule,dengan pregnancy,Pregnancy is supported; Insulin degludec is metadata-only and not specifically requested in text.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q469,supported_extraction,guideline terbaru,"Recency supported, Bedaquiline/disease explicit. Indication intent is separate from context.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q119,metadata_only_molecule,TNF inhibitors,"Class is explicit, Adalimumab absent. Do not convert class-level information need into a mandatory specific-drug constraint.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q262,negation_scope_error;unlinked_entities,aman atau tidak,This asks whether the combination is safe; it does not negate either drug or Sepsis. Both drug mentions are present but combination relation is not stored.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q168,metadata_only_molecule,Factor Xa inhibitors terbaru,"Class/year/recency supported, Apixaban absent. Exact molecule matching would use an inferred query restriction.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q328,negation_scope_error;unlinked_entities,aman atau tidak,"Safety question, not asserted negation. Both drugs occur; their combination relation is missing from the representation.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q402,missing_treatment_state,target Obesity sudah tercapai kapan maintenance,"Achieved target and maintenance decision are not represented as clinical state. This is a schema extension candidate, not a failure of an existing slot.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
