seed_parent_intent,liang_subintent_analogue,candidate_final_intent,derivation_action,candidate_definition_source,liang_model_n_queries,mean_model_probability,mean_model_margin,dominant_independent_cluster_ids,support_decision,final_schema_status
Management / Treatment,therapy,Management / Treatment Selection,keep_and_rename,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,58,0.9293,0.8934,11,>=20: standalone supported,retain
Pharmacotherapy,therapy,Dosing / Administration,split,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,99,0.8254,0.7316,1; 3; 5; 8; 10,>=20: standalone supported,retain
Pharmacotherapy,caution / precautions,Safety / Contraindication,split,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,73,0.6634,0.4993,2; 4; 7; 12; 13; 14,>=20: standalone supported,retain
Pharmacotherapy,caution + therapy,Interaction / Combination,split,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,24,0.8896,0.8494,none,>=20: standalone supported,retain
Pharmacotherapy,effect / efficacy + therapy,Comparative Treatment Choice,split,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,23,0.9828,0.9759,none,>=20: standalone supported,retain
Management / Treatment; Epidemiology / Prognosis,caution + metric interpretation + prognosis,Monitoring / Response / Risk Assessment,merge_sparse_risk_with_monitoring,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,40,0.9417,0.9185,6; 9,>=20: standalone supported,retain
Pharmacotherapy; Epidemiology / Prognosis,effect / efficacy + outcome / prognosis,Efficacy / Outcomes,split_and_merge,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,20,0.9874,0.9812,none,>=20: standalone supported,retain
Evidence / Guideline Lookup,dataset-specific refinement of therapy/other,Guideline / Evidence Lookup,rename,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,59,0.894,0.8297,none,>=20: standalone supported,retain
Management / Treatment,therapy,Treatment Change / Escalation,split,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,44,0.9809,0.9716,0,>=20: standalone supported,retain
Management / Treatment,therapy + caution,Prophylaxis / Maintenance,split,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,31,0.9765,0.9688,none,>=20: standalone supported,retain
New dataset-specific class,cause / etiology + disease description,Mechanism / Background Knowledge,new_class,literature seed + Liang analogue + observed Docquity lexical/cluster pattern,29,0.962,0.9528,none,>=20: standalone supported,retain
