intent_name,parent_intent,definition,inclusion_criteria,exclusion_criteria,positive_examples,boundary_examples,likely_content_preference,taxonomy_action,n_queries,support_estimation_method,support_decision
Management / Treatment Selection,Management / Treatment,"Select, initiate, or sequence a treatment strategy for a named clinical condition.","first-line choice, best therapy, treatment algorithm, when to start","dose/titration, safety, explicit guideline lookup, switching after failure",treatment algorithm for diabetes; first-line drug for malaria,when to start a drug belongs here unless the query explicitly asks for current evidence,"treatment algorithms, society recommendations, comparative treatment overviews",keep_and_rename,58,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Dosing / Administration,Pharmacotherapy,"Determine dose, titration, loading regimen, route, or organ-function/age dose adjustment.","dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route",general medication safety without a requested regimen,metformin dose in CKD; amiodarone loading dose,a query containing both dose and 'safe' needs a primary-intent decision in annotation,"drug monographs, dosing tables, renal/hepatic adjustment references",split,99,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Safety / Contraindication,Pharmacotherapy,"Assess adverse effects, contraindications, pregnancy safety, or suitability with a comorbidity.","safe/aman, contraindication, adverse/side effect, pregnancy safety",explicit drug-drug interaction or a requested numeric/titration regimen,ACE inhibitor pregnancy safety; statin liver safety,"monitoring adverse effects is safety when harm surveillance is primary, not routine response monitoring","safety monographs, contraindication sections, adverse-effect reviews",split,73,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Interaction / Combination,Pharmacotherapy,Assess a drug-drug interaction or the rationale/safety of combination therapy.,"drug interaction/interaksi obat, combination therapy, kombinasi",head-to-head comparison where alternatives are not co-administered,warfarin interaction with amiodarone; combination therapy for hypertension,combination safety remains here when co-administration is the central question,"interaction databases, combination-regimen evidence, compatibility references",split,24,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Comparative Treatment Choice,Pharmacotherapy,"Compare two named treatments, usually for relative efficacy or preferred choice.","vs/versus, compare, mana lebih efektif",co-administration interactions or a single treatment's efficacy,apixaban vs warfarin; semaglutide vs liraglutide,two named drugs do not imply comparison without an explicit contrast cue,"head-to-head trials, network meta-analyses, comparative reviews",split,23,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Monitoring / Response / Risk Assessment,Management / Treatment; Epidemiology / Prognosis,"Select monitoring parameters, assess treatment response, or perform clinical risk stratification.","monitoring parameters, biomarkers of response, risk stratification",adverse-effect lists without a monitoring decision; long-term treatment efficacy,monitoring parameters for apixaban; PE risk stratification,"adverse-effects monitoring may border Safety; annotate the requested action, not the word monitoring alone","monitoring protocols, biomarkers, validated risk scores and calculators",merge_sparse_risk_with_monitoring,40,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Efficacy / Outcomes,Pharmacotherapy; Epidemiology / Prognosis,"Assess therapeutic effect, clinical outcomes, or long-term outcomes for a treatment.","efficacy, clinical outcome data, long-term outcomes",explicit head-to-head comparison; disease prognosis without a treatment focus,SGLT2 efficacy outcomes; long-term outcomes of tiotropium,"maintenance after target attainment is longitudinal management, not outcome evidence","randomized trials, systematic reviews, outcomes cohorts",split_and_merge,20,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Guideline / Evidence Lookup,Evidence / Guideline Lookup,"Retrieve an explicit guideline, recent update, evidence summary, or year-constrained recommendation.","guideline/panduan, latest/terbaru, evidence based, named year/update",clinical choice without an explicit request for evidence or recency,latest COPD guideline; 2025 ACS evidence update,'when to start' plus evidence terbaru belongs here when recency is explicit,"current guidelines, consensus statements, evidence summaries, recent trials",rename,59,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Treatment Change / Escalation,Management / Treatment,"Change, add, or escalate treatment because of failure, resistance, or progression.","switch/penggantian, add-on, failure/gagal, resistance, alternative after progression",initial first-line selection or scheduled maintenance after success,add-on after treatment failure; switch after progression,simple substitution and failure-driven escalation share retrieval needs in this dataset,"step-up algorithms, refractory-disease guidance, alternative-regimen evidence",split,44,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Prophylaxis / Maintenance,Management / Treatment,"Prevent disease/recurrence, determine prophylaxis duration, or maintain therapy after target attainment.","prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance",active-disease first-line treatment or switching after failure,TB prophylaxis indication; maintenance after target attainment,a drug 'indication' is included only when explicitly framed as prophylaxis/prevention,"prevention guidelines, prophylaxis duration tables, maintenance protocols",split,31,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
Mechanism / Background Knowledge,New dataset-specific class,"Explain mechanism of action, pathophysiology, or a treatment's mechanistic role.","mechanism/cara kerjanya, mechanism of action, pathophysiology","clinical efficacy, treatment choice, disease diagnosis",SGLT2 mechanism in CKD; role in disease pathophysiology,'role' is background only when paired with pathophysiology/mechanism rather than an indication decision,"mechanistic reviews, pharmacology references, pathophysiology explainers",new_class,29,Liang-style weakly supervised three-branch attention model,>=20: standalone supported
