priority,intent,parent_intent,definition,inclusion_criteria,exclusion_criteria,boundary_rule,implemented_pattern
1,Comparative Treatment Choice,Pharmacotherapy,"Compare two named treatments, usually for relative efficacy or preferred choice.","vs/versus, compare, mana lebih efektif",co-administration interactions or a single treatment's efficacy,explicit comparison overrides single-treatment efficacy,\bvs\b|\bversus\b|mana lebih efektif|\bcompare\b|\bcomparison\b
2,Interaction / Combination,Pharmacotherapy,Assess a drug-drug interaction or the rationale/safety of combination therapy.,"drug interaction/interaksi obat, combination therapy, kombinasi",head-to-head comparison where alternatives are not co-administered,co-administration or interaction overrides general safety,drug interaction|interaksi obat|combination therapy|\bkombinasi\b
3,Prophylaxis / Maintenance,Management / Treatment,"Prevent disease/recurrence, determine prophylaxis duration, or maintain therapy after target attainment.","prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance",active-disease first-line treatment or switching after failure,prevention or maintenance framing overrides generic indication,\bprophylaxis\b|\bprofilaksis\b|\bmaintenance\b|target (?:terapi )?.*sudah tercapai
4,Guideline / Evidence Lookup,Evidence / Guideline Lookup,"Retrieve an explicit guideline, recent update, evidence summary, or year-constrained recommendation.","guideline/panduan, latest/terbaru, evidence based, named year/update",clinical choice without an explicit request for evidence or recency,"explicit evidence, guideline, recency, or year constraint overrides treatment choice",\bguideline\b|\bguidelines\b|\bpanduan\b|\bterbaru\b|\blatest\b|evidence based|new evidence|evidence terbaru|\b20[2-3]\d\b
5,Treatment Change / Escalation,Management / Treatment,"Change, add, or escalate treatment because of failure, resistance, or progression.","switch/penggantian, add-on, failure/gagal, resistance, alternative after progression",initial first-line selection or scheduled maintenance after success,"failure, resistance, progression, switch, or add-on framing overrides initial selection","\bswitch\b|switch dari|penggantian|\badd on\b|add-on|after .{0,50}\bfailure\b|\bgagal\b|\bresist\w*\b|\balternatif\b|alternative therapy|\bprogresif\b"
6,Management / Treatment Selection,Management / Treatment,"Select, initiate, or sequence a treatment strategy for a named clinical condition.","first-line choice, best therapy, treatment algorithm, when to start","dose/titration, safety, explicit guideline lookup, switching after failure",initial treatment choice overrides demographic safety context unless safety is asked,treatment algorithm|algoritma terapi|\bfirst line\b|lini pertama|pilihan drug terbaik|pilihan terapi|\bwhen to start\b|kapan (?:mulai|start)|\btatalaksana\b|\bpenanganan\b|\bindication\b|\bindikasi\b|\btarget terapi\b
7,Safety / Contraindication,Pharmacotherapy,"Assess adverse effects, contraindications, pregnancy safety, or suitability with a comorbidity.","safe/aman, contraindication, adverse/side effect, pregnancy safety",explicit drug-drug interaction or a requested numeric/titration regimen,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit",\bsafe\b|\baman\b|aman atau tidak|aman tidak|contraindication|kontraindikasi|adverse effect|side effect|efek samping|\bpregnan\w*\b|\bhamil\b|ibu hamil
8,Dosing / Administration,Pharmacotherapy,"Determine dose, titration, loading regimen, route, or organ-function/age dose adjustment.","dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route",general medication safety without a requested regimen,requested regimen or adjustment determines the primary information need,\bdose\b|\bdosing\b|\bdosis\b|titration|titrasi|loading dose|dose adjustment|renal dose|hepatic impairment dose|penyesuaian dosis|perlu adjustment
9,Monitoring / Response / Risk Assessment,Management / Treatment; Epidemiology / Prognosis,"Select monitoring parameters, assess treatment response, or perform clinical risk stratification.","monitoring parameters, biomarkers of response, risk stratification",adverse-effect lists without a monitoring decision; long-term treatment efficacy,"monitoring action, response biomarker, or risk score is the requested output",monitoring parameters|monitoring terapi|\bmonitoring\b|\bbiomarkers\b|risk stratification
10,Efficacy / Outcomes,Pharmacotherapy; Epidemiology / Prognosis,"Assess therapeutic effect, clinical outcomes, or long-term outcomes for a treatment.","efficacy, clinical outcome data, long-term outcomes",explicit head-to-head comparison; disease prognosis without a treatment focus,single-treatment efficacy or outcome evidence is the requested output,\befficacy\b|clinical outcome data|long term outcomes|long-term outcomes
11,Mechanism / Background Knowledge,New dataset-specific class,"Explain mechanism of action, pathophysiology, or a treatment's mechanistic role.","mechanism/cara kerjanya, mechanism of action, pathophysiology","clinical efficacy, treatment choice, disease diagnosis",mechanism or pathophysiology is explanatory rather than management-oriented,mechanism of action|\bmechanism\b|cara kerjanya|\bpathophysiology\b
12,Other / Ambiguous,Other / Ambiguous,No supported intent can be assigned reproducibly.,no explicit supported information need; unresolved primary intent,any query with a clear supported intent cue,no supported intent has a sufficiently explicit cue,fallback only
