cluster_id,n_queries,nearest_seed_intent,mean_prototype_similarity,top_terms,dominant_entity_pattern,dominant_liang_final_intent,dominant_intent_share,representative_query_ids,proposed_action
0,216,Management / Treatment,0.4347,medicine disease; medicine medicine; vs medicine; vs; medicine vs; kapan; switch; switch medicine; terbaru; prophylaxis; therapy; guideline,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.18); comparison_flag=0.11; has_year=0.09; has_pregnancy_context=0.04; negation_flag=0.03",Treatment Change / Escalation,0.1991,Q262; Q006; Q155; Q231; Q328,manual_review
1,34,Pharmacotherapy,0.347,renal; disease renal; renal impairment; impairment; hypertension; disease hypertension; impairment penyesuaian; penyesuaian dosis; penyesuaian; dosis medicine; dosis; adjustment medicine,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_renal_constraint=0.65; has_dose=0.53; negation_flag=0.06; has_route=0.03",Dosing / Administration,0.5294,Q148; Q191; Q019; Q380; Q011,manual_review
2,14,Pharmacotherapy,0.3906,disease diabetes; diabetes; obesity; disease obesity; medicine dosing; dosing disease; safe; safe disease; medicine safe; dosing; kontraindikasi; drug,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_dose=0.21",Safety / Contraindication,0.5714,Q464; Q374; Q497; Q228; Q162,manual_review
3,21,Pharmacotherapy,0.3504,hepatic impairment; hepatic; impairment dose; medicine hepatic; impairment; dose disease; dose; disease hepatic; liver disease; liver; disease liver; drugclass kontraindikasi,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_dose=0.71",Dosing / Administration,0.7143,Q277; Q299; Q050; Q135; Q154,split
4,10,Pharmacotherapy,0.3924,copd; disease copd; ckd; disease ckd; kontraindikasi; kontraindikasi medicine; drug; medicine disease; line drug; line; first line; first,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_dose=0.20; negation_flag=0.10",Safety / Contraindication,0.6,Q233; Q131; Q142; Q450; Q297,split
5,17,Epidemiology / Prognosis,0.3726,toleransi; dosis titrasi; disease toleransi; titrasi; titrasi medicine; protocol medicine; protocol; titration; titration protocol; medicine disease; dosis,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_dose=0.59",Dosing / Administration,1.0,Q220; Q294; Q069; Q110; Q139,split
6,88,Pharmacotherapy,0.5442,monitoring; mechanism; drugclass mechanism; parameters; parameters medicine; monitoring parameters; action; action disease; mechanism action; drugclass terbaru; terbaru disease; pathophysiology,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_year=0.11; has_pregnancy_context=0.06; has_route=0.01",Monitoring / Response / Risk Assessment,0.3409,Q237; Q418; Q498; Q259; Q174,manual_review
7,4,Evidence / Guideline Lookup,0.3917,heart; heart failure; disease heart; failure; kontraindikasi; drugclass kontraindikasi; dosing disease; medicine dosing; kontraindikasi disease; kontraindikasi medicine; dosing; line drug,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_dose=0.25",Safety / Contraindication,0.5,Q125; Q475; Q222; Q132,manual_review
8,13,Pharmacotherapy,0.4277,elderly; disease perlu; perlu; medicine elderly; elderly disease; perlu adjustment; adjustment; disease elderly; drug; elderly pilihan; drug terbaik; terbaik,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_age=1.00; has_dose=0.69; has_pregnancy_context=0.08",Dosing / Administration,0.6923,Q411; Q270; Q249; Q239; Q161,split
9,8,Epidemiology / Prognosis,0.4127,risk stratification; stratification; stratification approach; disease risk; approach; risk,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); no_context_slot_dominates",Monitoring / Response / Risk Assessment,1.0,Q440; Q416; Q397; Q251; Q221,merge
10,33,Pharmacotherapy,0.41,dosis medicine; dosis; loading dose; loading; medicine loading; emergency; disease emergency; anak; disease anak; anak dosis; dose; medicine disease,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); has_dose=1.00; has_age=0.36; has_pregnancy_context=0.03",Dosing / Administration,1.0,Q349; Q115; Q429; Q165; Q181,split
11,11,Management / Treatment,0.3736,step; step up; up; disease step; algoritma terapi; algoritma; terapi disease; terapi,"entities(disease=1.00, molecule=1.00, drug_class=1.00, multiple_molecules=0.00); no_context_slot_dominates",Management / Treatment Selection,1.0,Q405; Q389; Q329; Q280; Q217,keep
