query_id,judged_pairs,positive_pairs,eligible_positive_metrics
Q001,12,2,True
Q003,13,2,True
Q004,10,0,False
Q005,33,7,True
Q006,12,2,True
Q007,12,4,True
Q010,7,2,True
Q011,8,2,True
Q012,29,7,True
Q013,7,0,False
Q016,7,0,False
Q017,5,0,False
Q019,7,5,True
Q020,12,1,True
Q021,29,5,True
Q022,10,6,True
Q026,10,2,True
Q027,22,6,True
Q028,6,1,True
Q031,8,2,True
Q032,19,2,True
Q033,8,2,True
Q034,6,0,False
Q035,7,1,True
Q037,8,0,False
Q038,19,6,True
Q039,6,4,True
Q040,41,7,True
Q041,6,0,False
Q043,22,7,True
Q045,7,0,False
Q046,11,7,True
Q047,7,0,False
Q051,22,2,True
Q052,7,0,False
Q053,8,0,False
Q054,9,9,True
Q056,29,6,True
Q058,10,0,False
Q062,6,1,True
Q067,36,6,True
Q068,9,1,True
Q070,6,1,True
Q071,9,0,False
Q072,5,0,False
Q074,6,0,False
Q076,28,5,True
Q077,17,6,True
Q078,9,1,True
Q079,12,2,True
Q080,9,0,False
Q082,5,0,False
Q083,8,1,True
Q085,7,1,True
Q086,19,5,True
Q087,7,1,True
Q089,19,4,True
Q090,17,4,True
Q094,11,1,True
Q095,17,6,True
Q096,8,5,True
Q097,23,6,True
Q098,6,3,True
Q100,29,6,True
Q101,11,4,True
Q102,6,0,False
Q105,10,2,True
Q107,14,2,True
Q108,9,0,False
Q109,10,0,False
Q111,9,0,False
Q112,9,0,False
Q113,5,0,False
Q114,7,1,True
Q115,9,0,False
Q117,6,0,False
Q118,8,0,False
Q119,9,1,True
Q121,6,1,True
Q124,10,1,True
Q128,28,6,True
Q130,12,7,True
Q131,12,1,True
Q132,12,2,True
Q133,27,5,True
Q134,25,5,True
Q137,8,0,False
Q138,8,0,False
Q140,12,9,True
Q142,9,6,True
Q144,9,4,True
Q145,21,6,True
Q146,23,5,True
Q147,8,1,True
Q148,7,2,True
Q149,6,0,False
Q150,16,6,True
Q152,12,7,True
Q154,35,7,True
Q155,9,8,True
Q157,12,9,True
Q158,11,1,True
Q159,20,5,True
Q160,6,1,True
Q161,18,5,True
Q164,6,6,True
Q167,6,0,False
Q168,8,1,True
Q169,11,2,True
Q173,5,0,False
Q174,8,1,True
Q178,11,8,True
Q180,25,5,True
Q181,11,5,True
Q182,7,0,False
Q184,8,0,False
Q185,7,1,True
Q186,5,0,False
Q187,10,0,False
Q188,9,3,True
Q189,15,5,True
Q190,9,0,False
Q191,19,5,True
Q193,28,7,True
Q194,8,0,False
Q196,9,1,True
Q197,13,4,True
Q200,21,6,True
Q202,22,5,True
Q205,10,0,False
Q206,7,0,False
Q208,30,7,True
Q209,8,1,True
Q211,9,9,True
Q212,8,8,True
Q213,23,5,True
Q214,16,5,True
Q215,5,0,False
Q216,11,7,True
Q217,7,0,False
Q219,10,1,True
Q220,9,0,False
Q222,6,2,True
Q223,8,1,True
Q226,7,2,True
Q228,10,8,True
Q231,30,6,True
Q234,38,3,True
Q235,6,0,False
Q236,7,0,False
Q237,6,0,False
Q238,12,4,True
Q239,7,1,True
Q240,6,1,True
Q241,11,1,True
Q242,9,2,True
