protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_language,EN,59,47,12,0.01694915254237288,0.0,0.0,0.0,0.0,0.028248587570621465,0.026595744680851064,0.0425531914893617,0.014184397163120567,0.014036105779146798,0.03728813559322034,0.047872340425531915,0.06382978723404255,0.019503546099290777,0.023050471432603893,0.03050847457627119,0.06914893617021277,0.0851063829787234,0.021867612293144205,0.02945536495736945,0.029661016949152547,0.07695035460992908,0.1276595744680851,0.025024030343179276,0.03287285419932708
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_language,ID,29,28,1,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.022533205484694906,0.06206896551724138,0.08571428571428572,0.14285714285714285,0.04107142857142857,0.04352803160404716,0.05172413793103449,0.14375000000000002,0.25,0.05637755102040815,0.06370674087413443,0.0413793103448276,0.1675595238095238,0.2857142857142857,0.05875850340136054,0.07246804142897868
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_language,MIXED,51,38,13,0.0392156862745098,0.0,0.0,0.0,0.0,0.0261437908496732,0.013157894736842105,0.02631578947368421,0.008771929824561403,0.00362383621547614,0.0392156862745098,0.017543859649122806,0.05263157894736842,0.014035087719298246,0.00488507891186857,0.03333333333333334,0.017543859649122806,0.05263157894736842,0.014035087719298246,0.00483177205768705,0.030392156862745098,0.021929824561403508,0.05263157894736842,0.014035087719298246,0.007363202719900996
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Comparative Treatment Choice,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Dosing / Administration,26,21,5,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729,0.038461538461538464,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729,0.03076923076923077,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729,0.02884615384615385,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Efficacy / Outcomes,4,3,1,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Guideline / Evidence Lookup,16,13,3,0.0625,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.037500000000000006,0.0,0.0,0.0,0.0,0.046875,0.05128205128205128,0.07692307692307693,0.005128205128205128,0.018870493502741458
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Interaction / Combination,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.05714285714285715,0.2857142857142857,0.05714285714285715,0.022454081895495727,0.042857142857142864,0.1285714285714286,0.42857142857142855,0.07755102040816328,0.05165156726527947,0.03571428571428571,0.1285714285714286,0.42857142857142855,0.07755102040816328,0.05165156726527947
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Management / Treatment Selection,11,10,1,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.1,0.1,0.05,0.06309297535714574,0.03636363636363637,0.1,0.1,0.05,0.06309297535714574,0.03636363636363637,0.2,0.2,0.06428571428571428,0.09642630869047908,0.022727272727272728,0.2,0.2,0.06428571428571428,0.09642630869047908
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Mechanism / Background Knowledge,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Monitoring / Response / Risk Assessment,12,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000001,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.02916666666666667,0.0,0.0,0.0,0.0
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Prophylaxis / Maintenance,12,10,2,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.025,0.1,0.03333333333333333,0.015969697161989947,0.03333333333333333,0.025,0.1,0.03333333333333333,0.01526955992589897,0.025000000000000005,0.025,0.1,0.03333333333333333,0.01526955992589897,0.012500000000000002,0.025,0.1,0.03333333333333333,0.01526955992589897
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Safety / Contraindication,26,19,7,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.05263157894736842,0.05263157894736842,0.017543859649122806,0.02631578947368421,0.04615384615384615,0.10526315789473684,0.10526315789473684,0.030701754385964907,0.0489829767407049,0.03461538461538461,0.15789473684210525,0.15789473684210525,0.03654970760233918,0.06482666072301971,0.02884615384615385,0.15789473684210525,0.15789473684210525,0.03654970760233918,0.06482666072301971
temporal,validation,BM25_E_C:legacy,relevance_grade,1,query_intent,Treatment Change / Escalation,18,15,3,0.05555555555555555,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.07777777777777778,0.07777777777777778,0.13333333333333333,0.030000000000000002,0.031906918702420364,0.05555555555555555,0.0861111111111111,0.2,0.039523809523809524,0.033591083247868775,0.05000000000000001,0.12166666666666666,0.3333333333333333,0.04941391941391941,0.05071217388361137
temporal,validation,BM25_E_C:legacy,relevance_grade,1,has_context,False,78,63,15,0.02564102564102564,0.0,0.0,0.0,0.0,0.029914529914529912,0.03571428571428571,0.047619047619047616,0.018518518518518517,0.020486138495100902,0.04615384615384616,0.04470899470899471,0.09523809523809523,0.028042328042328042,0.023630653151775073,0.038461538461538464,0.0705026455026455,0.14285714285714285,0.03484504913076341,0.032566815042307545,0.03141025641025641,0.0757936507936508,0.15873015873015872,0.03597883597883598,0.03541831608345011
temporal,validation,BM25_E_C:legacy,relevance_grade,1,has_context,True,61,50,11,0.01639344262295082,0.0,0.0,0.0,0.0,0.0273224043715847,0.01,0.02,0.006666666666666666,0.0027541155237618665,0.03934426229508197,0.05,0.06,0.016666666666666666,0.01998117784669759,0.03278688524590164,0.07,0.08,0.01888888888888889,0.026001777759977217,0.03360655737704918,0.08733333333333335,0.12,0.02176068376068376,0.032451541949573136
temporal,validation,H_E_C:legacy,relevance_grade,1,query_language,EN,59,47,12,0.0,0.0,0.0,0.0,0.0,0.028248587570621465,0.026595744680851064,0.0425531914893617,0.014184397163120567,0.014036105779146798,0.04067796610169492,0.047872340425531915,0.06382978723404255,0.019503546099290777,0.023050471432603893,0.03559322033898306,0.0726950354609929,0.10638297872340426,0.024290780141843972,0.03138911171972128,0.028813559322033905,0.07960992907801419,0.14893617021276595,0.026684397163120568,0.03321438005622421
temporal,validation,H_E_C:legacy,relevance_grade,1,query_language,ID,29,28,1,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.022533205484694906,0.041379310344827586,0.04285714285714286,0.07142857142857142,0.024999999999999998,0.02444937207920362,0.051724137931034496,0.12142857142857143,0.17857142857142858,0.03966836734693877,0.05080657710299798,0.03448275862068966,0.1392857142857143,0.21428571428571427,0.042644557823129245,0.05672428302318474
temporal,validation,H_E_C:legacy,relevance_grade,1,query_language,MIXED,51,38,13,0.0196078431372549,0.0,0.0,0.0,0.0,0.0261437908496732,0.013157894736842105,0.02631578947368421,0.008771929824561403,0.00362383621547614,0.03137254901960784,0.017543859649122806,0.05263157894736842,0.014035087719298246,0.00488507891186857,0.027450980392156866,0.017543859649122806,0.05263157894736842,0.014035087719298246,0.00483177205768705,0.03235294117647059,0.021929824561403508,0.05263157894736842,0.014035087719298246,0.007363202719900996
temporal,validation,H_E_C:legacy,relevance_grade,1,query_intent,Comparative Treatment Choice,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
temporal,validation,H_E_C:legacy,relevance_grade,1,query_intent,Dosing / Administration,26,21,5,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729,0.03076923076923077,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729,0.03461538461538462,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.006557417913718729,0.02884615384615385,0.02976190476190476,0.09523809523809523,0.01825396825396825,0.007219526929996377
temporal,validation,H_E_C:legacy,relevance_grade,1,query_intent,Efficacy / Outcomes,4,3,1,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.037500000000000006,0.0,0.0,0.0,0.0
temporal,validation,H_E_C:legacy,relevance_grade,1,query_intent,Guideline / Evidence Lookup,16,13,3,0.0625,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.043750000000000004,0.0,0.0,0.0,0.0,0.040625,0.0,0.0,0.0,0.0
temporal,validation,H_E_C:legacy,relevance_grade,1,query_intent,Interaction / Combination,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.028571428571428574,0.14285714285714285,0.028571428571428574,0.0076646663780348566,0.028571428571428574,0.05714285714285715,0.2857142857142857,0.04897959183673469,0.020408027884774832,0.03571428571428571,0.1285714285714286,0.42857142857142855,0.060884353741496595,0.0440788515655219
temporal,validation,H_E_C:legacy,relevance_grade,1,query_intent,Management / Treatment Selection,11,10,1,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.1,0.1,0.05,0.06309297535714574,0.03636363636363637,0.1,0.1,0.05,0.06309297535714574,0.045454545454545456,0.2,0.2,0.06428571428571428,0.09642630869047908,0.02727272727272727,0.2,0.2,0.06428571428571428,0.09642630869047908
temporal,validation,H_E_C:legacy,relevance_grade,1,query_intent,Mechanism / Background Knowledge,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
temporal,validation,H_E_C:legacy,relevance_grade,1,query_intent,Monitoring / Response / Risk Assessment,12,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000001,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.02916666666666667,0.0,0.0,0.0,0.0
