query_id,judged_pairs,positive_pairs,eligible_positive_metrics
Q001,12,2,True
Q003,18,7,True
Q004,10,0,False
Q008,11,8,True
Q009,28,6,True
Q013,7,0,False
Q020,12,1,True
Q021,36,6,True
Q025,10,1,True
Q026,10,2,True
Q027,33,7,True
Q028,6,1,True
Q030,9,2,True
Q031,8,2,True
Q034,6,0,False
Q039,17,5,True
Q041,6,0,False
Q045,7,0,False
Q046,11,7,True
Q047,7,0,False
Q048,6,0,False
Q051,43,8,True
Q052,7,0,False
Q054,9,9,True
Q055,10,1,True
Q056,49,8,True
Q057,9,2,True
Q059,9,1,True
Q061,8,5,True
Q062,6,1,True
Q063,12,1,True
Q065,9,2,True
Q068,24,7,True
Q069,10,8,True
Q071,9,0,False
Q073,11,6,True
Q074,6,0,False
Q076,46,6,True
Q078,27,6,True
Q080,9,0,False
Q081,7,2,True
Q083,8,1,True
Q084,7,0,False
Q085,7,1,True
Q087,7,1,True
Q090,26,5,True
Q092,6,2,True
Q093,9,8,True
Q096,40,9,True
Q097,32,7,True
Q099,8,0,False
Q101,26,6,True
Q102,6,0,False
Q105,10,2,True
Q108,9,0,False
Q109,10,0,False
Q116,9,2,True
Q119,9,1,True
Q120,5,0,False
Q121,27,6,True
Q125,15,6,True
Q127,7,0,False
Q128,28,6,True
Q132,31,7,True
Q133,27,5,True
Q134,25,5,True
Q135,5,0,False
Q136,9,0,False
Q139,8,0,False
Q141,9,0,False
Q144,9,4,True
Q145,45,9,True
Q146,30,6,True
Q147,8,1,True
Q148,7,2,True
Q149,6,0,False
Q150,25,7,True
Q151,9,0,False
Q152,12,7,True
Q153,10,1,True
Q155,9,8,True
Q157,12,9,True
Q159,20,5,True
Q160,6,1,True
Q163,7,6,True
Q165,8,8,True
Q166,8,2,True
Q167,6,0,False
Q169,11,2,True
Q170,11,2,True
Q172,18,6,True
Q173,5,0,False
Q175,9,0,False
Q177,7,0,False
Q179,20,6,True
Q180,34,6,True
Q181,23,6,True
Q182,7,0,False
Q184,8,0,False
Q185,17,5,True
Q186,5,0,False
Q187,10,0,False
Q192,9,2,True
Q193,28,7,True
Q194,8,0,False
Q197,20,5,True
Q198,9,1,True
Q199,19,5,True
Q201,6,2,True
Q202,34,6,True
Q203,10,0,False
Q204,21,3,True
Q205,10,0,False
Q211,9,9,True
Q212,8,8,True
Q214,16,5,True
Q216,11,7,True
Q218,10,7,True
Q220,9,0,False
Q223,8,1,True
Q226,7,2,True
Q227,9,1,True
Q229,8,7,True
Q230,7,0,False
Q231,39,7,True
Q232,10,2,True
Q233,6,0,False
Q234,56,9,True
Q235,6,0,False
Q236,7,0,False
Q237,6,0,False
Q239,33,8,True
Q240,6,1,True
Q242,9,2,True
Q243,17,4,True
Q244,12,2,True
Q245,37,6,True
Q246,12,6,True
Q247,21,4,True
Q248,6,1,True
Q250,9,6,True
Q251,11,1,True
Q253,9,0,False
Q254,12,3,True
Q255,6,2,True
Q256,8,0,False
Q257,8,1,True
Q258,30,7,True
Q259,9,0,False
Q260,12,2,True
Q261,9,0,False
Q262,25,5,True
Q263,18,4,True
Q264,34,6,True
Q265,10,1,True
Q266,11,2,True
Q269,8,2,True
Q270,21,6,True
Q272,11,2,True
Q274,5,0,False
Q281,46,8,True
Q282,11,1,True
Q283,8,0,False
Q284,9,1,True
Q285,15,4,True
Q286,10,0,False
Q289,33,8,True
Q290,9,9,True
Q292,34,5,True
Q293,56,9,True
Q294,12,1,True
Q295,6,2,True
Q296,7,0,False
Q299,7,0,False
Q300,10,0,False
Q303,8,0,False
Q305,6,4,True
Q306,10,2,True
Q307,11,2,True
Q308,6,2,True
Q313,9,1,True
Q316,12,8,True
Q319,35,7,True
Q320,8,1,True
Q322,9,0,False
Q323,52,11,True
Q325,22,6,True
Q327,10,9,True
Q328,6,0,False
Q331,8,2,True
Q335,26,6,True
Q337,36,7,True
Q338,7,1,True
Q339,8,0,False
Q341,41,8,True
Q342,22,5,True
Q344,9,0,False
Q345,9,2,True
Q346,7,5,True
Q347,6,0,False
Q349,24,5,True
Q351,5,0,False
Q352,14,4,True
Q353,6,0,False
Q354,34,7,True
Q355,10,2,True
Q356,8,1,True
Q357,6,2,True
Q358,10,0,False
Q359,9,4,True
Q362,9,1,True
Q363,38,6,True
Q365,10,1,True
Q366,12,1,True
Q368,5,0,False
Q369,10,9,True
Q370,8,8,True
Q371,27,6,True
Q372,8,2,True
Q374,9,0,False
Q375,27,5,True
Q377,6,0,False
Q378,9,0,False
Q379,12,1,True
Q382,12,2,True
Q384,9,8,True
Q385,11,1,True
Q387,7,0,False
Q388,11,4,True
Q389,7,0,False
Q390,9,9,True
Q391,8,0,False
Q392,36,7,True
Q394,17,5,True
Q396,8,0,False
Q398,9,8,True
Q400,8,1,True
Q403,7,2,True
Q405,10,1,True
Q406,12,2,True
Q407,19,4,True
Q408,23,5,True
Q410,5,0,False
Q411,11,2,True
Q412,10,0,False
Q414,9,0,False
Q415,7,0,False
Q416,12,9,True
Q418,12,1,True
Q419,42,6,True
Q420,26,7,True
Q425,8,0,False
Q426,23,6,True
Q428,10,0,False
Q429,30,5,True
Q434,5,0,False
Q435,7,7,True
Q436,10,2,True
Q437,10,1,True
Q439,10,0,False
Q444,7,7,True
Q445,5,0,False
Q446,9,0,False
Q447,9,1,True
Q448,9,0,False
Q449,7,4,True
Q451,11,2,True
Q453,10,2,True
Q454,42,7,True
