content_id,title,content_type,source_type,language,publication_year,word_count,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area
C001,Panduan Praktis: Memulai Levothyroxine pada Hypothyroidism,clinical_summary,hospital_protocol,ID,2021,487,Hypothyroidism,E03,Levothyroxine; Levothyroxine,H03AA01; H03AA01,Thyroid hormones; Thyroid hormones,H03AA; H03AA,Endocrinology
C002,Clinical Practice Guideline: Type 1 Diabetes Mellitus Management 2023,guideline,ministry_of_health,MIXED,2023,2901,Type 1 Diabetes Mellitus,E10,Insulin degludec,A10AE06,Basal insulins,A10AE,Endocrinology
C003,A Case of Type 1 Diabetes Mellitus Resistant to Insulin degludec,case_report,case_report,EN,2021,1231,Type 1 Diabetes Mellitus,E10,Insulin degludec,A10AE06,Basal insulins,A10AE,Endocrinology
C004,Successful Management of Severe Hypothyroidism with Levothyroxine,case_report,case_report,EN,2021,1098,Hypothyroidism,E03,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology
C005,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,article,journal,EN,2022,1065,Type 2 Diabetes Mellitus,E11,Liraglutide; Semaglutide,A10BJ02; A10BJ06,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology
C006,"Methimazole: Pharmacology, Dosing, and Clinical Use in Hyperthyroidism",drug_profile,pharmacology_reference,EN,2023,493,Hyperthyroidism,E05,Methimazole,H03BB02,Antithyroid agents,H03BB,Endocrinology
C007,Efficacy of Vasopressin analogues in Diabetes Insipidus: A Cohort Study,article,research_paper,EN,2020,898,Diabetes Insipidus,E23.2,Desmopressin; Desmopressin,H01BA02; H01BA02,Vasopressin analogues; Vasopressin analogues,H01BA; H01BA,Endocrinology
C008,Treatment Intensification in Type 2 Diabetes Mellitus: When and How,article,research_paper,EN,2025,2272,Type 2 Diabetes Mellitus,E11,Sitagliptin,A10BH01,DPP-4 inhibitors,A10BH,Endocrinology
C009,Case Report: Atypical Presentation of Obesity,case_report,case_report,EN,2021,1101,Obesity,E66,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology
C010,Dosis DPP-4 inhibitors pada Type 2 Diabetes Mellitus: Referensi Cepat,clinical_summary,hospital_protocol,ID,2025,654,Type 2 Diabetes Mellitus,E11,Sitagliptin,A10BH01,DPP-4 inhibitors,A10BH,Endocrinology
C011,National Guideline: Hypothyroidism Diagnosis and Treatment,guideline,professional_society,EN,2024,1041,Hypothyroidism,E03,Levothyroxine; Levothyroxine,H03AA01; H03AA01,Thyroid hormones; Thyroid hormones,H03AA; H03AA,Endocrinology
C012,Case Report: Atypical Presentation of Type 2 Diabetes Mellitus,case_report,case_report,EN,2025,1469,Type 2 Diabetes Mellitus,E11,Insulin glargine; Empagliflozin,A10AE04; A10BK03,Basal insulins; SGLT2 inhibitors,A10AE; A10BK,Endocrinology
C013,Asia-Pacific Guideline: Type 1 Diabetes Mellitus in Primary Care 2023,guideline,who,EN,2023,2664,Type 1 Diabetes Mellitus,E10,Metformin; Insulin degludec,A10BA02; A10AE06,Biguanides; Basal insulins,A10BA; A10AE,Endocrinology
