query_id,query_text,cluster_id,rule_intent_signal,prototype_intent_signal,prototype_top_score,prototype_second_score,prototype_margin,cluster_intent_signal_initial,cluster_intent_signal,signal_plurality_intent,signal_max_votes,signal_agreement,schema_adjudicated_intent,gold_set_membership,review_flag
Q001,is Diazepam safe in Febrile Seizure with immunocompromised,0,Safety / Contraindication,Prophylaxis / Maintenance,0.4347391,0.40337473,0.03136438,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Safety / Contraindication,not_reviewed,True
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,6,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.4623251,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Safety / Contraindication,pilot_reviewed,True
Q003,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,0,Interaction / Combination,Comparative Treatment Choice,0.5584078,0.5473563,0.011051476,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Interaction / Combination,gold_reviewed,True
Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,0,Efficacy / Outcomes,Efficacy / Outcomes,0.69424725,0.54532415,0.1489231,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Efficacy / Outcomes,gold_reviewed,True
Q005,Penicillins in pregnancy and HIV/AIDS,14,Safety / Contraindication,Safety / Contraindication,0.44444117,0.33284876,0.11159241,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,3,unanimous,Safety / Contraindication,not_reviewed,False
Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,0,Interaction / Combination,Comparative Treatment Choice,0.5549678,0.515026,0.039941847,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Interaction / Combination,pilot_reviewed,True
Q007,Hydroxychloroquine hepatic impairment dose in Rheumatoid Arthritis,3,Dosing / Administration,Dosing / Administration,0.5087169,0.29358795,0.21512893,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,6,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.4623251,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Safety / Contraindication,pilot_reviewed,True
Q009,Tenofovir+Lamivudine drug interaction with Tenofovir+Lamivudine in Urinary Tract Infection,0,Interaction / Combination,Interaction / Combination,0.5733186,0.559004,0.014314592,Prophylaxis / Maintenance,Comparative Treatment Choice,Interaction / Combination,2,two_signal_including_rule,Interaction / Combination,not_reviewed,True
Q010,renal dose adjustment Magnesium sulphate in Preeclampsia,1,Dosing / Administration,Dosing / Administration,0.5813786,0.4211757,0.16020289,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q011,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,1,Dosing / Administration,Dosing / Administration,0.44303322,0.37760088,0.06543234,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
