query_id,failure_categories,expected_relevant_content,expected_candidate_id,why_retrieval_failed,what_could_improve_it,assessment_status,reviewer
Q019,context_template_over_entity;corpus_coverage_gap,"Renal dose-adjustment guidance for bortezomib in rheumatoid arthritis; C220 is the closest title-level drug-and-disease match but does not mention renal dosing.",C220,"The renal-dose template dominates the score, so ten dose-adjustment articles for other molecules precede the closest bortezomib/rheumatoid-arthritis item. No title satisfies drug, disease, and renal-dose intent together.","Require molecule and disease compatibility before applying a strong renal-dose template boost; index article body/sections or expand the corpus for the exact conjunction.",plausible_title_level_failure,LLM-assisted
Q051,low_confidence_intent_error;prior_failure_underrepresented;corpus_coverage_gap,"Add-on or switching guidance after dolutegravir failure in malaria; C099 is the closest drug-and-disease item but only covers initiation.",C099,"The intent classifier changes Treatment Change / Escalation to Efficacy / Outcomes with a 0.004 margin, and the prior-failure constraint has little document evidence. The corpus has no title answering post-failure add-on therapy.","Use confidence-gated intent scoring, preserve the prior-treatment-failure slot, and retrieve treatment-escalation sections or add targeted content.",plausible_title_level_failure,LLM-assisted
Q061,low_confidence_intent_error;content_type_mismatch;corpus_coverage_gap,"First-line, evidence-based antiepileptic guidance for epilepsy; C076 is the closest disease-level drug item but is an efficacy profile rather than a guideline.",C076,"The classifier changes Guideline / Evidence Lookup to Mechanism / Background Knowledge with a 0.012 margin. The top result matches epilepsy but not the requested evidence/guideline form, and no title fully covers the request.","Back off from hard intent when the probability margin is low; add guideline/publication-type evidence and section-level retrieval.",plausible_title_level_failure,LLM-assisted
Q066,low_confidence_intent_error;monitoring_intent_mismatch;corpus_coverage_gap,"Monitoring parameters for rosuvastatin/statins in acute coronary syndrome; C043 is the closest entity match but is a generic drug profile.",C043,"The classifier selects Dosing / Administration instead of Monitoring with an almost zero margin. Generic monitoring templates for unrelated drugs then enter ranks 4-10, while the exact monitoring conjunction is absent from titles.","Use confidence-gated or multi-label intent, require entity compatibility for monitoring templates, and index monitoring sections.",plausible_title_level_failure,LLM-assisted
Q101,multi_entity_conjunction_failure;intent_template_mismatch;corpus_coverage_gap,"A direct dolutegravir-tenofovir interaction assessment in malaria; C099 is the closest dolutegravir/malaria item but discusses initiation.",C099,"The ranker retrieves each drug or the disease separately and an interaction template for another antimalarial, but it cannot enforce the two-drug-plus-disease conjunction. No exact title is present.","Represent per-value molecule coverage and pairwise interaction constraints; retrieve full text or add interaction-specific content.",plausible_title_level_failure,LLM-assisted
Q129,demographic_constraint_underrepresented;corpus_coverage_gap,"Pregnancy safety guidance for imatinib in chronic myeloid leukaemia; C206 is the closest special-population article.",C206,"Disease and broad special-population evidence place C206 first, but the title does not establish pregnancy or imatinib safety explicitly. Other pregnancy articles concern unrelated diseases.","Add value-specific pregnancy compatibility and section-level evidence; abstain or expose a corpus-gap message when pregnancy safety is not documented.",plausible_title_level_gap,LLM-assisted
Q146,comparison_intent_mismatch;multi_entity_conjunction_failure;corpus_coverage_gap,"Direct comparative efficacy evidence for bedaquiline versus rifampicin in tuberculosis; C125 supplies only class-level efficacy evidence.",C125,"Bedaquiline safety articles outrank the class-level efficacy study despite the explicit comparison request. No title compares both requested drugs.","Require both comparator values and efficacy/comparison evidence; add pairwise comparison content and use a learned reranker with coverage features.",plausible_title_level_failure,LLM-assisted
Q180,weak_behavioral_ground_truth;apparent_metric_false_failure,"Current 2023 management guidelines for type 1 diabetes; C013 and C002 directly satisfy disease, year, and guideline intent.",C013,"The final ranker places exact-looking guideline titles at ranks 1 and 2, but both are unjudged. The only behavioral positive is an off-topic 2024 colorectal-cancer review, so proxy NDCG records a miss.","Pool and clinically adjudicate top results; keep unjudged distinct from irrelevant and do not tune the ranker toward this behavioral positive.",proxy_label_failure,LLM-assisted
Q224,context_template_over_entity;wrong_molecule;corpus_coverage_gap,"Hepatic dose-adjustment guidance for losartan in hypertension; C028 matches drug and disease but not hepatic impairment.",C028,"Eight hepatic/renal dose-adjustment templates for other molecules outrank C028. The context and dosing cues outweigh exact molecule and disease compatibility, while no title covers the complete request.","Gate context-template boosts on requested-molecule compatibility and retrieve dose-adjustment sections; add exact losartan hepatic guidance if clinically appropriate.",plausible_title_level_failure,LLM-assisted
Q393,low_confidence_intent_error;weak_behavioral_ground_truth;proxy_sensitive_intent_effect,"Monitoring parameters for SSRIs in ADHD; C166 matches class and disease but covers dosing, not monitoring.",C166,"The classifier predicts Mechanism instead of Monitoring. Assisted intent would move behavior-positive C203 to rank 10, but C203 concerns CNS stimulants in breast cancer, so the apparent metric loss is not a credible clinical loss.","Use confidence-aware intent fallback and clinician judgments; do not optimize toward an off-topic behavior-positive document.",proxy_label_and_classifier_failure,LLM-assisted
Q409,wrong_molecule;entity_underweighted;corpus_coverage_gap,"Spironolactone dosing guidance for heart failure with obesity; C034 matches spironolactone and heart failure but only reports outcomes.",C034,"The only spironolactone/heart-failure title falls to rank 20 while generic dosing and drug-profile templates for unrelated molecules dominate. Obesity is also unsupported in candidate titles.","Make exact molecule and disease coverage prerequisites for generic dosing boosts; index dosing and comorbidity sections or expand coverage.",plausible_title_level_failure,LLM-assisted
Q435,context_template_over_entity;intent_template_mismatch;corpus_coverage_gap,"Hepatic dose-adjustment guidance for artemether-lumefantrine in typhoid fever; C096 matches entities but covers interactions.",C096,"The first result matches drug and disease but not dosing; ranks 2-10 match hepatic-dose wording but use other molecules. No title combines all requested constraints.","Use a conjunction-aware reranker with molecule, disease, intent, and hepatic-context coverage; retrieve full-text dosing sections and flag unsupported combinations.",plausible_title_level_failure,LLM-assisted
