query_id,query_text,language,therapeutic_area,query_length_band,entity_complexity,context_complexity,cluster_id,liang_final_intent,liang_top_probability,liang_probability_margin,prototype_top_intent,ambiguity_margin,matched_annotation_rules,n_rule_matches,rule_intent_signal,prototype_intent_signal,prototype_top_score,prototype_margin,cluster_intent_signal_initial,cluster_intent_signal,signal_plurality_intent,signal_max_votes,signal_agreement,intent_top_level,intent_subtype,label_confidence,label_source,review_flag,gold_set_membership,annotation_notes,sampling_reasons
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,EN,Cardiology,medium,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.890431,0.8371518,Pharmacotherapy,0.14702606,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary
Q003,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,ID,Oncology,medium,2-3 entities,none,0,Interaction / Combination,0.9658287,0.9564689,Pharmacotherapy,0.18101364,Interaction / Combination,1,Interaction / Combination,Comparative Treatment Choice,0.5584078,0.011051476,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Pharmacotherapy,Interaction / Combination,low,model_assisted_schema_review,True,gold_reviewed,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,prototype_cluster_against_rule; low_candidate_prototype_margin; rare_intent
Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,MIXED,Haematology,medium,2-3 entities,none,0,Efficacy / Outcomes,0.985386,0.97804695,Epidemiology / Prognosis,0.003800869,Efficacy / Outcomes,1,Efficacy / Outcomes,Efficacy / Outcomes,0.69424725,0.1489231,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Pharmacotherapy; Epidemiology / Prognosis,Efficacy / Outcomes,medium,model_assisted_schema_review,True,gold_reviewed,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,two_signal_including_rule; low_prototype_margin; rare_intent
Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,MIXED,Cardiology,long,2-3 entities,one slot,0,Interaction / Combination,0.9430835,0.9159338,Pharmacotherapy,0.05207646,Interaction / Combination; Safety / Contraindication,2,Interaction / Combination,Comparative Treatment Choice,0.5549678,0.039941847,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Pharmacotherapy,Interaction / Combination,low,model_assisted_schema_review,True,pilot_reviewed,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,pilot; prototype_cluster_against_rule; multi_cue_boundary; rare_intent; long_query
Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,EN,Pulmonology,medium,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.890431,0.8371518,Pharmacotherapy,0.14702606,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary
Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,EN,Gastroenterology,short,2-3 entities,none,0,Prophylaxis / Maintenance,0.98185766,0.97619903,Diagnosis / Differential Diagnosis,0.069550365,Prophylaxis / Maintenance; Management / Treatment Selection,2,Prophylaxis / Maintenance,Prophylaxis / Maintenance,0.5617696,0.2258121,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,2,two_signal_including_rule,Management / Treatment,Prophylaxis / Maintenance,medium,model_assisted_schema_review,True,gold_reviewed,prevention or maintenance framing overrides generic indication Three-signal status: two_signal_including_rule (rule=Prophylaxis / Maintenance; prototype=Prophylaxis / Maintenance; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,two_signal_including_rule; multi_cue_boundary; rare_intent; short_query
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,ID,Nephrology,medium,4+ entities,none,0,Interaction / Combination,0.9658287,0.9564689,Pharmacotherapy,0.18101364,Interaction / Combination,1,Interaction / Combination,Comparative Treatment Choice,0.5584078,0.011051476,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Pharmacotherapy,Interaction / Combination,low,model_assisted_schema_review,True,gold_reviewed,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,prototype_cluster_against_rule; low_candidate_prototype_margin; rare_intent
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,Endocrinology,medium,2-3 entities,one slot,0,Guideline / Evidence Lookup,0.9326238,0.8989352,Evidence / Guideline Lookup,0.0035655499,Guideline / Evidence Lookup; Management / Treatment Selection,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.51540405,0.036907732,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Evidence / Guideline Lookup,Guideline / Evidence Lookup,low,model_assisted_schema_review,True,pilot_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; multi_cue_boundary; low_prototype_margin
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,MIXED,Obstetrics,medium,2-3 entities,one slot,13,Safety / Contraindication,0.8575469,0.82819647,Evidence / Guideline Lookup,0.0067428946,Safety / Contraindication,1,Safety / Contraindication,Prophylaxis / Maintenance,0.37290782,0.050225645,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,2,prototype_cluster_against_rule,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Prophylaxis / Maintenance; cluster=Prophylaxis / Maintenance).",pilot; prototype_cluster_against_rule; low_prototype_margin
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,EN,Pediatrics,medium,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.95744383,0.9317288,Pharmacotherapy,0.028688788,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.55006033,0.033542216,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary
