query_id,ranking_categories,review_note,candidate_id,next_step,reviewer,proxy_issue
Q003,partial entity match;English-Indonesian mismatch,C202 preserves Nivolumab and interaction intent but changes Colorectal Cancer to lung cancer. Indonesian interaction wording has no direct English token match. Repeated identical query drugs also warrant data review.,,Test bilingual intent cues and joint disease/molecule coverage.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q015,intent mismatch,C157 matches drug and disease but discusses safety rather than prophylaxis or stopping criteria. The grade-2 hit C143 is only a general class-use consensus.,C143,Evaluate intent compatibility; obtain content on maintenance duration.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q018,intent mismatch;partial entity match,"Two safety profiles outrank C047, whose title explicitly concerns Losartan interactions in CKD. No inspected title establishes the specific Losartan/Empagliflozin interaction.",C047,Test interaction-intent weighting and coverage of both drugs.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q025,partial entity match;temporal mismatch,Top titles match ACS without guideline intent or the requested year; C333 matches guideline/update/2023 but concerns Psoriasis. This is an entity-versus-template tradeoff.,,Test disease coverage before year compatibility.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q029,partial entity match;intent mismatch,"C020 is a diabetes guideline; C005 is an outcomes title for Liraglutide, not the requested Empagliflozin. No validation positives exist for this query.",,Test molecule coverage and inspect corpus coverage before expansion.,LLM-assisted qualitative title/metadata review; not clinician adjudication,no observed positives
Q032,partial entity match;intent mismatch,C029 is an ARB profile; C034 covers Spironolactone outcomes but does not establish interaction with Ramipril. A general HF guideline supplies the behavioral hit.,,Test pairwise drug coverage and interaction intent.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q065,partial entity match;intent mismatch,"C005 names Liraglutide in the title but its supplied metadata also contains Semaglutide. This is hidden entity evidence, not proof of a wrong-molecule document. A general guideline ranks first.",C005,Test supplied entity features and audit metadata against full text.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q070,,"C053 at rank 1 directly matches Furosemide, Nephrotic Syndrome and outcomes; the inspected behavioral positives concern diabetes and pregnancy hypertension. No visible top-1 failure is established.",C053,Prioritize independent relevance review before changing this ranking.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q077,intent mismatch;English-Indonesian mismatch,An outcomes title ranks first for a step-up treatment algorithm. General iron guidance and dosing follow; the behavioral hit is a drug pharmacology title.,,Test bilingual management cues and obtain escalation-specific text.,LLM-assisted qualitative title/metadata review; not clinician adjudication,broad same-disease positive; exact intent unverified
Q081,missing contextual constraint,C035 is broadly about special populations in Stable Angina; its title does not establish hypertension-specific drug choice. Missing detail is not evidence of contradiction.,,Obtain full text and evaluate comorbidity compatibility.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q094,partial entity match;temporal mismatch;intent mismatch,C124 is an Asthma consensus from 2024 rather than the requested 2022 initiation evidence. Other top titles match 2022 but change the disease; Azithromycin is absent from inspected titles.,,Test entity/year compatibility and audit title coverage.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q100,partial entity match;intent mismatch,Stroke guidance and an Aspirin adverse-event title do not establish when to stop Alteplase prophylaxis. No title containing Alteplase was found.,,Audit query and corpus coverage; retrieve duration-specific evidence.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q122,age mismatch;missing contextual constraint;intent mismatch,"C109 and C093 match the supplied drug/disease but describe initiation, without elderly adjustment evidence in the title. Age mismatch here means omitted evidence, not an incompatible age population.",C094,Inspect dosing candidate C094 and add age compatibility only with supporting text.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q141,intent mismatch,C201 concerns refractory disease rather than stopping prophylaxis. No behavioral positives are available; clinical relevance remains unresolved.,,Obtain maintenance/stopping content and evaluate intent.,LLM-assisted qualitative title/metadata review; not clinician adjudication,no observed positives
Q143,partial entity match;severity mismatch;intent mismatch,C214 matches Adalimumab but changes SLE to Gout and compares the drug with itself. Other titles match SLE without progression or switching. The query also switches a drug to itself.,,Audit self-comparison artifacts; test disease and progression constraints.,LLM-assisted qualitative title/metadata review; not clinician adjudication,no observed positives
Q145,partial entity match;intent mismatch,A pneumonia guideline and a class-level case series outrank Rivaroxaban adjustment C236. Renal/hepatic adjustment is only a partial alternative to titration in the requested disease.,C236,Test molecule/dosing features while retaining uncertainty about disease relevance.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q153,partial entity match,C333 and C233 match guideline/update/2023 but concern Psoriasis and anaemia rather than Rheumatoid Arthritis.,,Require entity coverage in a measured reranking ablation.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q161,age mismatch;missing contextual constraint;intent mismatch,Initiation and pharmacology titles match Magnesium sulphate/Preeclampsia but do not establish elderly dose adjustment. The query itself needs domain review; no clinical validity is inferred.,C273,Inspect underlying text and audit unusual query combinations.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q162,intent mismatch;missing contextual constraint,Self-comparison titles outrank general Diazepam pharmacology for a contraindication question with diabetes; none of the top three titles establishes diabetes safety.,,Test safety intent and comorbidity evidence; audit duplicate templates.,LLM-assisted qualitative title/metadata review; not clinician adjudication,no observed positives
Q198,partial entity match;temporal mismatch,Beta-blocker pregnancy-hypertension titles rank above evidence for calcium channel blockers in hypertension in 2022. Neither requested class nor year is established in the top three titles.,,Test class and disease specificity before recency weighting.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q201,lexical mismatch;English-Indonesian mismatch;partial entity match,"Generic Indonesian drug-profile wording dominates: top titles concern HF, ACS and pregnancy hypertension. The grade-2 top-10 hit C089 is a Topiramate/Migraine self-comparison.",,Test bilingual interaction cues and entity coverage; audit misleading proxy hit.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q210,partial entity match;intent mismatch;severity mismatch,C171 compares Venlafaxine with itself and C173 compares Escitalopram with Sertraline. Neither represents the requested switch pair or progressive disease. The proxy hit C182 concerns Sertraline.,,Test ordered switch-pair coverage and progression evidence.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q225,,C332 directly matches Psoriasis and elderly patients. Its title is broad but no age mismatch is visible; the inspected behavioral positive is Apixaban renal/hepatic dosing.,C332,Review relevance independently; inspect full text for treatment selection.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q232,partial entity match;intent mismatch,C135 matches Prednisolone but concerns COPD cohort outcomes rather than RA adverse effects. Other top titles preserve RA without the drug or safety focus.,,Test joint entity and adverse-effect compatibility.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q238,pregnancy mismatch;missing contextual constraint,Top titles preserve Type 1 Diabetes but omit pregnancy safety. Omission does not prove pregnancy-incompatible content.,,Obtain pregnancy-specific evidence and validate context extraction on full text.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q278,intent mismatch;severity mismatch,"Safety, outcomes and initiation titles match Furosemide/Nephrotic Syndrome but omit prior failure and escalation; the add-on query repeats the same drug.",,Audit the repeated-drug query and test prior-failure compatibility.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q284,intent mismatch,"C143 and C139 are broad class-use/evidence titles, while C141 explicitly concerns efficacy. None of the top three titles establishes adverse-effect monitoring.",,Test safety/monitoring compatibility using richer text.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q288,partial entity match;missing contextual constraint,C202 changes Trastuzumab to Nivolumab; C190 is class-level refractory lung-cancer content. Neither title establishes hypertension-specific safety.,,Test molecule and comorbidity evidence; no clinical judgment without full text.,LLM-assisted qualitative title/metadata review; not clinician adjudication,no observed positives
Q346,renal-function mismatch;missing contextual constraint;intent mismatch,C065 and C047 match Losartan/CKD but describe safety and interactions. CKD overlap alone does not establish renal dose adjustment.,,Test renal dosing intent separately from disease overlap.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q349,partial entity match;intent mismatch;English-Indonesian mismatch,An Obesity case report outranks Liraglutide outcomes in diabetes. Neither is a Liraglutide obesity dosing title; Indonesian dosing wording lacks an English equivalent token.,,Test bilingual dosing cues and joint entity coverage.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q363,intent mismatch,C005 matches drug/disease but concerns outcomes rather than criteria to continue maintenance after target attainment.,,Obtain duration/maintenance evidence and evaluate intent.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q386,intent mismatch;lexical mismatch;synonym mismatch,"A Zinc self-comparison outranks C279, whose adverse-event title is closer to side-effect intent. Side effect and adverse event do not share the decisive tokens.",C279,Test safety synonym normalization; verify adverse-event article scope.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q392,intent mismatch,Interactions and severe-disease management outrank any switching-specific evidence. The query requests a switch from a drug to itself.,,Audit query artifact and test switch intent rather than assume a valid drug transition.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q404,intent mismatch;missing contextual constraint,C150 matches Omeprazole/PUD initiation but omits loading dose and emergency context. C157 changes molecule to Lansoprazole.,C150,Obtain administration details and evaluate loading/emergency constraints.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
Q418,partial entity match;intent mismatch,Safety titles for Colchicine and Ibuprofen and an NSAID consensus preserve Psoriatic Arthritis but miss the requested class and monitoring parameters.,,Test class coverage and monitoring intent; audit corpus gaps.,LLM-assisted qualitative title/metadata review; not clinician adjudication,strongest observed positive title is off-topic
