query_id,query,language,expected_relevant_content,expected_candidate_id,expected_candidate_rank,retrieved_content,query_decomposition,assisted_intent,predicted_intent,predicted_probability,probability_margin,why_retrieval_failed,what_could_improve_it,failure_categories,assessment_status,proxy_positive_id,proxy_positive_grade,proxy_positive_final_rank,proxy_positive_assisted_rank,assisted_top_positive_id,assisted_top_positive_rank,assisted_top_positive_final_rank,reviewer
Q019,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,MIXED,Renal dose-adjustment guidance for bortezomib in rheumatoid arthritis; C220 is the closest title-level drug-and-disease match but does not mention renal dosing.,C220,11,#1 C040: Dose Adjustment of Atorvastatin in Renal and Hepatic Impairment | #2 C231: Dose Adjustment of Apixaban in Renal and Hepatic Impairment | #3 C343: Dose Adjustment of Dupilumab in Renal and Hepatic Impairment,"{""disease_entity"": ""Rheumatoid Arthritis"", ""dose_context_flag"": true, ""drug_class_entity"": ""Proteasome inhibitors"", ""molecule_entity"": ""Bortezomib"", ""predicted_intent"": ""Dosing / Administration"", ""renal_function_group"": ""renal_impairment""}",Dosing / Administration,Dosing / Administration,0.8059857352884262,0.7648363865613907,"The renal-dose template dominates the score, so ten dose-adjustment articles for other molecules precede the closest bortezomib/rheumatoid-arthritis item. No title satisfies drug, disease, and renal-dose intent together.",Require molecule and disease compatibility before applying a strong renal-dose template boost; index article body/sections or expand the corpus for the exact conjunction.,context_template_over_entity;corpus_coverage_gap,plausible_title_level_failure,C326,2,,,,,,LLM-assisted
Q051,add on therapy Malaria after Dolutegravir failure,EN,Add-on or switching guidance after dolutegravir failure in malaria; C099 is the closest drug-and-disease item but only covers initiation.,C099,3,#1 C110: WHO Guideline Update: Malaria 2025 | #2 C105: Narrative Review: Current Evidence for Integrase inhibitors in Malaria | #3 C099: Panduan Praktis: Memulai Dolutegravir pada Malaria,"{""disease_entity"": ""Malaria"", ""drug_class_entity"": ""Integrase inhibitors"", ""molecule_entity"": ""Dolutegravir"", ""predicted_intent"": ""Efficacy / Outcomes"", ""prior_treatment_failure_flag"": true}",Treatment Change / Escalation,Efficacy / Outcomes,0.1583502365484438,0.0042895260933437,"The intent classifier changes Treatment Change / Escalation to Efficacy / Outcomes with a 0.004 margin, and the prior-failure constraint has little document evidence. The corpus has no title answering post-failure add-on therapy.","Use confidence-gated intent scoring, preserve the prior-treatment-failure slot, and retrieve treatment-escalation sections or add targeted content.",low_confidence_intent_error;prior_failure_underrepresented;corpus_coverage_gap,plausible_title_level_failure,C132,2,,,,,,LLM-assisted
Q061,Epilepsy first line Antiepileptics other evidence based,MIXED,"First-line, evidence-based antiepileptic guidance for epilepsy; C076 is the closest disease-level drug item but is an efficacy profile rather than a guideline.",C076,1,#1 C076: Levetiracetam Drug Profile: Efficacy in Epilepsy | #2 C092: Hasil Jangka Panjang Terapi Antiepileptics other pada Migraine | #3 C080: Treatment Intensification in Epilepsy: When and How,"{""disease_entity"": ""Epilepsy"", ""drug_class_entity"": ""Antiepileptics other"", ""molecule_entity"": ""Levetiracetam"", ""predicted_intent"": ""Mechanism / Background Knowledge""}",Guideline / Evidence Lookup,Mechanism / Background Knowledge,0.2847547565109793,0.0115508486212145,"The classifier changes Guideline / Evidence Lookup to Mechanism / Background Knowledge with a 0.012 margin. The top result matches epilepsy but not the requested evidence/guideline form, and no title fully covers the request.",Back off from hard intent when the probability margin is low; add guideline/publication-type evidence and section-level retrieval.,low_confidence_intent_error;content_type_mismatch;corpus_coverage_gap,plausible_title_level_failure,C103,3,,,,,,LLM-assisted
Q066,monitoring parameters Rosuvastatin in Acute Coronary Syndrome,EN,Monitoring parameters for rosuvastatin/statins in acute coronary syndrome; C043 is the closest entity match but is a generic drug profile.,C043,1,#1 C043: Profil Obat Statins pada Acute Coronary Syndrome | #2 C035: Stable Angina in Special Populations: Practical Guidance | #3 C039: Switching Therapy in Stable Angina: A Step-by-Step Guide,"{""disease_entity"": ""Acute Coronary Syndrome"", ""drug_class_entity"": ""Statins"", ""molecule_entity"": ""Rosuvastatin"", ""predicted_intent"": ""Dosing / Administration""}",Monitoring / Response / Risk Assessment,Dosing / Administration,0.1522396513146365,0.0001073188123241,"The classifier selects Dosing / Administration instead of Monitoring with an almost zero margin. Generic monitoring templates for unrelated drugs then enter ranks 4-10, while the exact monitoring conjunction is absent from titles.","Use confidence-gated or multi-label intent, require entity compatibility for monitoring templates, and index monitoring sections.",low_confidence_intent_error;monitoring_intent_mismatch;corpus_coverage_gap,plausible_title_level_failure,C212,2,,,,,,LLM-assisted
Q101,Dolutegravir drug interaction with Tenofovir disoproxil in Malaria,EN,A direct dolutegravir-tenofovir interaction assessment in malaria; C099 is the closest dolutegravir/malaria item but discusses initiation.,C099,1,#1 C099: Panduan Praktis: Memulai Dolutegravir pada Malaria | #2 C105: Narrative Review: Current Evidence for Integrase inhibitors in Malaria | #3 C093: Practical Guide: Initiating Tenofovir+Lamivudine in Urinary Tract Infection,"{""disease_entity"": ""Malaria"", ""drug_class_entity"": ""Integrase inhibitors; NRTIs"", ""molecule_entity"": ""Dolutegravir; Tenofovir disoproxil"", ""predicted_intent"": ""Interaction / Combination""}",Interaction / Combination,Interaction / Combination,0.5374586065956627,0.430335493016434,"The ranker retrieves each drug or the disease separately and an interaction template for another antimalarial, but it cannot enforce the two-drug-plus-disease conjunction. No exact title is present.",Represent per-value molecule coverage and pairwise interaction constraints; retrieve full text or add interaction-specific content.,multi_entity_conjunction_failure;intent_template_mismatch;corpus_coverage_gap,plausible_title_level_failure,C255,3,,,,,,LLM-assisted
Q129,Imatinib pada ibu hamil dengan Chronic Myeloid Leukaemia,ID,Pregnancy safety guidance for imatinib in chronic myeloid leukaemia; C206 is the closest special-population article.,C206,1,#1 C206: Chronic Myeloid Leukaemia pada Populasi Khusus: Pendekatan Praktis | #2 C192: National Guideline: Chronic Myeloid Leukaemia Diagnosis and Treatment | #3 C185: Dosis BCR-ABL inhibitors pada Chronic Myeloid Leukaemia: Referensi Cepat,"{""disease_entity"": ""Chronic Myeloid Leukaemia"", ""drug_class_entity"": ""BCR-ABL inhibitors"", ""molecule_entity"": ""Imatinib"", ""predicted_intent"": ""Safety / Contraindication"", ""pregnancy_status"": ""pregnant""}",Safety / Contraindication,Safety / Contraindication,0.6866919809625484,0.5902386691471084,"Disease and broad special-population evidence place C206 first, but the title does not establish pregnancy or imatinib safety explicitly. Other pregnancy articles concern unrelated diseases.",Add value-specific pregnancy compatibility and section-level evidence; abstain or expose a corpus-gap message when pregnancy safety is not documented.,demographic_constraint_underrepresented;corpus_coverage_gap,plausible_title_level_gap,C010,1,,,,,,LLM-assisted
Q146,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Direct comparative efficacy evidence for bedaquiline versus rifampicin in tuberculosis; C125 supplies only class-level efficacy evidence.,C125,4,#1 C130: Profil Keamanan Bedaquiline pada MDR Tuberculosis | #2 C117: Safety Profile of Bedaquiline in MDR Tuberculosis | #3 C120: Safety Profile of Bedaquiline in MDR Tuberculosis,"{""comparison_flag"": true, ""disease_entity"": ""Tuberculosis"", ""drug_class_entity"": ""Antituberculotics; Antituberculotics"", ""molecule_entity"": ""Bedaquiline; Rifampicin"", ""predicted_intent"": ""Comparative Treatment Choice""}",Comparative Treatment Choice,Comparative Treatment Choice,0.6922800019874297,0.5970878616470535,Bedaquiline safety articles outrank the class-level efficacy study despite the explicit comparison request. No title compares both requested drugs.,Require both comparator values and efficacy/comparison evidence; add pairwise comparison content and use a learned reranker with coverage features.,comparison_intent_mismatch;multi_entity_conjunction_failure;corpus_coverage_gap,plausible_title_level_failure,C112,2,,,,,,LLM-assisted
Q180,tatalaksana Type 1 Diabetes Mellitus panduan terbaru 2023,ID,"Current 2023 management guidelines for type 1 diabetes; C013 and C002 directly satisfy disease, year, and guideline intent.",C013,1,#1 C013: Asia-Pacific Guideline: Type 1 Diabetes Mellitus in Primary Care 2023 | #2 C002: Clinical Practice Guideline: Type 1 Diabetes Mellitus Management 2023 | #3 C008: Treatment Intensification in Type 2 Diabetes Mellitus: When and How,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""drug_class_entity"": ""Biguanides"", ""molecule_entity"": ""Metformin"", ""predicted_intent"": ""Guideline / Evidence Lookup"", ""recency_flag"": true, ""year"": 2023.0}",Guideline / Evidence Lookup,Guideline / Evidence Lookup,0.5343507858492472,0.418907933585729,"The final ranker places exact-looking guideline titles at ranks 1 and 2, but both are unjudged. The only behavioral positive is an off-topic 2024 colorectal-cancer review, so proxy NDCG records a miss.",Pool and clinically adjudicate top results; keep unjudged distinct from irrelevant and do not tune the ranker toward this behavioral positive.,weak_behavioral_ground_truth;apparent_metric_false_failure,proxy_label_failure,C196,1,,,,,,LLM-assisted
Q224,Losartan hepatic impairment dose in Hypertension,EN,Hepatic dose-adjustment guidance for losartan in hypertension; C028 matches drug and disease but not hepatic impairment.,C028,9,#1 C040: Dose Adjustment of Atorvastatin in Renal and Hepatic Impairment | #2 C236: Dose Adjustment of Rivaroxaban in Renal and Hepatic Impairment | #3 C084: Dose Adjustment of Valproate in Renal and Hepatic Impairment,"{""disease_entity"": ""Hypertension"", ""dose_context_flag"": true, ""drug_class_entity"": ""ARBs"", ""hepatic_impairment_flag"": true, ""molecule_entity"": ""Losartan"", ""predicted_intent"": ""Dosing / Administration""}",Dosing / Administration,Dosing / Administration,0.8691132408119935,0.8239823305235594,"Eight hepatic/renal dose-adjustment templates for other molecules outrank C028. The context and dosing cues outweigh exact molecule and disease compatibility, while no title covers the complete request.",Gate context-template boosts on requested-molecule compatibility and retrieve dose-adjustment sections; add exact losartan hepatic guidance if clinically appropriate.,context_template_over_entity;wrong_molecule;corpus_coverage_gap,plausible_title_level_failure,C046,3,,,,,,LLM-assisted
Q393,monitoring SSRIs pada ADHD parameter apa,MIXED,"Monitoring parameters for SSRIs in ADHD; C166 matches class and disease but covers dosing, not monitoring.",C166,2,#1 C167: Sertraline in ADHD: Real-World Outcomes | #2 C166: Dosis SSRIs pada ADHD: Referensi Cepat | #3 C173: Escitalopram versus Sertraline in Major Depressive Disorder: Head-to-Head Comparison,"{""disease_entity"": ""ADHD"", ""drug_class_entity"": ""SSRIs"", ""molecule_entity"": ""Escitalopram"", ""predicted_intent"": ""Mechanism / Background Knowledge""}",Monitoring / Response / Risk Assessment,Mechanism / Background Knowledge,0.3847634917284142,0.2563968462113141,"The classifier predicts Mechanism instead of Monitoring. Assisted intent would move behavior-positive C203 to rank 10, but C203 concerns CNS stimulants in breast cancer, so the apparent metric loss is not a credible clinical loss.",Use confidence-aware intent fallback and clinician judgments; do not optimize toward an off-topic behavior-positive document.,low_confidence_intent_error;weak_behavioral_ground_truth;proxy_sensitive_intent_effect,proxy_label_and_classifier_failure,C005,3,,,C203,10.0,,LLM-assisted
