query_id,content_id,title,rank,score
Q001,C285,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,1,13.175517236249599
Q001,C291,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,2,13.175517236249599
Q001,C278,Diazepam Drug Profile: Efficacy in Febrile Seizure,3,12.649150950907293
Q001,C299,Diazepam in Febrile Seizure: Real-World Outcomes,4,12.649150950907293
Q001,C277,"Diazepam: Pharmacology, Dosing, and Clinical Use in Febrile Seizure",5,11.293978302278243
Q001,C284,Diazepam: Farmakologi dan Penggunaan Klinis pada Febrile Seizure,6,10.888573968129261
Q001,C290,Diazepam Real-World Evidence in Febrile Seizure: A Retrospective Study,7,10.719745833618626
Q001,C286,Systematic Review: Benzodiazepines in Febrile Seizure,8,9.182409509216276
Q001,C137,Asthma in immunocompromised: Special Considerations,9,7.157903640534326
Q001,C282,New Insights into Febrile Seizure Pathophysiology and Treatment,10,7.098327735070085
Q001,C041,Laporan Kasus: Heart Failure dengan immunocompromised,11,5.5230669573648505
Q001,C004,Successful Management of Severe Hypothyroidism with Levothyroxine,12,3.6534100715880893
Q001,C168,Challenging Case: ADHD with Concurrent atrial fibrillation,13,3.6534100715880893
Q001,C177,Successful Management of Severe Schizophrenia with Clozapine,14,3.6534100715880893
Q001,C287,Challenging Case: Stunting / Malnutrition with Concurrent COPD,15,3.6534100715880893
Q001,C301,Successful Management of Severe Sepsis with Norepinephrine,16,3.6534100715880893
Q001,C064,Successful Management of Severe Nephrotic Syndrome with Furosemide,17,3.446628353505714
Q001,C222,Challenging Case: Psoriatic Arthritis with Concurrent renal impairment,18,3.446628353505714
Q001,C324,Successful Management of Severe Psoriasis with Tacrolimus topical,19,3.446628353505714
Q001,C106,Successful Management of Severe Typhoid Fever with Artemether-lumefantrine,20,3.2620002906108967
Q002,C032,Consensus Statement: SGLT2 inhibitors Use in Atrial Fibrillation,1,14.313222905806304
Q002,C037,Atrial Fibrillation in Special Populations: Practical Guidance,2,8.215958542111224
Q002,C042,Atrial Fibrillation in Special Populations: Practical Guidance,3,8.215958542111224
Q002,C081,Parkinson Disease in atrial fibrillation: Special Considerations,4,8.215958542111224
Q002,C030,Treatment Intensification in Atrial Fibrillation: When and How,5,7.750938194068872
Q002,C046,Treatment Intensification in Atrial Fibrillation: When and How,6,7.750938194068872
Q002,C026,Profil Keamanan Rivaroxaban pada Atrial Fibrillation,7,7.562351526090392
Q002,C097,Laporan Kasus: Malaria dengan atrial fibrillation,8,7.562351526090392
Q002,C058,Case Series: SGLT2 inhibitors in Refractory Chronic Kidney Disease,9,7.199438548010087
Q002,C027,National Guideline: Atrial Fibrillation Diagnosis and Treatment,10,7.10864550358951
Q002,C168,Challenging Case: ADHD with Concurrent atrial fibrillation,11,7.10864550358951
Q002,C025,Metoprolol versus Empagliflozin in Atrial Fibrillation: Head-to-Head Comparison,12,6.9627588201611985
Q002,C056,Biomarkers in Chronic Kidney Disease: Implications for SGLT2 inhibitors Therapy,13,6.833389379175303
Q002,C069,Long-term Outcomes of SGLT2 inhibitors Therapy in Chronic Kidney Disease,14,6.502762115449506
Q002,C245,Monitoring Parameters for Factor Xa inhibitors in Deep Vein Thrombosis,15,6.499488270716675
Q002,C328,Monitoring Parameters for IL-4/IL-13 inhibitors in Psoriasis,16,6.499488270716675
Q002,C229,Monitoring Parameters for Bisphosphonates in Osteoporosis,17,5.615910793799579
Q002,C082,Rare Adverse Event of Aspirin in Ischaemic Stroke,18,5.351892141672573
Q002,C279,Rare Adverse Event of Zinc in Stunting / Malnutrition,19,5.351892141672573
Q002,C238,Rare Adverse Event of Warfarin in Deep Vein Thrombosis,20,5.065203419364014
Q003,C202,Drug Interactions: Nivolumab in Non-Small Cell Lung Cancer Patients,1,12.906155337764577
Q003,C189,Clinical Practice Guideline: Colorectal Cancer Management 2020,2,8.327765054169104
Q003,C201,Kasus Sulit: Colorectal Cancer Refrakter terhadap Pembrolizumab,3,8.327765054169104
Q003,C196,Scoping Review: Emerging Therapies in Colorectal Cancer 2024,4,7.856416497082845
Q003,C207,Biomarkers in Colorectal Cancer: Implications for PD-1 inhibitors Therapy,5,7.057511218678344
Q003,C029,Profil Obat ARBs pada Heart Failure,6,6.691536449047856
Q003,C043,Profil Obat Statins pada Acute Coronary Syndrome,7,6.290075292918985
Q003,C266,Profil Obat Centrally acting antihypertensives pada Hypertension in Pregnancy,8,5.616185161647389
Q003,C089,Perbandingan Topiramate dan Topiramate pada Migraine,9,4.982028724354492
Q003,C088,Perbandingan Valproate dan Valproate pada Parkinson Disease,10,4.683130104168213
Q003,C285,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,11,4.683130104168213
Q003,C291,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,12,4.683130104168213
Q003,C294,Perbandingan Zinc dan Zinc pada Stunting / Malnutrition,13,4.683130104168213
Q003,C305,Hydrocortisone: Farmakologi dan Penggunaan Klinis pada Sepsis,14,4.683130104168213
Q003,C315,Perbandingan Hydrocortisone dan Piperacillin-tazobactam pada Sepsis,15,4.683130104168213
Q003,C091,Valproate: Farmakologi dan Penggunaan Klinis pada Parkinson Disease,16,4.418066596385674
Q003,C123,Metronidazole: Farmakologi dan Penggunaan Klinis pada Pulmonary Embolism,17,4.418066596385674
Q003,C165,Lithium: Farmakologi dan Penggunaan Klinis pada Bipolar Disorder,18,4.418066596385674
Q003,C171,Perbandingan Venlafaxine dan Venlafaxine pada Major Depressive Disorder,19,4.418066596385674
Q003,C273,Magnesium sulphate: Farmakologi dan Penggunaan Klinis pada Preeclampsia,20,4.418066596385674
Q004,C250,Rivaroxaban pada Pasien Deep Vein Thrombosis: Studi Kohort,1,11.17550022798667
Q004,C243,Kasus Sulit: Deep Vein Thrombosis Refrakter terhadap Warfarin,2,9.8016390119088
Q004,C249,Ringkasan Klinis: Tatalaksana Deep Vein Thrombosis Terkini 2022,3,9.8016390119088
Q004,C234,New Insights into Deep Vein Thrombosis Pathophysiology and Treatment,4,9.276587443142382
Q004,C238,Rare Adverse Event of Warfarin in Deep Vein Thrombosis,5,9.276587443142382
Q004,C242,Challenging Case: Deep Vein Thrombosis with Concurrent elderly patients,6,9.276587443142382
Q004,C246,Scoping Review: Emerging Therapies in Deep Vein Thrombosis 2024,7,9.276587443142382
Q004,C251,A Case of Deep Vein Thrombosis Resistant to Rivaroxaban,8,9.276587443142382
Q004,C239,Asia-Pacific Guideline: Deep Vein Thrombosis in Primary Care 2024,9,8.804927451805415
Q004,C241,Consensus Statement: Vitamin K antagonists Use in Deep Vein Thrombosis,10,8.804927451805415
Q004,C245,Monitoring Parameters for Factor Xa inhibitors in Deep Vein Thrombosis,11,8.804927451805415
Q004,C248,Rivaroxaban Real-World Evidence in Deep Vein Thrombosis: A Retrospective Study,12,8.37890913071189
Q004,C231,Dose Adjustment of Apixaban in Renal and Hepatic Impairment,13,5.119232797191707
Q004,C076,Levetiracetam Drug Profile: Efficacy in Epilepsy,14,3.781175763045196
Q004,C126,Budesonide Drug Profile: Efficacy in Asthma,15,3.781175763045196
Q004,C278,Diazepam Drug Profile: Efficacy in Febrile Seizure,16,3.554322751794755
Q004,C145,Metronidazole Drug Profile: Efficacy in Inflammatory Bowel Disease,17,3.3531493409720508
Q004,C228,Methotrexate Drug Profile: Efficacy in Systemic Lupus Erythematosus,18,3.3531493409720508
