query_id,query_text,liang_final_intent,rule_intent_signal,prototype_intent_signal,cluster_intent_signal,signal_plurality_intent,signal_agreement,schema_adjudicated_intent,matched_annotation_rules,n_rule_matches,label_confidence,annotation_notes,rule_matches_final,prototype_matches_final,cluster_matches_final,passes_agree,review_design
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,Monitoring / Response / Risk Assessment,Safety / Contraindication,Monitoring / Response / Risk Assessment,Mechanism / Background Knowledge,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q003,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination,1,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,Comparative Treatment Choice,Efficacy / Outcomes,two_signal_including_rule,Efficacy / Outcomes,Efficacy / Outcomes,1,medium,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination; Safety / Contraindication,2,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,Monitoring / Response / Risk Assessment,Safety / Contraindication,Monitoring / Response / Risk Assessment,Mechanism / Background Knowledge,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,two_signal_including_rule,Prophylaxis / Maintenance,Prophylaxis / Maintenance; Management / Treatment Selection,2,medium,prevention or maintenance framing overrides generic indication Three-signal status: two_signal_including_rule (rule=Prophylaxis / Maintenance; prototype=Prophylaxis / Maintenance; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination,1,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,Safety / Contraindication,Safety / Contraindication,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,prototype_cluster_against_rule,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Prophylaxis / Maintenance; cluster=Prophylaxis / Maintenance).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,Monitoring / Response / Risk Assessment,Safety / Contraindication,Monitoring / Response / Risk Assessment,Mechanism / Background Knowledge,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q028,ACE inhibitors adverse effects monitoring in Hypertension,Monitoring / Response / Risk Assessment,Safety / Contraindication,Monitoring / Response / Risk Assessment,Mechanism / Background Knowledge,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,Comparative Treatment Choice,Efficacy / Outcomes,two_signal_including_rule,Efficacy / Outcomes,Efficacy / Outcomes,1,medium,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q030,is Losartan safe in Hypertension with liver disease,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination,1,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q044,Malaria with pregnancy first line drug,Management / Treatment Selection,Management / Treatment Selection,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,prototype_cluster_against_rule,Management / Treatment Selection,Management / Treatment Selection; Safety / Contraindication,2,low,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: prototype_cluster_against_rule (rule=Management / Treatment Selection; prototype=Safety / Contraindication; cluster=Safety / Contraindication). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
