side,record_id,sample_group,selection_reason,language,text,entities,extracted_context,proxies,publication_year,risk_flags,duplicate_terms,unsupported_molecule_count,title_year_disagrees,findings,evidence_excerpt,review_notes,reviewer,review_type
content,C094,language_stratified_random,EN,EN,"Tenofovir+Lamivudine: Pharmacology, Dosing, and Clinical Use in Urinary Tract Infection","{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine; Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination; NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}","{""dose_context_flag"": true}",,2021,duplicate_metadata,2,0,False,duplicate_metadata,"Tenofovir+Lamivudine: Pharmacology, Dosing",Dosing is explicit. Repeated identical molecule/class annotations add no distinct concept.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C255,language_stratified_random,EN,EN,Practical Guide: Initiating Labetalol in Hypertension in Pregnancy,"{""disease_entity"": ""Hypertension in Pregnancy"", ""molecule_entity"": ""Labetalol"", ""drug_class_entity"": ""Beta blockers non-selective"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnant""}",,2025,population_or_comorbidity,0,0,False,supported_extraction,Hypertension in Pregnancy,"Pregnancy, disease and drug supported in title. Pregnancy is also part of the disease concept; those signals are dependent.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C158,language_stratified_random,EN,EN,Practical Guide: Initiating Metronidazole in Inflammatory Bowel Disease,"{""disease_entity"": ""Inflammatory Bowel Disease"", ""molecule_entity"": ""Metronidazole"", ""drug_class_entity"": ""Nitroimidazoles"", ""therapeutic_area"": ""Gastroenterology""}",{},,2020,,0,0,False,supported_extraction,Metronidazole in Inflammatory Bowel Disease,Explicit drug/disease; no missing approved context evident. Body-level applicability is unknown.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C265,language_stratified_random,EN,EN,"Magnesium: Mechanism, Indications, and Safety","{""disease_entity"": ""Preeclampsia"", ""molecule_entity"": ""Magnesium sulphate; Magnesium sulphate"", ""drug_class_entity"": ""Magnesium; Magnesium"", ""therapeutic_area"": ""Obstetrics""}",{},dose_from_drug_profile,2023,molecule_without_literal_support;context_type_proxy;duplicate_metadata,2,1,False,alias_candidate;metadata_only_disease;context_proxy,"Magnesium: Mechanism, Indications, and Safety","Magnesium sulphate may be a more specific metadata concept than Magnesium; needs controlled alias review, not automatic equivalence. Preeclampsia and dosing are not stated in title.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C216,language_stratified_random,EN,EN,Switching Therapy in Osteoporosis: A Step-by-Step Guide,"{""disease_entity"": ""Osteoporosis"", ""molecule_entity"": ""Alendronate; Alendronate"", ""drug_class_entity"": ""Bisphosphonates; Bisphosphonates"", ""therapeutic_area"": ""Rheumatology""}",{},,2025,molecule_without_literal_support;duplicate_metadata,2,1,False,metadata_only_molecule;duplicate_metadata,Switching Therapy in Osteoporosis,Alendronate is absent from title. Switching relation names no drugs; duplicate metadata cannot establish both roles.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C279,language_stratified_random,EN,EN,Rare Adverse Event of Zinc in Stunting / Malnutrition,"{""disease_entity"": ""Stunting / Malnutrition"", ""molecule_entity"": ""Zinc"", ""drug_class_entity"": ""Zinc supplements"", ""therapeutic_area"": ""Pediatrics""}",{},,2023,,0,0,False,supported_extraction,Rare Adverse Event of Zinc,Zinc/disease explicit. Adverse-event intent is visible but outside the context schema.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C291,language_stratified_random,ID,ID,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam"", ""drug_class_entity"": ""Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}",{},,2021,,0,0,False,comparison_miss;self_relation,Perbandingan Diazepam dan Diazepam,Perbandingan is explicit comparison wording not captured by comparison regex; both roles repeat Diazepam.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C276,language_stratified_random,ID,ID,Efektivitas Magnesium pada Preeclampsia,"{""disease_entity"": ""Preeclampsia"", ""molecule_entity"": ""Magnesium sulphate"", ""drug_class_entity"": ""Magnesium"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnancy_related""}",,2024,molecule_without_literal_support,0,1,False,alias_candidate,Efektivitas Magnesium pada Preeclampsia,Pregnancy-related context is an inference from Preeclampsia. Magnesium sulphate is more specific than the literal Magnesium; do not assert full equivalence without validation.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C263,language_stratified_random,ID,ID,Tinjauan Sistematis: Beta blockers non-selective pada Hypertension in Pregnancy,"{""disease_entity"": ""Hypertension in Pregnancy"", ""molecule_entity"": ""Labetalol; Methyldopa"", ""drug_class_entity"": ""Beta blockers non-selective; Centrally acting antihypertensives"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnant""}",comparison_from_review,2020,molecule_without_literal_support;context_type_proxy;population_or_comorbidity,0,2,False,metadata_only_molecule;context_proxy,Tinjauan Sistematis: Beta blockers non-selective,Systematic-review wording alone does not establish a comparison. Labetalol/Methyldopa absent; pregnancy is explicit.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C342,language_stratified_random,ID,ID,Tacrolimus topical: Farmakologi dan Penggunaan Klinis pada Psoriasis,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""route"": ""topical""}",dose_from_drug_profile,2024,context_type_proxy;route,0,0,False,context_proxy;context_from_entity_name,Farmakologi dan Penggunaan Klinis,Clinical use/pharmacology does not explicitly establish dosing. Topical comes from formulation wording and is supported.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
