column,dtype,nullable,allowed_values,extraction_strategy,content_matchability,rationale,priority
age_group,category,True,pediatric; adolescent; adult; elderly,Rule-based lexical cues; derive from explicit age only if later present.,"Textual title/content matching for pediatric, child, elderly, geriatric.",Selected instead of numeric age because only age-group cues recur in this dataset.,high
pregnancy_status,category,True,pregnant; pregnancy_related,"Regex over pregnancy, pregnant, hamil, preeclampsia variants.",Textual match against title/content pregnancy terms.,Material for medication safety and obstetric management.,high
year,integer,True,2020-2039 observed pattern,Regex for four-digit years.,Direct match to content.publication_year metadata.,Supports guideline/evidence recency constraints.,high
recency_flag,boolean,False,true; false,"Detect latest, terbaru, guideline update without requiring a numeric year.",Can boost newer publication_year when no exact year is supplied.,Captures recency intent that year alone misses.,high
dose_context_flag,boolean,False,true; false,"Detect dose, dosing, dosis, titrasi, adjustment, penyesuaian.",Textual match to dosing/reference content and drug_profile content_type.,Dosing requests are common even without explicit values.,high
route,category,True,oral; iv; im; subcutaneous; inhaled; topical,"Normalize route synonyms such as PO->oral, intravenous->iv, SC->subcutaneous.",Textual match against route mentions in titles/content.,Sparse but high-precision and clinically meaningful when present.,medium
renal_function_group,category,True,renal_impairment; severe_impairment if CKD stage/eGFR supports it,"Detect renal impairment, renal dose/adjustment, CKD stage, eGFR/CrCl.",Textual match against renal impairment/dose content; numeric matching if eGFR appears later.,Renal dose/impairment context materially changes drug dosing and safety relevance.,high
hepatic_impairment_flag,boolean,False,true; false,"Detect hepatic impairment, liver disease, cirrhosis, hepatik.",Textual match against hepatic/liver content.,Dataset-specific recurring safety/dosing context absent from the initial candidate list.,medium
comparison_flag,boolean,False,true; false,"Detect vs, versus, compare, comparison, dibanding.",Textual match to versus/comparison/meta-analysis titles; useful for reranking.,Comparison changes preferred content type and ranking signals.,high
negation_flag,boolean,False,true; false,"Detect no, without, bukan, tidak.",Mostly query-side guardrail; do not use as positive content match.,Useful for ambiguity/failure analysis; negated entity extraction is deferred.,medium
prior_treatment_failure_flag,boolean,False,true; false,"Detect failure, gagal, resistant, resistance, refractory, resistensi.",Textual match to resistant/resistance/refractory/case-report content.,"Signals need for alternatives, escalation, or refractory disease evidence.",medium
