query_id,content_id,query_text,query_language,query_intent,content_title,content_type,content_language,first_observed_at,last_observed_at,exposure_count,observed_sessions,relevance_grade,mean_exposure_grade,conservative_relevance_grade,event_hierarchy_relevance_grade,positive_exposures,meaningful_exposures,strong_exposures,unengaged_exposures,distinct_observed_grades,conflicting_observations,observed_judgment,judgment_scope,aggregation_rule,grade_zero_semantics,relevance_grade_description
Q001,C236,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Dose Adjustment of Rivaroxaban in Renal and Hepatic Impairment,clinical_summary,EN,2025-01-18 10:49:21,2025-01-18 10:49:21,1,1,2,2.0,1,1,1,1,0,0,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,meaningful engagement
Q001,C241,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Consensus Statement: Vitamin K antagonists Use in Deep Vein Thrombosis,guideline,EN,2025-01-18 10:49:42,2025-01-18 10:49:42,1,1,1,1.0,1,1,1,0,0,0,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,weak engagement
Q001,C014,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Practical Guide: Initiating Methimazole in Hyperthyroidism,clinical_summary,EN,2025-01-18 10:49:48,2025-01-18 10:49:48,1,1,0,0.0,0,0,0,0,0,1,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,exposed without observed engagement
Q001,C050,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Chronic Kidney Disease pada Populasi Khusus: Pendekatan Praktis,clinical_summary,ID,2025-01-18 10:49:34,2025-01-18 10:49:34,1,1,0,0.0,0,0,0,0,0,1,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,exposed without observed engagement
Q001,C058,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Case Series: SGLT2 inhibitors in Refractory Chronic Kidney Disease,case_report,EN,2025-01-18 10:49:30,2025-01-18 10:49:30,1,1,0,0.0,0,0,0,0,0,1,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,exposed without observed engagement
Q001,C095,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Quick Reference: NRTIs combination Dosing in Urinary Tract Infection,clinical_summary,EN,2025-01-18 10:49:47,2025-01-18 10:49:47,1,1,0,0.0,0,0,0,0,0,1,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,exposed without observed engagement
Q001,C122,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Case Series: Factor Xa inhibitors in Refractory Community-acquired Pneumonia,case_report,MIXED,2025-01-18 10:49:33,2025-01-18 10:49:33,1,1,0,0.0,0,0,0,0,0,1,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,exposed without observed engagement
Q001,C156,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Switching Therapy in Peptic Ulcer Disease: A Step-by-Step Guide,clinical_summary,MIXED,2025-01-18 10:49:37,2025-01-18 10:49:37,1,1,0,0.0,0,0,0,0,0,1,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,exposed without observed engagement
Q001,C166,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Dosis SSRIs pada ADHD: Referensi Cepat,clinical_summary,ID,2025-01-18 10:49:28,2025-01-18 10:49:28,1,1,0,0.0,0,0,0,0,0,1,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,exposed without observed engagement
Q001,C167,is Diazepam safe in Febrile Seizure with immunocompromised,EN,Safety / Contraindication,Sertraline in ADHD: Real-World Outcomes,article,EN,2025-01-18 10:49:39,2025-01-18 10:49:39,1,1,0,0.0,0,0,0,0,0,1,1,False,True,exposed_only,maximum_observed_grade,exposed_without_observed_engagement,exposed without observed engagement
